TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-22,2026-04-22,FO,NSE,STO,159828,,PERSISTENT,,2026-05-26,2026-05-26,4900.00,CE,PERSISTENT26MAY4900CE,483.05,483.05,315.50,328.10,322.30,713.00,5073.30,328.10,1200,800,9,4715925.00,7,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,138987,,PERSISTENT,,2026-04-28,2026-04-28,5900.00,CE,PERSISTENT26APR5900CE,11.00,19.95,2.55,3.25,3.15,22.75,5073.30,3.25,65200,-60300,1513,893269205.00,1002,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,159558,,PERSISTENT,,2026-04-28,2026-04-28,5450.00,CE,PERSISTENT26APR5450CE,59.00,59.00,18.65,22.95,20.60,130.20,5073.30,22.95,61400,11500,2046,1121125185.00,1729,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,138978,,PERSISTENT,,2026-04-28,2026-04-28,5100.00,PE,PERSISTENT26APR5100PE,80.50,142.65,80.30,116.00,114.60,77.90,5073.30,116.00,115100,-55300,20273,10580000010.00,14525,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,148819,,PERSISTENT,,2026-04-28,2026-04-28,5200.00,PE,PERSISTENT26APR5200PE,130.55,205.10,121.30,175.90,178.75,111.20,5073.30,175.90,75600,-11700,5364,2880394615.00,4189,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,159553,,PERSISTENT,,2026-04-28,2026-04-28,5250.00,PE,PERSISTENT26APR5250PE,143.20,239.00,143.20,213.25,214.50,128.90,5073.30,213.25,22400,-10800,1161,632579070.00,970,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,138984,,PERSISTENT,,2026-04-28,2026-04-28,5500.00,PE,PERSISTENT26APR5500PE,358.00,450.00,349.40,426.35,428.00,250.25,5073.30,426.35,44700,-4300,255,150471955.00,210,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,159565,,PERSISTENT,,2026-04-28,2026-04-28,5750.00,PE,PERSISTENT26APR5750PE,0.00,0.00,0.00,390.75,390.75,390.75,5073.30,672.00,200,0,0,0.00,0,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,159915,,PERSISTENT,,2026-06-30,2026-06-30,4400.00,PE,PERSISTENT26JUN4400PE,0.00,0.00,0.00,153.80,0.00,153.80,5073.30,85.85,0,0,0,0.00,0,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,139152,,PERSISTENT,,2026-05-26,2026-05-26,5600.00,PE,PERSISTENT26MAY5600PE,635.00,645.00,635.00,645.00,645.00,486.00,5073.30,579.25,1800,1200,13,8115035.00,7,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,159825,,PERSISTENT,,2026-05-26,2026-05-26,4750.00,PE,PERSISTENT26MAY4750PE,0.00,0.00,0.00,218.40,0.00,218.40,5073.30,104.45,0,0,0,0.00,0,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,159823,,PERSISTENT,,2026-05-26,2026-05-26,4700.00,PE,PERSISTENT26MAY4700PE,83.00,123.50,83.00,116.25,118.30,86.95,5073.30,116.25,19100,16400,330,158681755.00,276,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,159819,,PERSISTENT,,2026-05-26,2026-05-26,4550.00,PE,PERSISTENT26MAY4550PE,0.00,0.00,0.00,142.50,0.00,142.50,5073.30,55.90,0,0,0,0.00,0,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,148829,,PERSISTENT,,2026-04-28,2026-04-28,6200.00,PE,PERSISTENT26APR6200PE,0.00,0.00,0.00,783.90,783.90,783.90,5073.30,1120.80,100,0,0,0.00,0,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STF,66964,,PERSISTENT,,2026-04-28,2026-04-28,,,PERSISTENT26APRFUT,5243.50,5257.20,5056.40,5091.80,5090.00,5351.70,5073.30,5091.80,4809700,-136400,22255,11392687020.00,17710,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STF,66322,,PERSISTENT,,2026-05-26,2026-05-26,,,PERSISTENT26MAYFUT,5220.00,5220.00,5007.10,5032.20,5020.00,5279.60,5073.30,5032.20,1481500,416800,8476,4287594780.00,7562,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,159530,,PERSISTENT,,2026-04-28,2026-04-28,4350.00,CE,PERSISTENT26APR4350CE,0.00,0.00,0.00,588.00,0.00,588.00,5073.30,727.55,0,0,0,0.00,0,F1,100,,,,,
2026-04-22,2026-04-22,FO,NSE,STO,138969,,PERSISTENT,,2026-04-28,2026-04-28,4700.00,CE,PERSISTENT26APR4700CE,458.45,463.80,385.40,412.55,409.35,656.85,5073.30,412.55,14500,-1200,28,14308165.00,27,F1,100,,,,,
