TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-23,2026-04-23,FO,NSE,STO,124232,,LT,,2026-05-26,2026-05-26,3120.00,CE,LT26MAY3120CE,940.00,940.00,940.00,940.00,940.00,1191.70,4054.10,952.10,175,175,1,710500.00,1,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,124247,,LT,,2026-05-26,2026-05-26,3560.00,CE,LT26MAY3560CE,0.00,0.00,0.00,774.00,0.00,774.00,4054.10,530.45,0,0,0,0.00,0,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,124264,,LT,,2026-05-26,2026-05-26,3800.00,CE,LT26MAY3800CE,297.00,341.00,297.00,336.00,341.00,311.65,4054.10,336.00,33250,8750,60,43248117.50,31,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,139632,,LT,,2026-05-26,2026-05-26,3940.00,CE,LT26MAY3940CE,0.00,0.00,0.00,213.50,213.50,213.50,4054.10,238.70,525,0,0,0.00,0,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,139634,,LT,,2026-05-26,2026-05-26,3980.00,CE,LT26MAY3980CE,0.00,0.00,0.00,46.05,0.00,46.05,4054.10,215.10,0,0,0,0.00,0,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,124392,,LT,,2026-05-26,2026-05-26,4480.00,CE,LT26MAY4480CE,30.60,35.80,27.25,33.40,34.05,30.00,4054.10,33.40,83475,3325,302,238440641.25,179,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,124404,,LT,,2026-05-26,2026-05-26,4560.00,CE,LT26MAY4560CE,24.45,25.65,22.85,23.45,23.45,21.70,4054.10,29.85,4025,875,12,9626067.50,12,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,139844,,LT,,2026-06-30,2026-06-30,3520.00,CE,LT26JUN3520CE,0.00,0.00,0.00,248.85,0.00,248.85,4054.10,616.40,0,0,0,0.00,0,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,139880,,LT,,2026-06-30,2026-06-30,4160.00,CE,LT26JUN4160CE,0.00,0.00,0.00,56.25,0.00,56.25,4054.10,209.55,0,0,0,0.00,0,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,139888,,LT,,2026-06-30,2026-06-30,4240.00,CE,LT26JUN4240CE,0.00,0.00,0.00,45.35,0.00,45.35,4054.10,177.35,0,0,0,0.00,0,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,39993,,LT,,2026-06-30,2026-06-30,4360.00,CE,LT26JUN4360CE,0.00,0.00,0.00,63.60,0.00,63.60,4054.10,136.35,0,0,0,0.00,0,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,137104,,LT,,2026-04-28,2026-04-28,2960.00,PE,LT26APR2960PE,0.00,0.00,0.00,0.60,0.60,0.60,4054.10,0.00,6300,0,0,0.00,0,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,60918,,LT,,2026-04-28,2026-04-28,2980.00,PE,LT26APR2980PE,0.10,0.10,0.10,0.10,0.10,0.10,4054.10,0.00,7875,-175,1,521517.50,1,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,58347,,LT,,2026-04-28,2026-04-28,3100.00,PE,LT26APR3100PE,0.05,0.10,0.05,0.05,0.05,0.25,4054.10,0.05,50400,-2975,120,65101338.75,55,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,46522,,LT,,2026-04-28,2026-04-28,3220.00,PE,LT26APR3220PE,0.05,0.15,0.05,0.15,0.15,0.50,4054.10,0.00,59850,0,4,2254087.50,3,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,137122,,LT,,2026-04-28,2026-04-28,3360.00,PE,LT26APR3360PE,0.50,1.15,0.50,1.15,1.15,1.55,4054.10,0.00,19950,350,20,11762843.75,18,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,137126,,LT,,2026-04-28,2026-04-28,3440.00,PE,LT26APR3440PE,0.70,0.85,0.60,0.85,0.85,1.10,4054.10,0.85,16800,-700,17,10236021.25,16,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,137154,,LT,,2026-04-28,2026-04-28,3680.00,PE,LT26APR3680PE,1.25,2.75,1.25,2.40,2.35,3.00,4054.10,2.40,94500,-6300,73,47040297.50,73,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,124125,,LT,,2026-04-28,2026-04-28,4180.00,PE,LT26APR4180PE,0.00,0.00,0.00,161.70,161.70,161.70,4054.10,143.85,28350,0,0,0.00,0,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,137364,,LT,,2026-04-28,2026-04-28,4480.00,CE,LT26APR4480CE,1.20,1.20,0.65,0.65,0.65,1.20,4054.10,0.65,11550,-2100,36,28228987.50,28,F1,175,,,,,
2026-04-23,2026-04-23,FO,NSE,STO,46539,,LT,,2026-05-26,2026-05-26,3240.00,CE,LT26MAY3240CE,0.00,0.00,0.00,706.85,0.00,706.85,4054.10,833.85,0,0,0,0.00,0,F1,175,,,,,
