TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-27,2026-04-27,FO,NSE,STF,66906,,NAUKRI,,2026-04-28,2026-04-28,,,NAUKRI26APRFUT,1000.00,1025.60,996.60,1001.75,1002.00,989.55,1000.90,1001.75,1040625,-1519500,6338,2401156087.50,5654,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,152323,,NAUKRI,,2026-06-30,2026-06-30,1200.00,PE,NAUKRI26JUN1200PE,0.00,0.00,0.00,224.10,0.00,224.10,1000.90,196.95,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,143999,,NAUKRI,,2026-04-28,2026-04-28,1000.00,PE,NAUKRI26APR1000PE,10.00,10.00,0.65,4.75,5.00,15.60,1000.90,4.75,85500,-131625,1376,517644075.00,950,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,143997,,NAUKRI,,2026-04-28,2026-04-28,960.00,PE,NAUKRI26APR960PE,0.20,0.25,0.05,0.10,0.10,1.10,1000.90,0.10,156375,-3000,293,105497175.00,136,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151401,,NAUKRI,,2026-05-26,2026-05-26,1110.00,PE,NAUKRI26MAY1110PE,0.00,0.00,0.00,75.15,75.15,75.15,1000.90,113.55,1875,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,131308,,NAUKRI,,2026-04-28,2026-04-28,860.00,PE,NAUKRI26APR860PE,0.00,0.00,0.00,0.15,0.15,0.15,1000.90,0.00,4500,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151510,,NAUKRI,,2026-05-26,2026-05-26,1220.00,CE,NAUKRI26MAY1220CE,0.00,0.00,0.00,3.90,0.00,3.90,1000.90,1.30,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151290,,NAUKRI,,2026-05-26,2026-05-26,1060.00,CE,NAUKRI26MAY1060CE,19.90,26.25,18.25,18.70,18.75,14.00,1000.90,18.70,17250,3750,60,24331743.75,58,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151230,,NAUKRI,,2026-05-26,2026-05-26,980.00,CE,NAUKRI26MAY980CE,60.20,62.35,57.25,57.25,57.25,42.20,1000.90,54.30,750,375,4,1560131.25,4,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151109,,NAUKRI,,2026-05-26,2026-05-26,890.00,PE,NAUKRI26MAY890PE,0.00,0.00,0.00,5.00,5.00,5.00,1000.90,5.50,1125,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,131439,,NAUKRI,,2026-05-26,2026-05-26,840.00,CE,NAUKRI26MAY840CE,0.00,0.00,0.00,202.05,0.00,202.05,1000.90,166.25,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,143998,,NAUKRI,,2026-04-28,2026-04-28,1000.00,CE,NAUKRI26APR1000CE,8.00,25.05,5.85,6.80,7.15,6.55,1000.90,6.80,76500,1875,395,150080700.00,359,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,131320,,NAUKRI,,2026-04-28,2026-04-28,980.00,CE,NAUKRI26APR980CE,28.00,43.55,22.60,23.70,23.70,16.35,1000.90,23.70,46875,1500,32,12119737.50,30,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,152162,,NAUKRI,,2026-06-30,2026-06-30,940.00,CE,NAUKRI26JUN940CE,0.00,0.00,0.00,92.35,0.00,92.35,1000.90,100.75,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151224,,NAUKRI,,2026-05-26,2026-05-26,950.00,CE,NAUKRI26MAY950CE,0.00,0.00,0.00,68.95,0.00,68.95,1000.90,73.30,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,150634,,NAUKRI,,2026-04-28,2026-04-28,1050.00,CE,NAUKRI26APR1050CE,0.70,1.00,0.05,0.10,0.10,0.75,1000.90,0.05,141000,3750,218,85865325.00,163,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,131443,,NAUKRI,,2026-05-26,2026-05-26,920.00,CE,NAUKRI26MAY920CE,0.00,0.00,0.00,140.10,0.00,140.10,1000.90,95.55,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,144037,,NAUKRI,,2026-04-28,2026-04-28,1160.00,CE,NAUKRI26APR1160CE,0.30,0.30,0.10,0.10,0.10,0.30,1000.90,0.00,40125,0,3,1305187.50,3,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,131457,,NAUKRI,,2026-05-26,2026-05-26,1160.00,CE,NAUKRI26MAY1160CE,4.25,6.15,3.60,3.90,3.60,3.90,1000.90,3.90,41250,0,172,75121856.25,126,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,152172,,NAUKRI,,2026-06-30,2026-06-30,1040.00,CE,NAUKRI26JUN1040CE,0.00,0.00,0.00,47.60,0.00,47.60,1000.90,48.55,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151223,,NAUKRI,,2026-05-26,2026-05-26,940.00,PE,NAUKRI26MAY940PE,0.00,0.00,0.00,8.50,8.50,8.50,1000.90,15.20,2250,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151231,,NAUKRI,,2026-05-26,2026-05-26,980.00,PE,NAUKRI26MAY980PE,23.35,27.05,21.00,26.70,26.70,34.70,1000.90,26.70,27750,13875,144,54232575.00,110,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151457,,NAUKRI,,2026-05-26,2026-05-26,1180.00,PE,NAUKRI26MAY1180PE,0.00,0.00,0.00,184.25,184.25,184.25,1000.90,176.50,16875,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,150638,,NAUKRI,,2026-04-28,2026-04-28,1090.00,CE,NAUKRI26APR1090CE,0.15,0.20,0.05,0.05,0.05,0.30,1000.90,0.00,64875,-375,14,5723343.75,11,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151128,,NAUKRI,,2026-05-26,2026-05-26,900.00,CE,NAUKRI26MAY900CE,118.20,118.20,118.20,118.20,118.20,98.70,1000.90,111.95,3375,0,1,381825.00,1,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151222,,NAUKRI,,2026-05-26,2026-05-26,940.00,CE,NAUKRI26MAY940CE,0.00,0.00,0.00,74.55,0.00,74.55,1000.90,80.45,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,131455,,NAUKRI,,2026-05-26,2026-05-26,1120.00,CE,NAUKRI26MAY1120CE,10.40,10.40,7.05,7.20,7.15,10.40,1000.90,7.20,8625,5250,20,8459306.25,19,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,131459,,NAUKRI,,2026-05-26,2026-05-26,1200.00,CE,NAUKRI26MAY1200CE,3.85,3.85,2.05,2.35,2.20,23.20,1000.90,2.35,16875,16875,63,28411387.50,61,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,152061,,NAUKRI,,2026-06-30,2026-06-30,840.00,PE,NAUKRI26JUN840PE,0.00,0.00,0.00,16.55,0.00,16.55,1000.90,7.40,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,152161,,NAUKRI,,2026-06-30,2026-06-30,920.00,PE,NAUKRI26JUN920PE,0.00,0.00,0.00,39.80,0.00,39.80,1000.90,23.45,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,131366,,NAUKRI,,2026-04-28,2026-04-28,1220.00,CE,NAUKRI26APR1220CE,0.00,0.00,0.00,10.95,0.00,10.95,1000.90,0.00,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,150618,,NAUKRI,,2026-04-28,2026-04-28,890.00,CE,NAUKRI26APR890CE,0.00,0.00,0.00,92.05,0.00,92.05,1000.90,111.05,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,143992,,NAUKRI,,2026-04-28,2026-04-28,880.00,CE,NAUKRI26APR880CE,0.00,0.00,0.00,413.35,0.00,413.35,1000.90,121.05,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,150620,,NAUKRI,,2026-04-28,2026-04-28,910.00,CE,NAUKRI26APR910CE,0.00,0.00,0.00,138.05,138.05,138.05,1000.90,91.05,375,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151221,,NAUKRI,,2026-05-26,2026-05-26,930.00,PE,NAUKRI26MAY930PE,9.90,12.40,9.80,12.25,11.80,16.25,1000.90,12.25,16125,-2250,70,24705693.75,66,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151279,,NAUKRI,,2026-05-26,2026-05-26,1010.00,PE,NAUKRI26MAY1010PE,35.35,40.85,32.70,40.10,40.85,35.35,1000.90,40.10,21000,17625,114,44790112.50,103,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,144095,,NAUKRI,,2026-04-28,2026-04-28,1200.00,PE,NAUKRI26APR1200PE,185.35,199.00,177.00,199.00,199.00,205.00,1000.90,199.00,11250,-5250,15,7784156.25,9,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,131324,,NAUKRI,,2026-04-28,2026-04-28,1020.00,PE,NAUKRI26APR1020PE,20.00,20.20,4.65,19.00,18.35,32.75,1000.90,19.00,198750,-55875,450,174216581.25,308,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,150623,,NAUKRI,,2026-04-28,2026-04-28,930.00,PE,NAUKRI26APR930PE,0.00,0.00,0.00,1.00,1.00,1.00,1000.90,0.00,6375,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,152178,,NAUKRI,,2026-06-30,2026-06-30,1100.00,CE,NAUKRI26JUN1100CE,0.00,0.00,0.00,30.40,0.00,30.40,1000.90,29.00,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,152070,,NAUKRI,,2026-06-30,2026-06-30,880.00,CE,NAUKRI26JUN880CE,0.00,0.00,0.00,129.95,0.00,129.95,1000.90,144.25,0,0,0,0.00,0,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151448,,NAUKRI,,2026-05-26,2026-05-26,1150.00,CE,NAUKRI26MAY1150CE,6.00,6.00,6.00,6.00,6.00,8.55,1000.90,4.90,750,0,1,433500.00,1,F1,375,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,131445,,NAUKRI,,2026-05-26,2026-05-26,960.00,CE,NAUKRI26MAY960CE,71.90,79.85,67.45,67.45,67.45,57.70,1000.90,66.60,1875,0,4,1549350.00,4,F1,375,,,,,
