TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-27,2026-04-27,FO,NSE,STO,159175,,PAYTM,,2026-05-26,2026-05-26,1130.00,PE,PAYTM26MAY1130PE,85.00,100.60,49.00,52.10,49.80,186.35,1132.00,52.10,65975,65975,601,517729496.25,444,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,159159,,PAYTM,,2026-05-26,2026-05-26,1050.00,PE,PAYTM26MAY1050PE,29.25,65.90,21.30,23.35,22.80,17.80,1132.00,23.35,433550,428475,3313,2622079660.00,2490,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,159163,,PAYTM,,2026-05-26,2026-05-26,1070.00,PE,PAYTM26MAY1070PE,40.15,69.00,26.80,28.40,26.80,21.90,1132.00,28.40,69600,68150,504,406857421.25,436,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,138797,,PAYTM,,2026-05-26,2026-05-26,1080.00,PE,PAYTM26MAY1080PE,59.80,80.85,28.00,30.90,30.50,24.80,1132.00,30.90,163125,160950,1299,1061430921.25,1055,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,159312,,PAYTM,,2026-05-26,2026-05-26,1170.00,PE,PAYTM26MAY1170PE,88.00,96.20,76.45,78.20,76.65,62.40,1132.00,78.20,5075,3625,18,16350055.00,17,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,159465,,PAYTM,,2026-06-30,2026-06-30,880.00,PE,PAYTM26JUN880PE,0.00,0.00,0.00,54.50,0.00,54.50,1132.00,11.90,0,0,0,0.00,0,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,159489,,PAYTM,,2026-06-30,2026-06-30,1120.00,PE,PAYTM26JUN1120PE,0.00,0.00,0.00,191.50,0.00,191.50,1132.00,85.30,0,0,0,0.00,0,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,148646,,PAYTM,,2026-04-28,2026-04-28,920.00,CE,PAYTM26APR920CE,187.95,196.75,148.65,196.75,196.75,187.00,1132.00,212.15,13050,0,4,3197322.50,4,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,159130,,PAYTM,,2026-05-26,2026-05-26,860.00,CE,PAYTM26MAY860CE,0.00,0.00,0.00,140.25,0.00,140.25,1132.00,277.55,0,0,0,0.00,0,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,159162,,PAYTM,,2026-05-26,2026-05-26,1070.00,CE,PAYTM26MAY1070CE,58.50,101.45,57.20,94.45,94.60,41.80,1132.00,94.45,34800,34800,314,260098281.25,263,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,138804,,PAYTM,,2026-05-26,2026-05-26,1240.00,CE,PAYTM26MAY1240CE,13.00,22.55,13.00,18.35,18.10,22.00,1132.00,18.35,31900,27550,108,98495708.75,89,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,159422,,PAYTM,,2026-05-26,2026-05-26,1260.00,CE,PAYTM26MAY1260CE,9.00,18.05,5.30,14.55,15.00,16.75,1132.00,14.55,506050,148625,1089,1004576312.50,849,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,159490,,PAYTM,,2026-06-30,2026-06-30,1140.00,CE,PAYTM26JUN1140CE,0.00,0.00,0.00,45.80,0.00,45.80,1132.00,100.00,0,0,0,0.00,0,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,159496,,PAYTM,,2026-06-30,2026-06-30,1200.00,CE,PAYTM26JUN1200CE,0.00,0.00,0.00,33.75,0.00,33.75,1132.00,75.25,0,0,0,0.00,0,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,158972,,PAYTM,,2026-04-28,2026-04-28,1050.00,PE,PAYTM26APR1050PE,8.00,33.75,0.90,1.45,1.15,0.75,1132.00,1.45,712675,611175,14587,11224289521.25,11044,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,158983,,PAYTM,,2026-04-28,2026-04-28,1170.00,CE,PAYTM26APR1170CE,3.40,9.20,0.55,1.20,1.55,5.95,1132.00,1.20,259550,78300,5371,4567003121.25,4029,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,158975,,PAYTM,,2026-04-28,2026-04-28,1090.00,CE,PAYTM26APR1090CE,19.15,55.70,8.40,43.20,43.55,62.25,1132.00,43.20,96425,7250,3161,2548308408.75,2874,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,148654,,PAYTM,,2026-04-28,2026-04-28,1080.00,CE,PAYTM26APR1080CE,32.45,64.55,11.80,50.70,54.40,72.75,1132.00,50.70,123975,-54375,4333,3474118618.75,3746,F1,725,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,138610,,PAYTM,,2026-04-28,2026-04-28,1060.00,CE,PAYTM26APR1060CE,38.40,83.45,20.65,73.80,76.00,92.35,1132.00,73.80,197200,-59450,1339,1063877470.00,1180,F1,725,,,,,
