TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-27,2026-04-27,FO,NSE,STO,43072,,PNB,,2026-05-26,2026-05-26,90.00,PE,PNB26MAY90PE,0.17,0.18,0.16,0.17,0.18,0.21,113.88,0.20,360000,208000,28,20198080.00,13,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151539,,PNB,,2026-04-28,2026-04-28,128.00,PE,PNB26APR128PE,0.00,0.00,0.00,26.00,26.00,26.00,113.88,14.10,16000,0,0,0.00,0,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,142933,,PNB,,2026-04-28,2026-04-28,127.00,PE,PNB26APR127PE,13.50,13.50,12.80,12.80,12.80,24.26,113.88,13.10,24000,-8000,4,4480400.00,4,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,142777,,PNB,,2026-04-28,2026-04-28,95.00,PE,PNB26APR95PE,0.01,0.01,0.01,0.01,0.01,0.02,113.88,0.00,1712000,-120000,28,21282240.00,14,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,162669,,PNB,,2026-06-30,2026-06-30,118.00,CE,PNB26JUN118CE,0.00,0.00,0.00,2.56,0.00,2.56,113.88,5.85,0,0,0,0.00,0,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,162455,,PNB,,2026-06-30,2026-06-30,104.00,CE,PNB26JUN104CE,0.00,0.00,0.00,6.73,0.00,6.73,113.88,13.65,0,0,0,0.00,0,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,142950,,PNB,,2026-04-28,2026-04-28,135.00,CE,PNB26APR135CE,0.00,0.00,0.00,0.01,0.01,0.01,113.88,0.00,440000,0,0,0.00,0,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151536,,PNB,,2026-04-28,2026-04-28,126.00,CE,PNB26APR126CE,0.03,0.03,0.01,0.01,0.01,0.02,113.88,0.00,224000,8000,10,10081040.00,8,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,142929,,PNB,,2026-04-28,2026-04-28,125.00,CE,PNB26APR125CE,0.01,0.03,0.01,0.01,0.01,0.01,113.88,0.05,2232000,-496000,236,236031680.00,118,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,142892,,PNB,,2026-04-28,2026-04-28,113.00,CE,PNB26APR113CE,1.50,1.80,1.19,1.41,1.33,1.17,113.88,1.45,1360000,-88000,312,285769360.00,288,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,142787,,PNB,,2026-04-28,2026-04-28,103.00,CE,PNB26APR103CE,0.00,0.00,0.00,9.53,9.53,9.53,113.88,10.90,568000,0,0,0.00,0,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,142778,,PNB,,2026-04-28,2026-04-28,97.00,CE,PNB26APR97CE,0.00,0.00,0.00,17.50,17.50,17.50,113.88,16.90,0,0,0,0.00,0,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,151442,,PNB,,2026-04-28,2026-04-28,92.00,CE,PNB26APR92CE,0.00,0.00,0.00,20.65,20.65,20.65,113.88,21.90,40000,0,0,0.00,0,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,162520,,PNB,,2026-06-30,2026-06-30,112.00,PE,PNB26JUN112PE,0.00,0.00,0.00,13.39,0.00,13.39,113.88,5.55,0,0,0,0.00,0,F1,8000,,,,,
2026-04-27,2026-04-27,FO,NSE,STO,162448,,PNB,,2026-06-30,2026-06-30,96.00,PE,PNB26JUN96PE,0.00,0.00,0.00,4.49,0.00,4.49,113.88,1.00,0,0,0,0.00,0,F1,8000,,,,,
