TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-28,2026-04-28,FO,NSE,STO,87942,,APOLLOHOSP,,2026-06-30,2026-06-30,8000.00,CE,APOLLOHOSP26JUN8000CE,0.00,0.00,0.00,205.80,0.00,205.80,7753.00,251.10,0,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,87955,,APOLLOHOSP,,2026-06-30,2026-06-30,8300.00,CE,APOLLOHOSP26JUN8300CE,0.00,0.00,0.00,130.90,0.00,130.90,7753.00,151.60,0,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,81835,,APOLLOHOSP,,2026-04-28,2026-04-28,7000.00,PE,APOLLOHOSP26APR7000PE,0.40,0.60,0.05,0.10,0.10,0.65,7753.00,7753.00,15500,-5000,61,53376750.00,24,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,81841,,APOLLOHOSP,,2026-04-28,2026-04-28,7300.00,PE,APOLLOHOSP26APR7300PE,0.35,1.95,0.05,0.10,0.05,2.05,7753.00,7753.00,33250,-3375,92,83955281.25,48,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,80160,,APOLLOHOSP,,2026-04-28,2026-04-28,7850.00,PE,APOLLOHOSP26APR7850PE,52.00,115.00,40.35,62.65,62.65,72.65,7753.00,7753.00,5125,-1750,30,29719962.50,27,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,80193,,APOLLOHOSP,,2026-04-28,2026-04-28,8250.00,PE,APOLLOHOSP26APR8250PE,0.00,0.00,0.00,588.15,0.00,588.15,7753.00,7753.00,0,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,80283,,APOLLOHOSP,,2026-05-26,2026-05-26,6900.00,PE,APOLLOHOSP26MAY6900PE,20.35,21.45,20.35,21.45,21.45,14.95,7753.00,8.40,1625,375,3,2595387.50,3,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,87592,,APOLLOHOSP,,2026-05-26,2026-05-26,7350.00,PE,APOLLOHOSP26MAY7350PE,83.05,83.05,83.05,83.05,83.05,67.80,7753.00,59.45,500,0,1,929131.25,1,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,80378,,APOLLOHOSP,,2026-05-26,2026-05-26,8100.00,PE,APOLLOHOSP26MAY8100PE,0.00,0.00,0.00,521.75,0.00,521.75,7753.00,408.75,0,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,87767,,APOLLOHOSP,,2026-05-26,2026-05-26,8150.00,PE,APOLLOHOSP26MAY8150PE,0.00,0.00,0.00,728.05,0.00,728.05,7753.00,446.00,0,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,80392,,APOLLOHOSP,,2026-05-26,2026-05-26,8800.00,PE,APOLLOHOSP26MAY8800PE,0.00,0.00,0.00,1031.55,0.00,1031.55,7753.00,1017.00,0,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,80394,,APOLLOHOSP,,2026-05-26,2026-05-26,8900.00,PE,APOLLOHOSP26MAY8900PE,1100.00,1100.00,1100.00,1100.00,1100.00,1115.05,7753.00,1113.50,1250,1250,10,12500000.00,4,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,87756,,APOLLOHOSP,,2026-05-26,2026-05-26,7750.00,CE,APOLLOHOSP26MAY7750CE,285.00,285.00,236.00,248.25,242.00,295.00,7753.00,248.25,3125,875,45,45016343.75,39,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,87916,,APOLLOHOSP,,2026-06-30,2026-06-30,7000.00,PE,APOLLOHOSP26JUN7000PE,0.00,0.00,0.00,152.50,0.00,152.50,7753.00,54.15,0,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,87946,,APOLLOHOSP,,2026-06-30,2026-06-30,8100.00,PE,APOLLOHOSP26JUN8100PE,0.00,0.00,0.00,713.60,0.00,713.60,7753.00,473.75,0,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,87971,,APOLLOHOSP,,2026-06-30,2026-06-30,9000.00,PE,APOLLOHOSP26JUN9000PE,0.00,0.00,0.00,1459.05,0.00,1459.05,7753.00,1187.65,0,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,80128,,APOLLOHOSP,,2026-04-28,2026-04-28,6750.00,CE,APOLLOHOSP26APR6750CE,0.00,0.00,0.00,850.95,850.95,850.95,7753.00,7753.00,125,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,80133,,APOLLOHOSP,,2026-04-28,2026-04-28,6850.00,CE,APOLLOHOSP26APR6850CE,0.00,0.00,0.00,984.55,0.00,984.55,7753.00,7753.00,0,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,80143,,APOLLOHOSP,,2026-04-28,2026-04-28,7050.00,CE,APOLLOHOSP26APR7050CE,0.00,0.00,0.00,814.55,0.00,814.55,7753.00,7753.00,0,0,0,0.00,0,F1,125,,,,,
2026-04-28,2026-04-28,FO,NSE,STO,80145,,APOLLOHOSP,,2026-04-28,2026-04-28,7150.00,CE,APOLLOHOSP26APR7150CE,0.00,0.00,0.00,205.25,205.25,205.25,7753.00,7753.00,0,0,0,0.00,0,F1,125,,,,,
