TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-05,2026-05-05,FO,NSE,STO,111115,,FORCEMOT,,2026-05-26,2026-05-26,24000.00,CE,FORCEMOT26MAY24000CE,70.05,79.00,59.95,65.05,72.00,81.95,18963.00,65.05,15300,1725,348,209412275.00,239,F1,25,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,111122,,FORCEMOT,,2026-05-26,2026-05-26,25000.00,PE,FORCEMOT26MAY25000PE,0.00,0.00,0.00,5050.00,5050.00,5050.00,18963.00,6006.00,25,0,0,0.00,0,F1,25,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,111153,,FORCEMOT,,2026-06-30,2026-06-30,21000.00,CE,FORCEMOT26JUN21000CE,0.00,0.00,0.00,1984.60,0.00,1984.60,18963.00,1217.55,0,0,0,0.00,0,F1,25,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,91300,,FORCEMOT,,2026-06-30,2026-06-30,20500.00,CE,FORCEMOT26JUN20500CE,0.00,0.00,0.00,2441.00,0.00,2441.00,18963.00,1380.30,0,0,0,0.00,0,F1,25,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,91490,,FORCEMOT,,2026-07-28,2026-07-28,19000.00,PE,FORCEMOT26JUL19000PE,0.00,0.00,0.00,1644.15,0.00,1644.15,18963.00,2207.60,0,0,0,0.00,0,F1,25,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,91296,,FORCEMOT,,2026-06-30,2026-06-30,18500.00,CE,FORCEMOT26JUN18500CE,0.00,0.00,0.00,3539.30,0.00,3539.30,18963.00,2217.05,0,0,0,0.00,0,F1,25,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,91306,,FORCEMOT,,2026-06-30,2026-06-30,21500.00,CE,FORCEMOT26JUN21500CE,0.00,0.00,0.00,2000.40,0.00,2000.40,18963.00,1071.30,0,0,0,0.00,0,F1,25,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,111121,,FORCEMOT,,2026-05-26,2026-05-26,25000.00,CE,FORCEMOT26MAY25000CE,52.45,52.45,35.15,41.90,42.00,52.40,18963.00,41.90,19100,850,175,109565892.50,94,F1,25,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,110846,,FORCEMOT,,2026-05-26,2026-05-26,16000.00,PE,FORCEMOT26MAY16000PE,110.00,147.00,95.00,107.00,111.65,517.55,18963.00,107.00,950,950,100,40307032.50,86,F1,25,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,111104,,FORCEMOT,,2026-05-26,2026-05-26,22500.00,PE,FORCEMOT26MAY22500PE,0.00,0.00,0.00,2371.05,2371.05,2371.05,18963.00,3689.40,0,0,0,0.00,0,F1,25,,,,,
