TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-06,2026-05-06,FO,NSE,STF,66076,,ADANIENSOL,,2026-05-26,2026-05-26,,,ADANIENSOL26MAYFUT,1420.10,1430.00,1394.00,1416.80,1412.30,1418.10,1407.30,1416.80,20487600,785700,7022,6707337840.00,5450,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65780,,ADANIENSOL,,2026-06-30,2026-06-30,1300.00,CE,ADANIENSOL26JUN1300CE,0.00,0.00,0.00,213.20,0.00,213.20,1407.30,185.65,0,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65784,,ADANIENSOL,,2026-06-30,2026-06-30,1380.00,CE,ADANIENSOL26JUN1380CE,0.00,0.00,0.00,166.55,0.00,166.55,1407.30,140.95,0,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76453,,ADANIENSOL,,2026-05-26,2026-05-26,880.00,CE,ADANIENSOL26MAY880CE,0.00,0.00,0.00,514.10,514.10,514.10,1407.30,530.15,0,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,49380,,ADANIENSOL,,2026-06-30,2026-06-30,1480.00,CE,ADANIENSOL26JUN1480CE,0.00,0.00,0.00,33.65,0.00,33.65,1407.30,96.80,0,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65795,,ADANIENSOL,,2026-06-30,2026-06-30,1580.00,PE,ADANIENSOL26JUN1580PE,0.00,0.00,0.00,211.90,0.00,211.90,1407.30,222.20,0,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65831,,ADANIENSOL,,2026-07-28,2026-07-28,1480.00,PE,ADANIENSOL26JUL1480PE,0.00,0.00,0.00,171.95,0.00,171.95,1407.30,179.00,0,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76487,,ADANIENSOL,,2026-05-26,2026-05-26,1140.00,CE,ADANIENSOL26MAY1140CE,273.55,274.70,273.55,274.70,274.70,201.60,1407.30,274.50,24975,18900,29,27671017.50,15,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,49375,,ADANIENSOL,,2026-05-26,2026-05-26,1600.00,PE,ADANIENSOL26MAY1600PE,0.00,0.00,0.00,189.00,189.00,189.00,1407.30,205.25,5400,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76633,,ADANIENSOL,,2026-05-26,2026-05-26,1440.00,PE,ADANIENSOL26MAY1440PE,77.85,92.20,70.70,76.30,75.70,81.60,1407.30,76.30,266625,58050,353,361969931.25,347,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76589,,ADANIENSOL,,2026-05-26,2026-05-26,1200.00,PE,ADANIENSOL26MAY1200PE,8.75,11.65,7.50,8.00,8.00,9.65,1407.30,8.00,674325,-20250,349,284853948.75,299,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76456,,ADANIENSOL,,2026-05-26,2026-05-26,900.00,PE,ADANIENSOL26MAY900PE,0.40,0.40,0.25,0.30,0.30,0.35,1407.30,0.05,55350,-1350,6,3646248.75,5,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65834,,ADANIENSOL,,2026-07-28,2026-07-28,1560.00,CE,ADANIENSOL26JUL1560CE,0.00,0.00,0.00,118.30,0.00,118.30,1407.30,99.20,0,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65830,,ADANIENSOL,,2026-07-28,2026-07-28,1480.00,CE,ADANIENSOL26JUL1480CE,0.00,0.00,0.00,148.65,0.00,148.65,1407.30,127.30,0,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,83453,,ADANIENSOL,,2026-06-30,2026-06-30,1440.00,CE,ADANIENSOL26JUN1440CE,0.00,0.00,0.00,96.55,96.55,96.55,1407.30,112.95,675,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,53847,,ADANIENSOL,,2026-05-26,2026-05-26,1500.00,CE,ADANIENSOL26MAY1500CE,39.55,39.60,28.75,33.05,32.25,39.00,1407.30,33.05,621000,-2700,2185,2262217815.00,1625,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76618,,ADANIENSOL,,2026-05-26,2026-05-26,1260.00,CE,ADANIENSOL26MAY1260CE,0.00,0.00,0.00,175.95,175.95,175.95,1407.30,169.80,13500,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76610,,ADANIENSOL,,2026-05-26,2026-05-26,1240.00,CE,ADANIENSOL26MAY1240CE,177.00,193.05,177.00,190.00,190.00,177.00,1407.30,185.85,97200,2700,10,9633937.50,8,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65783,,ADANIENSOL,,2026-06-30,2026-06-30,1340.00,PE,ADANIENSOL26JUN1340PE,0.00,0.00,0.00,80.10,0.00,80.10,1407.30,82.25,0,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65777,,ADANIENSOL,,2026-06-30,2026-06-30,1220.00,PE,ADANIENSOL26JUN1220PE,0.00,0.00,0.00,40.20,0.00,40.20,1407.30,40.15,0,0,0,0.00,0,F1,675,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76468,,ADANIENSOL,,2026-05-26,2026-05-26,1000.00,PE,ADANIENSOL26MAY1000PE,1.65,1.85,1.30,1.60,1.50,1.55,1407.30,1.60,89775,10125,90,60849157.50,60,F1,675,,,,,
