TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-06,2026-05-06,FO,NSE,STO,44832,,EXIDEIND,,2026-05-26,2026-05-26,397.50,PE,EXIDEIND26MAY397.5PE,0.00,0.00,0.00,80.70,0.00,80.70,351.70,45.60,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101247,,EXIDEIND,,2026-05-26,2026-05-26,425.00,PE,EXIDEIND26MAY425PE,0.00,0.00,0.00,84.40,0.00,84.40,351.70,72.10,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,58781,,EXIDEIND,,2026-05-26,2026-05-26,432.50,PE,EXIDEIND26MAY432.5PE,0.00,0.00,0.00,76.25,0.00,76.25,351.70,79.50,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,109875,,EXIDEIND,,2026-06-30,2026-06-30,320.00,PE,EXIDEIND26JUN320PE,8.25,8.25,8.25,8.25,8.25,8.25,351.70,5.95,7200,1800,1,590850.00,1,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,109900,,EXIDEIND,,2026-06-30,2026-06-30,325.00,PE,EXIDEIND26JUN325PE,0.00,0.00,0.00,39.75,0.00,39.75,351.70,7.25,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90298,,EXIDEIND,,2026-06-30,2026-06-30,342.50,PE,EXIDEIND26JUN342.5PE,0.00,0.00,0.00,13.00,0.00,13.00,351.70,13.35,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90340,,EXIDEIND,,2026-06-30,2026-06-30,372.50,PE,EXIDEIND26JUN372.5PE,0.00,0.00,0.00,28.15,0.00,28.15,351.70,29.55,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90440,,EXIDEIND,,2026-06-30,2026-06-30,422.50,PE,EXIDEIND26JUN422.5PE,0.00,0.00,0.00,66.05,0.00,66.05,351.70,69.40,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90444,,EXIDEIND,,2026-06-30,2026-06-30,432.50,PE,EXIDEIND26JUN432.5PE,0.00,0.00,0.00,74.90,0.00,74.90,351.70,78.55,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90566,,EXIDEIND,,2026-07-28,2026-07-28,295.00,PE,EXIDEIND26JUL295PE,0.00,0.00,0.00,3.60,0.00,3.60,351.70,3.50,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90580,,EXIDEIND,,2026-07-28,2026-07-28,330.00,PE,EXIDEIND26JUL330PE,0.00,0.00,0.00,11.65,0.00,11.65,351.70,11.95,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90588,,EXIDEIND,,2026-07-28,2026-07-28,350.00,PE,EXIDEIND26JUL350PE,0.00,0.00,0.00,19.55,0.00,19.55,351.70,20.25,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101248,,EXIDEIND,,2026-05-26,2026-05-26,430.00,CE,EXIDEIND26MAY430CE,0.35,0.35,0.15,0.25,0.25,0.35,351.70,0.10,39600,-37800,65,50335110.00,30,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STF,62568,,EXIDEIND,,2026-06-30,2026-06-30,,,EXIDEIND26JUNFUT,366.10,369.20,343.05,355.90,357.00,365.10,351.70,355.90,1285200,223200,558,356202990.00,497,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,109699,,EXIDEIND,,2026-05-26,2026-05-26,307.50,CE,EXIDEIND26MAY307.5CE,0.00,0.00,0.00,8.85,0.00,8.85,351.70,45.75,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101138,,EXIDEIND,,2026-05-26,2026-05-26,320.00,CE,EXIDEIND26MAY320CE,39.00,39.00,25.25,34.30,34.30,44.50,351.70,34.35,498600,-7200,22,13878630.00,22,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101146,,EXIDEIND,,2026-05-26,2026-05-26,340.00,CE,EXIDEIND26MAY340CE,25.40,28.65,12.10,18.95,19.30,26.10,351.70,18.95,752400,68400,712,455536440.00,627,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101148,,EXIDEIND,,2026-05-26,2026-05-26,345.00,CE,EXIDEIND26MAY345CE,20.20,20.20,9.60,15.65,15.90,22.25,351.70,15.65,387000,115200,1026,659485620.00,889,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,52533,,EXIDEIND,,2026-05-26,2026-05-26,417.50,CE,EXIDEIND26MAY417.5CE,0.00,0.00,0.00,0.80,0.80,0.80,351.70,0.25,1800,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90581,,EXIDEIND,,2026-07-28,2026-07-28,335.00,CE,EXIDEIND26JUL335CE,0.00,0.00,0.00,39.45,0.00,39.45,351.70,35.20,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90587,,EXIDEIND,,2026-07-28,2026-07-28,350.00,CE,EXIDEIND26JUL350CE,0.00,0.00,0.00,30.80,0.00,30.80,351.70,26.90,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90664,,EXIDEIND,,2026-07-28,2026-07-28,430.00,CE,EXIDEIND26JUL430CE,0.00,0.00,0.00,5.95,0.00,5.95,351.70,4.40,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101039,,EXIDEIND,,2026-05-26,2026-05-26,260.00,PE,EXIDEIND26MAY260PE,0.10,0.15,0.10,0.15,0.15,0.15,351.70,0.00,41400,0,6,2809530.00,3,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101124,,EXIDEIND,,2026-05-26,2026-05-26,300.00,PE,EXIDEIND26MAY300PE,0.35,1.40,0.30,0.50,0.50,0.45,351.70,0.50,381600,73800,491,265901040.00,412,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,109722,,EXIDEIND,,2026-05-26,2026-05-26,337.50,PE,EXIDEIND26MAY337.5PE,2.35,9.85,2.35,4.80,4.80,14.10,351.70,4.80,48600,45000,233,144486180.00,232,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101151,,EXIDEIND,,2026-05-26,2026-05-26,350.00,PE,EXIDEIND26MAY350PE,5.45,16.60,4.80,9.20,8.55,6.25,351.70,9.20,1195200,43200,2310,1501111980.00,2011,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101153,,EXIDEIND,,2026-05-26,2026-05-26,355.00,PE,EXIDEIND26MAY355PE,7.00,19.60,6.35,11.75,11.25,8.05,351.70,11.75,280800,32400,966,637466130.00,872,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,50043,,EXIDEIND,,2026-05-26,2026-05-26,407.50,PE,EXIDEIND26MAY407.5PE,0.00,0.00,0.00,80.55,0.00,80.55,351.70,55.05,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101241,,EXIDEIND,,2026-05-26,2026-05-26,410.00,PE,EXIDEIND26MAY410PE,0.00,0.00,0.00,43.30,43.30,43.30,351.70,57.45,18000,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101243,,EXIDEIND,,2026-05-26,2026-05-26,415.00,PE,EXIDEIND26MAY415PE,64.85,71.85,64.85,71.70,71.70,75.40,351.70,62.30,19800,19800,11,9600570.00,4,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90293,,EXIDEIND,,2026-06-30,2026-06-30,332.50,PE,EXIDEIND26JUN332.5PE,8.00,8.00,8.00,8.00,8.00,11.15,351.70,9.55,0,-1800,1,612900.00,1,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90344,,EXIDEIND,,2026-06-30,2026-06-30,382.50,PE,EXIDEIND26JUN382.5PE,0.00,0.00,0.00,34.65,0.00,34.65,351.70,36.45,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90346,,EXIDEIND,,2026-06-30,2026-06-30,387.50,PE,EXIDEIND26JUN387.5PE,0.00,0.00,0.00,38.15,0.00,38.15,351.70,40.15,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,44846,,EXIDEIND,,2026-06-30,2026-06-30,430.00,PE,EXIDEIND26JUN430PE,0.00,0.00,0.00,110.55,0.00,110.55,351.70,76.25,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101140,,EXIDEIND,,2026-05-26,2026-05-26,325.00,CE,EXIDEIND26MAY325CE,0.00,0.00,0.00,49.50,49.50,49.50,351.70,30.15,1800,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90439,,EXIDEIND,,2026-06-30,2026-06-30,422.50,CE,EXIDEIND26JUN422.5CE,0.00,0.00,0.00,4.00,0.00,4.00,351.70,2.60,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,57748,,EXIDEIND,,2026-06-30,2026-06-30,425.00,CE,EXIDEIND26JUN425CE,0.00,0.00,0.00,1.55,0.00,1.55,351.70,2.35,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,44841,,EXIDEIND,,2026-06-30,2026-06-30,395.00,CE,EXIDEIND26JUN395CE,0.00,0.00,0.00,2.65,0.00,2.65,351.70,6.40,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90586,,EXIDEIND,,2026-07-28,2026-07-28,345.00,PE,EXIDEIND26JUL345PE,0.00,0.00,0.00,17.35,0.00,17.35,351.70,17.90,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,109729,,EXIDEIND,,2026-05-26,2026-05-26,357.50,CE,EXIDEIND26MAY357.5CE,14.25,16.20,5.20,8.95,9.20,14.45,351.70,8.95,183600,48600,659,434731140.00,631,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101191,,EXIDEIND,,2026-05-26,2026-05-26,380.00,CE,EXIDEIND26MAY380CE,6.00,6.15,1.60,2.85,3.00,5.25,351.70,2.85,2352600,867600,2839,1957625100.00,2039,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90343,,EXIDEIND,,2026-06-30,2026-06-30,382.50,CE,EXIDEIND26JUN382.5CE,0.00,0.00,0.00,12.20,0.00,12.20,351.70,9.25,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,109911,,EXIDEIND,,2026-06-30,2026-06-30,345.00,CE,EXIDEIND26JUN345CE,0.00,0.00,0.00,4.70,0.00,4.70,351.70,24.35,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,109728,,EXIDEIND,,2026-05-26,2026-05-26,352.50,PE,EXIDEIND26MAY352.5PE,5.80,18.05,5.60,10.45,10.00,7.10,351.70,10.45,91800,10800,444,291082140.00,424,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90294,,EXIDEIND,,2026-06-30,2026-06-30,337.50,CE,EXIDEIND26JUN337.5CE,0.00,0.00,0.00,33.25,0.00,33.25,351.70,28.75,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90345,,EXIDEIND,,2026-06-30,2026-06-30,387.50,CE,EXIDEIND26JUN387.5CE,0.00,0.00,0.00,10.75,0.00,10.75,351.70,8.00,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90563,,EXIDEIND,,2026-07-28,2026-07-28,290.00,CE,EXIDEIND26JUL290CE,0.00,0.00,0.00,73.35,0.00,73.35,351.70,68.65,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90585,,EXIDEIND,,2026-07-28,2026-07-28,345.00,CE,EXIDEIND26JUL345CE,0.00,0.00,0.00,33.55,0.00,33.55,351.70,29.50,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90654,,EXIDEIND,,2026-07-28,2026-07-28,405.00,CE,EXIDEIND26JUL405CE,0.00,0.00,0.00,10.50,0.00,10.50,351.70,8.25,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90658,,EXIDEIND,,2026-07-28,2026-07-28,415.00,CE,EXIDEIND26JUL415CE,0.00,0.00,0.00,8.45,0.00,8.45,351.70,6.45,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90662,,EXIDEIND,,2026-07-28,2026-07-28,425.00,CE,EXIDEIND26JUL425CE,0.00,0.00,0.00,6.70,0.00,6.70,351.70,5.05,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,109690,,EXIDEIND,,2026-05-26,2026-05-26,297.50,PE,EXIDEIND26MAY297.5PE,0.00,0.00,0.00,1.25,1.25,1.25,351.70,0.20,7200,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,101137,,EXIDEIND,,2026-05-26,2026-05-26,315.00,PE,EXIDEIND26MAY315PE,1.00,3.10,1.00,1.25,1.20,0.80,351.70,1.25,163800,115200,220,125594730.00,187,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,44830,,EXIDEIND,,2026-05-26,2026-05-26,392.50,PE,EXIDEIND26MAY392.5PE,49.95,49.95,49.95,49.95,49.95,75.90,351.70,41.00,5400,5400,3,2389230.00,1,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,50045,,EXIDEIND,,2026-05-26,2026-05-26,412.50,PE,EXIDEIND26MAY412.5PE,0.00,0.00,0.00,85.40,0.00,85.40,351.70,59.85,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90281,,EXIDEIND,,2026-06-30,2026-06-30,302.50,PE,EXIDEIND26JUN302.5PE,0.00,0.00,0.00,2.85,0.00,2.85,351.70,2.70,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,109942,,EXIDEIND,,2026-06-30,2026-06-30,370.00,PE,EXIDEIND26JUN370PE,0.00,0.00,0.00,20.60,20.60,20.60,351.70,27.95,1800,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90578,,EXIDEIND,,2026-07-28,2026-07-28,325.00,PE,EXIDEIND26JUL325PE,0.00,0.00,0.00,10.10,0.00,10.10,351.70,10.30,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,109876,,EXIDEIND,,2026-06-30,2026-06-30,325.00,CE,EXIDEIND26JUN325CE,0.00,0.00,0.00,8.50,0.00,8.50,351.70,37.05,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,90282,,EXIDEIND,,2026-06-30,2026-06-30,307.50,CE,EXIDEIND26JUN307.5CE,0.00,0.00,0.00,55.40,0.00,55.40,351.70,50.55,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,54116,,EXIDEIND,,2026-05-26,2026-05-26,422.50,CE,EXIDEIND26MAY422.5CE,0.00,0.00,0.00,0.50,0.50,0.50,351.70,0.20,0,0,0,0.00,0,F1,1800,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,50042,,EXIDEIND,,2026-05-26,2026-05-26,407.50,CE,EXIDEIND26MAY407.5CE,1.55,1.55,0.70,0.70,0.70,0.65,351.70,0.55,0,0,2,1471050.00,2,F1,1800,,,,,
