TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-08,2026-05-08,FO,NSE,STO,170997,,SHRIRAMFIN,,2026-06-30,2026-06-30,820.00,CE,SHRIRAMFIN26JUN820CE,0.00,0.00,0.00,110.65,0.00,110.65,1007.75,202.85,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170897,,SHRIRAMFIN,,2026-05-26,2026-05-26,1110.00,CE,SHRIRAMFIN26MAY1110CE,4.75,5.45,4.50,4.80,4.80,5.60,1007.75,4.80,200475,5775,143,131511352.50,117,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152690,,SHRIRAMFIN,,2026-05-26,2026-05-26,1040.00,CE,SHRIRAMFIN26MAY1040CE,19.65,20.10,15.75,18.00,16.75,21.10,1007.75,18.00,460350,57750,817,712861710.00,674,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152688,,SHRIRAMFIN,,2026-05-26,2026-05-26,1020.00,CE,SHRIRAMFIN26MAY1020CE,29.45,30.00,23.45,25.30,23.85,29.45,1007.75,25.30,1107150,55275,1493,1287597176.25,1310,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170785,,SHRIRAMFIN,,2026-05-26,2026-05-26,1010.00,CE,SHRIRAMFIN26MAY1010CE,31.00,32.70,27.65,29.80,28.50,34.35,1007.75,29.80,480975,75075,859,736800941.25,750,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170700,,SHRIRAMFIN,,2026-05-26,2026-05-26,830.00,PE,SHRIRAMFIN26MAY830PE,0.00,0.00,0.00,1.50,1.50,1.50,1007.75,0.85,88275,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139787,,SHRIRAMFIN,,2026-07-28,2026-07-28,880.00,PE,SHRIRAMFIN26JUL880PE,0.00,0.00,0.00,45.60,0.00,45.60,1007.75,27.75,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139779,,SHRIRAMFIN,,2026-07-28,2026-07-28,800.00,PE,SHRIRAMFIN26JUL800PE,0.00,0.00,0.00,21.65,0.00,21.65,1007.75,11.40,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139721,,SHRIRAMFIN,,2026-06-30,2026-06-30,1030.00,PE,SHRIRAMFIN26JUN1030PE,0.00,0.00,0.00,111.45,0.00,111.45,1007.75,75.55,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139707,,SHRIRAMFIN,,2026-06-30,2026-06-30,890.00,PE,SHRIRAMFIN26JUN890PE,10.80,11.15,10.80,11.15,11.15,7.95,1007.75,19.95,4950,3300,4,2972928.75,4,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152750,,SHRIRAMFIN,,2026-05-26,2026-05-26,1160.00,PE,SHRIRAMFIN26MAY1160PE,0.00,0.00,0.00,205.00,205.00,205.00,1007.75,153.00,1650,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139886,,SHRIRAMFIN,,2026-07-28,2026-07-28,1160.00,CE,SHRIRAMFIN26JUL1160CE,0.00,0.00,0.00,27.75,0.00,27.75,1007.75,38.10,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,171308,,SHRIRAMFIN,,2026-06-30,2026-06-30,1040.00,PE,SHRIRAMFIN26JUN1040PE,0.00,0.00,0.00,177.10,0.00,177.10,1007.75,81.25,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139711,,SHRIRAMFIN,,2026-06-30,2026-06-30,930.00,PE,SHRIRAMFIN26JUN930PE,0.00,0.00,0.00,38.30,38.30,38.30,1007.75,31.25,825,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,171210,,SHRIRAMFIN,,2026-06-30,2026-06-30,900.00,PE,SHRIRAMFIN26JUN900PE,13.00,13.15,12.00,12.25,12.75,11.20,1007.75,12.25,72600,9075,15,11296890.00,15,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139705,,SHRIRAMFIN,,2026-06-30,2026-06-30,870.00,PE,SHRIRAMFIN26JUN870PE,0.00,0.00,0.00,31.30,0.00,31.30,1007.75,15.55,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,171140,,SHRIRAMFIN,,2026-06-30,2026-06-30,840.00,PE,SHRIRAMFIN26JUN840PE,0.00,0.00,0.00,52.10,0.00,52.10,1007.75,10.30,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152748,,SHRIRAMFIN,,2026-05-26,2026-05-26,1140.00,PE,SHRIRAMFIN26MAY1140PE,0.00,0.00,0.00,129.95,129.95,129.95,1007.75,134.80,825,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170788,,SHRIRAMFIN,,2026-05-26,2026-05-26,1030.00,PE,SHRIRAMFIN26MAY1030PE,43.45,46.20,40.30,42.10,42.75,36.75,1007.75,42.10,248325,14025,188,166434633.75,185,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170784,,SHRIRAMFIN,,2026-05-26,2026-05-26,990.00,PE,SHRIRAMFIN26MAY990PE,23.95,24.20,20.40,21.70,22.90,18.35,1007.75,21.70,284625,-9900,452,377553371.25,442,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139790,,SHRIRAMFIN,,2026-07-28,2026-07-28,920.00,CE,SHRIRAMFIN26JUL920CE,0.00,0.00,0.00,108.50,0.00,108.50,1007.75,140.45,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139778,,SHRIRAMFIN,,2026-07-28,2026-07-28,800.00,CE,SHRIRAMFIN26JUL800CE,0.00,0.00,0.00,186.40,0.00,186.40,1007.75,230.30,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170701,,SHRIRAMFIN,,2026-05-26,2026-05-26,850.00,CE,SHRIRAMFIN26MAY850CE,0.00,0.00,0.00,166.45,166.45,166.45,1007.75,161.75,9075,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152672,,SHRIRAMFIN,,2026-05-26,2026-05-26,860.00,CE,SHRIRAMFIN26MAY860CE,0.00,0.00,0.00,105.00,105.00,105.00,1007.75,152.30,1650,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170711,,SHRIRAMFIN,,2026-05-26,2026-05-26,950.00,CE,SHRIRAMFIN26MAY950CE,66.20,73.00,64.85,68.60,67.00,75.65,1007.75,68.60,485100,-31350,88,73907831.25,86,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152686,,SHRIRAMFIN,,2026-05-26,2026-05-26,1000.00,CE,SHRIRAMFIN26MAY1000CE,35.00,38.00,32.05,34.70,33.20,40.00,1007.75,34.70,1448700,-173250,1653,1411320652.50,1415,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152692,,SHRIRAMFIN,,2026-05-26,2026-05-26,1060.00,CE,SHRIRAMFIN26MAY1060CE,11.40,13.85,11.40,12.50,11.80,14.70,1007.75,12.50,627825,15675,395,349471196.25,365,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170901,,SHRIRAMFIN,,2026-05-26,2026-05-26,1150.00,CE,SHRIRAMFIN26MAY1150CE,2.10,2.60,2.00,2.30,2.20,2.70,1007.75,2.30,330000,825,97,92211487.50,77,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139774,,SHRIRAMFIN,,2026-07-28,2026-07-28,760.00,CE,SHRIRAMFIN26JUL760CE,0.00,0.00,0.00,217.95,0.00,217.95,1007.75,265.00,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139806,,SHRIRAMFIN,,2026-07-28,2026-07-28,1060.00,PE,SHRIRAMFIN26JUL1060PE,0.00,0.00,0.00,142.50,0.00,142.50,1007.75,106.25,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,171229,,SHRIRAMFIN,,2026-06-30,2026-06-30,940.00,CE,SHRIRAMFIN26JUN940CE,0.00,0.00,0.00,54.65,0.00,54.65,1007.75,110.95,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139725,,SHRIRAMFIN,,2026-06-30,2026-06-30,1070.00,PE,SHRIRAMFIN26JUN1070PE,0.00,0.00,0.00,139.60,0.00,139.60,1007.75,99.60,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152749,,SHRIRAMFIN,,2026-05-26,2026-05-26,1160.00,CE,SHRIRAMFIN26MAY1160CE,2.00,2.05,1.60,1.85,1.80,2.25,1007.75,1.85,191400,50325,131,125572713.75,121,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170703,,SHRIRAMFIN,,2026-05-26,2026-05-26,870.00,CE,SHRIRAMFIN26MAY870CE,0.00,0.00,0.00,64.80,0.00,64.80,1007.75,142.95,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170786,,SHRIRAMFIN,,2026-05-26,2026-05-26,1010.00,PE,SHRIRAMFIN26MAY1010PE,31.95,34.15,29.25,30.95,32.00,26.45,1007.75,30.95,189750,-3300,523,449365867.50,463,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139712,,SHRIRAMFIN,,2026-06-30,2026-06-30,950.00,CE,SHRIRAMFIN26JUN950CE,92.85,92.85,92.85,92.85,92.85,78.00,1007.75,104.70,4125,825,1,860351.25,1,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139728,,SHRIRAMFIN,,2026-06-30,2026-06-30,1110.00,CE,SHRIRAMFIN26JUN1110CE,0.00,0.00,0.00,24.65,0.00,24.65,1007.75,34.75,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139782,,SHRIRAMFIN,,2026-07-28,2026-07-28,840.00,CE,SHRIRAMFIN26JUL840CE,0.00,0.00,0.00,157.50,0.00,157.50,1007.75,197.75,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170706,,SHRIRAMFIN,,2026-05-26,2026-05-26,890.00,PE,SHRIRAMFIN26MAY890PE,2.85,2.85,2.20,2.30,2.35,2.20,1007.75,2.30,111375,-10725,32,23561835.00,32,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139795,,SHRIRAMFIN,,2026-07-28,2026-07-28,960.00,PE,SHRIRAMFIN26JUL960PE,0.00,0.00,0.00,81.55,0.00,81.55,1007.75,55.10,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170709,,SHRIRAMFIN,,2026-05-26,2026-05-26,930.00,CE,SHRIRAMFIN26MAY930CE,84.85,87.25,82.85,85.50,85.50,94.10,1007.75,85.50,219450,-9900,29,24268818.75,14,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152684,,SHRIRAMFIN,,2026-05-26,2026-05-26,980.00,CE,SHRIRAMFIN26MAY980CE,47.05,50.35,43.80,47.10,44.85,52.25,1007.75,47.10,769725,-80025,356,301484452.50,312,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139785,,SHRIRAMFIN,,2026-07-28,2026-07-28,860.00,PE,SHRIRAMFIN26JUL860PE,0.00,0.00,0.00,38.50,0.00,38.50,1007.75,22.65,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,171602,,SHRIRAMFIN,,2026-06-30,2026-06-30,1180.00,PE,SHRIRAMFIN26JUN1180PE,0.00,0.00,0.00,296.45,0.00,296.45,1007.75,181.10,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139709,,SHRIRAMFIN,,2026-06-30,2026-06-30,910.00,PE,SHRIRAMFIN26JUN910PE,0.00,0.00,0.00,46.05,0.00,46.05,1007.75,25.20,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152741,,SHRIRAMFIN,,2026-05-26,2026-05-26,1120.00,CE,SHRIRAMFIN26MAY1120CE,4.05,4.20,3.65,3.85,3.80,4.65,1007.75,3.85,340725,22275,68,63048562.50,65,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170712,,SHRIRAMFIN,,2026-05-26,2026-05-26,950.00,PE,SHRIRAMFIN26MAY950PE,9.55,11.15,8.95,9.60,10.00,7.95,1007.75,9.60,989175,-60225,618,489519112.50,561,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152687,,SHRIRAMFIN,,2026-05-26,2026-05-26,1000.00,PE,SHRIRAMFIN26MAY1000PE,23.95,28.95,23.95,26.10,27.30,22.10,1007.75,26.10,721875,-239250,1684,1426558278.75,1405,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139809,,SHRIRAMFIN,,2026-07-28,2026-07-28,1100.00,CE,SHRIRAMFIN26JUL1100CE,0.00,0.00,0.00,40.20,0.00,40.20,1007.75,54.65,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139807,,SHRIRAMFIN,,2026-07-28,2026-07-28,1080.00,CE,SHRIRAMFIN26JUL1080CE,0.00,0.00,0.00,45.30,0.00,45.30,1007.75,61.40,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139797,,SHRIRAMFIN,,2026-07-28,2026-07-28,980.00,CE,SHRIRAMFIN26JUL980CE,0.00,0.00,0.00,79.70,0.00,79.70,1007.75,105.25,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139786,,SHRIRAMFIN,,2026-07-28,2026-07-28,880.00,CE,SHRIRAMFIN26JUL880CE,0.00,0.00,0.00,131.45,0.00,131.45,1007.75,167.75,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139724,,SHRIRAMFIN,,2026-06-30,2026-06-30,1070.00,CE,SHRIRAMFIN26JUN1070CE,0.00,0.00,0.00,33.55,0.00,33.55,1007.75,47.15,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152696,,SHRIRAMFIN,,2026-05-26,2026-05-26,1100.00,CE,SHRIRAMFIN26MAY1100CE,6.05,6.70,5.30,5.90,5.45,7.00,1007.75,5.90,3150675,35475,737,672413940.00,562,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152694,,SHRIRAMFIN,,2026-05-26,2026-05-26,1080.00,CE,SHRIRAMFIN26MAY1080CE,9.05,9.55,7.90,8.55,7.90,10.05,1007.75,8.55,264825,7425,216,193966245.00,182,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152680,,SHRIRAMFIN,,2026-05-26,2026-05-26,940.00,CE,SHRIRAMFIN26MAY940CE,73.00,77.55,73.00,77.45,77.45,84.30,1007.75,77.45,265650,-9900,27,22605000.00,27,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152676,,SHRIRAMFIN,,2026-05-26,2026-05-26,900.00,CE,SHRIRAMFIN26MAY900CE,111.35,113.85,109.10,111.60,111.05,121.05,1007.75,111.60,201300,-14850,29,24171427.50,20,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152670,,SHRIRAMFIN,,2026-05-26,2026-05-26,840.00,CE,SHRIRAMFIN26MAY840CE,0.00,0.00,0.00,196.10,196.10,196.10,1007.75,171.30,825,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,53126,,SHRIRAMFIN,,2026-05-26,2026-05-26,740.00,CE,SHRIRAMFIN26MAY740CE,0.00,0.00,0.00,268.00,268.00,268.00,1007.75,269.95,825,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139800,,SHRIRAMFIN,,2026-07-28,2026-07-28,1000.00,PE,SHRIRAMFIN26JUL1000PE,0.00,0.00,0.00,103.95,0.00,103.95,1007.75,73.35,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139723,,SHRIRAMFIN,,2026-06-30,2026-06-30,1050.00,PE,SHRIRAMFIN26JUN1050PE,0.00,0.00,0.00,125.20,0.00,125.20,1007.75,87.15,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,171208,,SHRIRAMFIN,,2026-06-30,2026-06-30,880.00,PE,SHRIRAMFIN26JUN880PE,0.00,0.00,0.00,18.00,18.00,18.00,1007.75,17.65,3300,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,170790,,SHRIRAMFIN,,2026-05-26,2026-05-26,1050.00,PE,SHRIRAMFIN26MAY1050PE,0.00,0.00,0.00,49.15,50.20,49.15,1007.75,63.30,155925,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152689,,SHRIRAMFIN,,2026-05-26,2026-05-26,1020.00,PE,SHRIRAMFIN26MAY1020PE,35.20,39.75,34.25,36.35,37.65,31.40,1007.75,36.35,325050,41250,350,305188413.75,334,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139710,,SHRIRAMFIN,,2026-06-30,2026-06-30,930.00,CE,SHRIRAMFIN26JUN930CE,0.00,0.00,0.00,87.30,0.00,87.30,1007.75,117.50,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139706,,SHRIRAMFIN,,2026-06-30,2026-06-30,890.00,CE,SHRIRAMFIN26JUN890CE,0.00,0.00,0.00,110.35,0.00,110.35,1007.75,145.85,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,152678,,SHRIRAMFIN,,2026-05-26,2026-05-26,920.00,CE,SHRIRAMFIN26MAY920CE,97.30,97.30,90.30,93.95,93.95,100.65,1007.75,99.25,129525,-825,9,7521401.25,9,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,43261,,SHRIRAMFIN,,2026-05-26,2026-05-26,820.00,CE,SHRIRAMFIN26MAY820CE,0.00,0.00,0.00,251.00,0.00,251.00,1007.75,190.70,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139804,,SHRIRAMFIN,,2026-07-28,2026-07-28,1040.00,PE,SHRIRAMFIN26JUL1040PE,0.00,0.00,0.00,129.00,0.00,129.00,1007.75,94.55,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,139802,,SHRIRAMFIN,,2026-07-28,2026-07-28,1020.00,PE,SHRIRAMFIN26JUL1020PE,0.00,0.00,0.00,116.15,0.00,116.15,1007.75,83.60,0,0,0,0.00,0,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,171418,,SHRIRAMFIN,,2026-06-30,2026-06-30,1100.00,PE,SHRIRAMFIN26JUN1100PE,105.00,105.00,105.00,105.00,105.00,94.00,1007.75,119.80,9900,0,1,994125.00,1,F1,825,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,171234,,SHRIRAMFIN,,2026-06-30,2026-06-30,980.00,PE,SHRIRAMFIN26JUN980PE,0.00,0.00,0.00,30.50,30.50,30.50,1007.75,50.50,3300,0,0,0.00,0,F1,825,,,,,
