TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-11,2026-05-11,FO,NSE,STO,174513,,SWIGGY,,2026-06-30,2026-06-30,230.00,PE,SWIGGY26JUN230PE,0.00,0.00,0.00,4.45,4.45,4.45,263.70,4.50,6500,0,0,0.00,0,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,142590,,SWIGGY,,2026-06-30,2026-06-30,255.00,PE,SWIGGY26JUN255PE,8.60,8.60,8.60,8.60,8.60,8.50,263.70,12.45,1300,1300,1,342680.00,1,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,174519,,SWIGGY,,2026-06-30,2026-06-30,260.00,PE,SWIGGY26JUN260PE,9.00,14.00,7.00,13.90,13.90,8.20,263.70,13.90,20800,6500,11,3896100.00,10,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,174482,,SWIGGY,,2026-05-26,2026-05-26,285.00,CE,SWIGGY26MAY285CE,9.00,9.00,2.75,3.10,3.10,10.85,263.70,3.10,902200,58500,1435,538412095.00,1155,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,154819,,SWIGGY,,2026-05-26,2026-05-26,330.00,CE,SWIGGY26MAY330CE,0.50,0.50,0.20,0.40,0.40,1.50,263.70,0.40,509600,-205400,613,263262805.00,410,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,154814,,SWIGGY,,2026-05-26,2026-05-26,300.00,PE,SWIGGY26MAY300PE,32.60,40.25,31.25,36.50,36.50,22.65,263.70,36.50,409500,-6500,66,28679950.00,62,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,142599,,SWIGGY,,2026-06-30,2026-06-30,305.00,CE,SWIGGY26JUN305CE,0.00,0.00,0.00,8.00,8.00,8.00,263.70,5.65,2600,0,0,0.00,0,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,174534,,SWIGGY,,2026-06-30,2026-06-30,340.00,CE,SWIGGY26JUN340CE,1.50,1.80,1.45,1.45,1.45,3.50,263.70,1.65,84500,-7800,12,5327985.00,11,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,154802,,SWIGGY,,2026-05-26,2026-05-26,240.00,PE,SWIGGY26MAY240PE,2.00,3.10,1.45,2.50,2.35,1.60,263.70,2.50,1093300,45500,792,249420925.00,636,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,154804,,SWIGGY,,2026-05-26,2026-05-26,250.00,PE,SWIGGY26MAY250PE,2.75,5.50,2.75,4.50,4.45,2.55,263.70,4.50,582400,-247000,1508,498119635.00,1115,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,154820,,SWIGGY,,2026-05-26,2026-05-26,330.00,PE,SWIGGY26MAY330PE,0.00,0.00,0.00,54.20,54.20,54.20,263.70,65.60,98800,0,0,0.00,0,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,174521,,SWIGGY,,2026-06-30,2026-06-30,270.00,PE,SWIGGY26JUN270PE,0.00,0.00,0.00,15.15,15.15,15.15,263.70,19.95,36400,0,0,0.00,0,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,174527,,SWIGGY,,2026-06-30,2026-06-30,300.00,PE,SWIGGY26JUN300PE,38.65,40.25,38.65,40.10,40.10,32.45,263.70,40.35,58500,-6500,7,3093610.00,4,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,174530,,SWIGGY,,2026-06-30,2026-06-30,320.00,CE,SWIGGY26JUN320CE,0.00,0.00,0.00,7.40,7.40,7.40,263.70,3.40,15600,0,0,0.00,0,F1,1300,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,142675,,SWIGGY,,2026-07-28,2026-07-28,290.00,PE,SWIGGY26JUL290PE,0.00,0.00,0.00,27.30,0.00,27.30,263.70,36.00,0,0,0,0.00,0,F1,1825,,,,,
