TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-12,2026-05-12,FO,NSE,STO,127967,,MARUTI,,2026-05-26,2026-05-26,14800.00,PE,MARUTI26MAY14800PE,0.00,0.00,0.00,1330.00,1330.00,1330.00,13172.00,1601.15,250,0,0,0.00,0,F1,50,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,127965,,MARUTI,,2026-05-26,2026-05-26,14600.00,PE,MARUTI26MAY14600PE,1245.85,1245.85,1245.85,1245.85,1245.85,909.30,13172.00,1407.20,750,0,1,792292.50,1,F1,50,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,127951,,MARUTI,,2026-05-26,2026-05-26,13200.00,PE,MARUTI26MAY13200PE,184.90,290.50,180.50,279.05,268.00,161.65,13172.00,279.05,46500,7300,2867,1926625840.00,2174,F1,50,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,144621,,MARUTI,,2026-06-30,2026-06-30,15000.00,CE,MARUTI26JUN15000CE,90.00,90.25,57.30,60.50,62.00,102.35,13172.00,60.50,10400,1200,108,81385557.50,89,F1,50,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,144619,,MARUTI,,2026-06-30,2026-06-30,14800.00,CE,MARUTI26JUN14800CE,0.00,0.00,0.00,169.00,169.00,169.00,13172.00,120.05,100,0,0,0.00,0,F1,50,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,144607,,MARUTI,,2026-06-30,2026-06-30,13600.00,CE,MARUTI26JUN13600CE,528.30,528.30,359.10,361.80,359.10,528.30,13172.00,361.80,2150,50,27,18901547.50,23,F1,50,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,144597,,MARUTI,,2026-06-30,2026-06-30,12600.00,CE,MARUTI26JUN12600CE,0.00,0.00,0.00,644.80,0.00,644.80,13172.00,950.25,0,0,0,0.00,0,F1,50,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,118941,,MARUTI,,2026-06-30,2026-06-30,12500.00,PE,MARUTI26JUN12500PE,191.00,206.10,182.65,203.05,206.10,151.35,13172.00,203.05,4200,250,29,18405730.00,27,F1,50,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,119502,,MARUTI,,2026-07-28,2026-07-28,13000.00,PE,MARUTI26JUL13000PE,0.00,0.00,0.00,700.60,0.00,700.60,13172.00,532.05,0,0,0,0.00,0,F1,50,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,119506,,MARUTI,,2026-07-28,2026-07-28,13400.00,PE,MARUTI26JUL13400PE,0.00,0.00,0.00,918.95,0.00,918.95,13172.00,726.40,0,0,0,0.00,0,F1,50,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,144594,,MARUTI,,2026-06-30,2026-06-30,12200.00,PE,MARUTI26JUN12200PE,0.00,0.00,0.00,55.00,55.00,55.00,13172.00,161.35,100,0,0,0.00,0,F1,50,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,144600,,MARUTI,,2026-06-30,2026-06-30,12800.00,PE,MARUTI26JUN12800PE,0.00,0.00,0.00,211.00,211.00,211.00,13172.00,341.30,50,0,0,0.00,0,F1,50,,,,,
