TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-12,2026-05-12,FO,NSE,STO,122080,,MOTILALOFS,,2026-07-28,2026-07-28,1000.00,PE,MOTILALOFS26JUL1000PE,0.00,0.00,0.00,228.80,0.00,228.80,841.65,180.40,0,0,0,0.00,0,F1,775,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,148298,,MOTILALOFS,,2026-06-30,2026-06-30,820.00,PE,MOTILALOFS26JUN820PE,0.00,0.00,0.00,191.40,0.00,191.40,841.65,51.75,0,0,0,0.00,0,F1,775,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,121783,,MOTILALOFS,,2026-06-30,2026-06-30,730.00,PE,MOTILALOFS26JUN730PE,0.00,0.00,0.00,41.60,0.00,41.60,841.65,19.70,0,0,0,0.00,0,F1,775,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,148151,,MOTILALOFS,,2026-05-26,2026-05-26,630.00,PE,MOTILALOFS26MAY630PE,0.00,0.00,0.00,4.50,4.35,4.50,841.65,0.10,65875,0,0,0.00,0,F1,775,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,121960,,MOTILALOFS,,2026-07-28,2026-07-28,800.00,CE,MOTILALOFS26JUL800CE,0.00,0.00,0.00,81.60,0.00,81.60,841.65,109.15,0,0,0,0.00,0,F1,775,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,121784,,MOTILALOFS,,2026-06-30,2026-06-30,750.00,CE,MOTILALOFS26JUN750CE,0.00,0.00,0.00,90.25,0.00,90.25,841.65,123.25,0,0,0,0.00,0,F1,775,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,148198,,MOTILALOFS,,2026-05-26,2026-05-26,920.00,CE,MOTILALOFS26MAY920CE,5.00,7.30,3.30,3.70,3.65,6.25,841.65,3.70,294500,28675,289,207266852.50,259,F1,775,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,148168,,MOTILALOFS,,2026-05-26,2026-05-26,720.00,CE,MOTILALOFS26MAY720CE,134.90,134.90,134.90,134.90,134.90,154.40,841.65,125.70,775,0,1,662547.50,1,F1,775,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,148144,,MOTILALOFS,,2026-05-26,2026-05-26,600.00,CE,MOTILALOFS26MAY600CE,252.30,266.90,252.30,266.90,266.90,274.50,841.65,243.05,13175,775,2,1332380.00,2,F1,775,,,,,
2026-05-12,2026-05-12,FO,NSE,STF,62690,,MOTILALOFS,,2026-05-26,2026-05-26,,,MOTILALOFS26MAYFUT,861.85,873.70,841.60,845.80,846.85,865.20,841.65,845.80,3592900,206925,1561,1037784171.25,1284,F1,775,,,,,
2026-05-12,2026-05-12,FO,NSE,STO,122074,,MOTILALOFS,,2026-07-28,2026-07-28,920.00,PE,MOTILALOFS26JUL920PE,0.00,0.00,0.00,165.95,0.00,165.95,841.65,123.15,0,0,0,0.00,0,F1,775,,,,,
