TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-13,2026-05-13,FO,NSE,STO,79833,,BPCL,,2026-07-28,2026-07-28,310.00,PE,BPCL26JUL310PE,0.00,0.00,0.00,21.45,0.00,21.45,297.10,25.25,0,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79835,,BPCL,,2026-07-28,2026-07-28,320.00,PE,BPCL26JUL320PE,0.00,0.00,0.00,26.90,0.00,26.90,297.10,31.50,0,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79501,,BPCL,,2026-06-30,2026-06-30,265.00,CE,BPCL26JUN265CE,0.00,0.00,0.00,48.75,0.00,48.75,297.10,38.10,0,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,90099,,BPCL,,2026-05-26,2026-05-26,320.00,CE,BPCL26MAY320CE,2.40,3.80,2.00,3.60,3.80,2.05,297.10,3.60,3590550,189600,1800,1148391893.75,1343,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,90101,,BPCL,,2026-05-26,2026-05-26,330.00,CE,BPCL26MAY330CE,1.50,2.40,1.25,2.15,2.35,1.35,297.10,2.15,3205425,268600,1259,825052102.50,862,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,90103,,BPCL,,2026-05-26,2026-05-26,340.00,CE,BPCL26MAY340CE,1.05,1.50,0.85,1.40,1.50,0.90,297.10,1.40,1376575,92825,381,256784167.50,277,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97657,,BPCL,,2026-06-30,2026-06-30,340.00,CE,BPCL26JUN340CE,3.55,5.00,3.55,4.90,5.00,4.85,297.10,4.90,43450,31600,20,13599948.75,19,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79877,,BPCL,,2026-07-28,2026-07-28,360.00,CE,BPCL26JUL360CE,0.00,0.00,0.00,7.70,0.00,7.70,297.10,4.25,0,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97546,,BPCL,,2026-05-26,2026-05-26,245.00,PE,BPCL26MAY245PE,0.60,0.60,0.30,0.35,0.35,0.70,297.10,0.35,21725,-3950,11,5331018.75,10,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97540,,BPCL,,2026-05-26,2026-05-26,225.00,PE,BPCL26MAY225PE,0.00,0.00,0.00,0.25,0.25,0.25,297.10,0.00,118500,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79823,,BPCL,,2026-07-28,2026-07-28,300.00,CE,BPCL26JUL300CE,0.00,0.00,0.00,28.70,0.00,28.70,297.10,20.70,0,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79878,,BPCL,,2026-07-28,2026-07-28,360.00,PE,BPCL26JUL360PE,0.00,0.00,0.00,54.75,0.00,54.75,297.10,62.40,0,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97650,,BPCL,,2026-06-30,2026-06-30,310.00,CE,BPCL26JUN310CE,10.50,12.90,10.50,12.70,12.90,8.70,297.10,12.70,69125,9875,25,15879888.75,18,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79821,,BPCL,,2026-07-28,2026-07-28,290.00,CE,BPCL26JUL290CE,0.00,0.00,0.00,34.50,0.00,34.50,297.10,25.80,0,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97661,,BPCL,,2026-06-30,2026-06-30,360.00,CE,BPCL26JUN360CE,2.00,2.90,2.00,2.75,2.90,4.25,297.10,2.75,55300,15800,12,8592632.50,11,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97577,,BPCL,,2026-05-26,2026-05-26,325.00,CE,BPCL26MAY325CE,1.90,3.00,1.60,2.70,3.00,1.65,297.10,2.70,1637275,-9875,567,366347885.00,378,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97569,,BPCL,,2026-05-26,2026-05-26,285.00,CE,BPCL26MAY285CE,13.55,19.05,12.25,18.25,18.85,11.90,297.10,18.25,521400,25675,185,109885148.75,180,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79553,,BPCL,,2026-06-30,2026-06-30,285.00,PE,BPCL26JUN285PE,0.00,0.00,0.00,11.80,11.80,11.80,297.10,9.50,1975,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,90075,,BPCL,,2026-05-26,2026-05-26,240.00,PE,BPCL26MAY240PE,0.45,0.45,0.25,0.30,0.25,0.50,297.10,0.30,383150,-7900,134,63601616.25,81,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97559,,BPCL,,2026-05-26,2026-05-26,255.00,PE,BPCL26MAY255PE,0.85,1.00,0.55,0.60,0.55,1.25,297.10,0.60,211325,-11850,32,16162807.50,32,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,90083,,BPCL,,2026-05-26,2026-05-26,270.00,PE,BPCL26MAY270PE,2.55,2.85,1.15,1.55,1.50,3.30,297.10,1.55,1376575,-33575,606,325496491.25,507,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97604,,BPCL,,2026-06-30,2026-06-30,250.00,CE,BPCL26JUN250CE,0.00,0.00,0.00,61.20,61.20,61.20,297.10,50.75,7900,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79837,,BPCL,,2026-07-28,2026-07-28,330.00,PE,BPCL26JUL330PE,0.00,0.00,0.00,33.05,0.00,33.05,297.10,38.45,0,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97662,,BPCL,,2026-06-30,2026-06-30,360.00,PE,BPCL26JUN360PE,60.00,60.00,60.00,60.00,60.00,50.75,297.10,61.70,37525,11850,6,4977000.00,2,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79593,,BPCL,,2026-06-30,2026-06-30,345.00,PE,BPCL26JUN345PE,0.00,0.00,0.00,41.20,0.00,41.20,297.10,48.40,0,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79555,,BPCL,,2026-06-30,2026-06-30,295.00,PE,BPCL26JUN295PE,16.35,16.35,13.00,13.50,13.45,17.00,297.10,13.50,9875,5925,8,4879533.75,8,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79502,,BPCL,,2026-06-30,2026-06-30,265.00,PE,BPCL26JUN265PE,0.00,0.00,0.00,3.40,0.00,3.40,297.10,3.80,0,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97570,,BPCL,,2026-05-26,2026-05-26,285.00,PE,BPCL26MAY285PE,7.00,7.35,3.95,4.35,4.15,8.05,297.10,4.35,1499025,126400,745,427444411.25,676,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79589,,BPCL,,2026-06-30,2026-06-30,325.00,PE,BPCL26JUN325PE,0.00,0.00,0.00,27.05,0.00,27.05,297.10,32.30,0,0,0,0.00,0,F1,1975,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97573,,BPCL,,2026-05-26,2026-05-26,305.00,CE,BPCL26MAY305CE,5.10,7.80,4.30,7.25,7.65,4.30,297.10,7.25,1265975,35550,1490,915351966.25,1061,F1,1975,,,,,
