TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-13,2026-05-13,FO,NSE,STO,79935,,BRITANNIA,,2026-06-30,2026-06-30,5750.00,PE,BRITANNIA26JUN5750PE,0.00,0.00,0.00,250.90,0.00,250.90,5336.00,437.00,0,0,0,0.00,0,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,98057,,BRITANNIA,,2026-06-30,2026-06-30,5700.00,PE,BRITANNIA26JUN5700PE,0.00,0.00,0.00,369.10,0.00,369.10,5336.00,399.30,0,0,0,0.00,0,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79915,,BRITANNIA,,2026-06-30,2026-06-30,4750.00,PE,BRITANNIA26JUN4750PE,0.00,0.00,0.00,7.95,0.00,7.95,5336.00,19.20,0,0,0,0.00,0,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97993,,BRITANNIA,,2026-06-30,2026-06-30,4600.00,PE,BRITANNIA26JUN4600PE,0.00,0.00,0.00,19.30,0.00,19.30,5336.00,8.55,0,0,0,0.00,0,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97934,,BRITANNIA,,2026-05-26,2026-05-26,6050.00,PE,BRITANNIA26MAY6050PE,0.00,0.00,0.00,616.35,616.35,616.35,5336.00,701.80,750,0,0,0.00,0,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97929,,BRITANNIA,,2026-05-26,2026-05-26,5850.00,PE,BRITANNIA26MAY5850PE,565.00,565.00,462.50,469.40,469.40,545.25,5336.00,505.05,14000,-1250,14,11077956.25,14,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97990,,BRITANNIA,,2026-06-30,2026-06-30,4500.00,CE,BRITANNIA26JUN4500CE,0.00,0.00,0.00,1016.25,0.00,1016.25,5336.00,878.25,0,0,0,0.00,0,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79946,,BRITANNIA,,2026-06-30,2026-06-30,6150.00,CE,BRITANNIA26JUN6150CE,13.60,13.60,13.60,13.60,13.60,87.55,5336.00,17.70,125,125,1,770450.00,1,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97744,,BRITANNIA,,2026-05-26,2026-05-26,4750.00,CE,BRITANNIA26MAY4750CE,0.00,0.00,0.00,740.90,0.00,740.90,5336.00,596.50,0,0,0,0.00,0,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,90554,,BRITANNIA,,2026-05-26,2026-05-26,5800.00,PE,BRITANNIA26MAY5800PE,450.00,458.50,424.00,450.95,445.85,485.40,5336.00,450.95,65750,-2625,47,36716631.25,20,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97826,,BRITANNIA,,2026-05-26,2026-05-26,5550.00,PE,BRITANNIA26MAY5550PE,254.20,254.20,205.00,234.85,233.05,253.75,5336.00,234.85,55625,-2625,48,34667356.25,43,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,90529,,BRITANNIA,,2026-05-26,2026-05-26,5400.00,PE,BRITANNIA26MAY5400PE,145.65,165.00,103.20,127.25,126.10,151.55,5336.00,127.25,91125,-7250,521,359686775.00,483,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,98060,,BRITANNIA,,2026-06-30,2026-06-30,5900.00,CE,BRITANNIA26JUN5900CE,0.00,0.00,0.00,98.00,98.00,98.00,5336.00,43.65,125,0,0,0.00,0,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,90592,,BRITANNIA,,2026-05-26,2026-05-26,6100.00,CE,BRITANNIA26MAY6100CE,4.55,4.70,3.40,3.80,3.85,4.25,5336.00,3.80,68625,-12750,227,173200693.75,186,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,79914,,BRITANNIA,,2026-06-30,2026-06-30,4750.00,CE,BRITANNIA26JUN4750CE,0.00,0.00,0.00,967.30,0.00,967.30,5336.00,644.85,0,0,0,0.00,0,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97988,,BRITANNIA,,2026-06-30,2026-06-30,4400.00,CE,BRITANNIA26JUN4400CE,0.00,0.00,0.00,1109.85,0.00,1109.85,5336.00,975.15,0,0,0,0.00,0,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,90589,,BRITANNIA,,2026-05-26,2026-05-26,6000.00,CE,BRITANNIA26MAY6000CE,6.85,7.85,4.70,5.60,5.30,5.90,5336.00,5.60,564750,6375,2061,1547244250.00,1327,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97764,,BRITANNIA,,2026-05-26,2026-05-26,5250.00,CE,BRITANNIA26MAY5250CE,137.35,186.25,128.25,160.05,163.15,558.50,5336.00,160.05,6000,2250,115,77765225.00,99,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,97748,,BRITANNIA,,2026-05-26,2026-05-26,4950.00,CE,BRITANNIA26MAY4950CE,0.00,0.00,0.00,771.35,771.35,771.35,5336.00,402.15,125,0,0,0.00,0,F1,125,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,90510,,BRITANNIA,,2026-05-26,2026-05-26,4900.00,CE,BRITANNIA26MAY4900CE,0.00,0.00,0.00,882.55,882.55,882.55,5336.00,449.70,500,0,0,0.00,0,F1,125,,,,,
