TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-13,2026-05-13,FO,NSE,STO,121593,,HINDUNILVR,,2026-05-26,2026-05-26,2140.00,PE,HINDUNILVR26MAY2140PE,5.70,7.45,3.75,5.30,5.45,6.25,2267.30,5.30,141000,-1200,197,126803430.00,149,F1,300,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,121945,,HINDUNILVR,,2026-06-30,2026-06-30,2040.00,PE,HINDUNILVR26JUN2040PE,0.00,0.00,0.00,16.50,16.50,16.50,2267.30,9.35,0,0,0,0.00,0,F1,300,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,99806,,HINDUNILVR,,2026-06-30,2026-06-30,2060.00,PE,HINDUNILVR26JUN2060PE,0.00,0.00,0.00,12.25,12.65,12.25,2267.30,11.75,9000,0,0,0.00,0,F1,300,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,121953,,HINDUNILVR,,2026-06-30,2026-06-30,2120.00,PE,HINDUNILVR26JUN2120PE,0.00,0.00,0.00,20.00,20.00,20.00,2267.30,21.85,4500,0,0,0.00,0,F1,300,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,99932,,HINDUNILVR,,2026-06-30,2026-06-30,2580.00,PE,HINDUNILVR26JUN2580PE,0.00,0.00,0.00,282.65,0.00,282.65,2267.30,300.10,0,0,0,0.00,0,F1,300,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,100173,,HINDUNILVR,,2026-07-28,2026-07-28,2240.00,PE,HINDUNILVR26JUL2240PE,70.00,70.00,70.00,70.00,70.00,73.75,2267.30,70.00,300,300,1,693000.00,1,F1,300,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,110131,,HINDUNILVR,,2026-05-26,2026-05-26,2360.00,CE,HINDUNILVR26MAY2360CE,10.80,14.95,7.40,9.85,9.70,10.15,2267.30,9.85,823800,-6600,2071,1472850045.00,1760,F1,300,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,110090,,HINDUNILVR,,2026-05-26,2026-05-26,1840.00,CE,HINDUNILVR26MAY1840CE,0.00,0.00,0.00,403.35,403.35,403.35,2267.30,431.15,900,0,0,0.00,0,F1,300,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,121590,,HINDUNILVR,,2026-05-26,2026-05-26,2100.00,CE,HINDUNILVR26MAY2100CE,169.30,169.95,158.00,158.00,158.00,177.00,2267.30,173.65,40500,-600,4,2720085.00,4,F1,300,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,121604,,HINDUNILVR,,2026-05-26,2026-05-26,2180.00,CE,HINDUNILVR26MAY2180CE,0.00,0.00,0.00,121.80,123.00,121.80,2267.30,102.60,47700,0,0,0.00,0,F1,300,,,,,
