TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-13,2026-05-13,FO,NSE,STO,135299,,KEI,,2026-06-30,2026-06-30,5100.00,CE,KEI26JUN5100CE,0.00,0.00,0.00,95.15,0.00,95.15,4919.60,262.75,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135186,,KEI,,2026-05-26,2026-05-26,5150.00,CE,KEI26MAY5150CE,80.05,88.80,45.00,64.25,62.35,95.65,4919.60,64.25,30625,0,307,280388307.50,275,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,120785,,KEI,,2026-05-26,2026-05-26,5100.00,CE,KEI26MAY5100CE,124.05,124.05,57.25,78.40,78.00,114.85,4919.60,78.40,43750,1050,761,690381002.50,690,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135178,,KEI,,2026-05-26,2026-05-26,4750.00,CE,KEI26MAY4750CE,0.00,0.00,0.00,456.45,456.45,456.45,4919.60,270.05,3850,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111035,,KEI,,2026-06-30,2026-06-30,5150.00,PE,KEI26JUN5150PE,0.00,0.00,0.00,451.25,0.00,451.25,4919.60,430.80,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111134,,KEI,,2026-06-30,2026-06-30,5550.00,PE,KEI26JUN5550PE,0.00,0.00,0.00,715.35,0.00,715.35,4919.60,710.25,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111019,,KEI,,2026-06-30,2026-06-30,4350.00,PE,KEI26JUN4350PE,0.00,0.00,0.00,115.50,0.00,115.50,4919.60,91.30,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111015,,KEI,,2026-06-30,2026-06-30,4150.00,PE,KEI26JUN4150PE,0.00,0.00,0.00,71.90,0.00,71.90,4919.60,52.40,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,121019,,KEI,,2026-05-26,2026-05-26,5400.00,PE,KEI26MAY5400PE,0.00,0.00,0.00,347.95,347.95,347.95,4919.60,501.70,1225,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111345,,KEI,,2026-07-28,2026-07-28,4900.00,CE,KEI26JUL4900CE,0.00,0.00,0.00,516.05,0.00,516.05,4919.60,445.65,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111014,,KEI,,2026-06-30,2026-06-30,4150.00,CE,KEI26JUN4150CE,0.00,0.00,0.00,928.35,0.00,928.35,4919.60,856.65,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111334,,KEI,,2026-07-28,2026-07-28,4400.00,PE,KEI26JUL4400PE,0.00,0.00,0.00,180.45,0.00,180.45,4919.60,160.30,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111328,,KEI,,2026-07-28,2026-07-28,4100.00,PE,KEI26JUL4100PE,0.00,0.00,0.00,102.15,0.00,102.15,4919.60,85.40,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,46395,,KEI,,2026-06-30,2026-06-30,5500.00,PE,KEI26JUN5500PE,0.00,0.00,0.00,1037.35,0.00,1037.35,4919.60,672.05,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135187,,KEI,,2026-05-26,2026-05-26,5150.00,PE,KEI26MAY5150PE,250.00,309.15,225.20,260.00,260.00,227.45,4919.60,260.00,21700,-1750,82,77764671.25,77,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,120782,,KEI,,2026-05-26,2026-05-26,4900.00,PE,KEI26MAY4900PE,100.90,182.85,100.90,127.45,126.20,106.20,4919.60,127.45,56525,9450,1507,1329171786.25,1203,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,120776,,KEI,,2026-05-26,2026-05-26,4800.00,PE,KEI26MAY4800PE,81.40,137.05,69.30,90.25,88.50,72.80,4919.60,90.25,98000,25375,3462,2969542765.00,2735,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111351,,KEI,,2026-07-28,2026-07-28,5100.00,CE,KEI26JUL5100CE,0.00,0.00,0.00,423.85,0.00,423.85,4919.60,356.15,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111133,,KEI,,2026-06-30,2026-06-30,5550.00,CE,KEI26JUN5550CE,0.00,0.00,0.00,185.75,0.00,185.75,4919.60,126.20,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135275,,KEI,,2026-06-30,2026-06-30,4100.00,CE,KEI26JUN4100CE,0.00,0.00,0.00,372.45,0.00,372.45,4919.60,898.85,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135184,,KEI,,2026-05-26,2026-05-26,5050.00,CE,KEI26MAY5050CE,117.50,132.80,71.60,97.70,96.35,137.45,4919.60,97.70,26600,3325,395,356412437.50,350,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,120771,,KEI,,2026-05-26,2026-05-26,4600.00,CE,KEI26MAY4600CE,380.00,416.05,370.55,398.45,398.45,638.85,4919.60,377.45,3675,700,25,21850447.50,25,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135172,,KEI,,2026-05-26,2026-05-26,4450.00,CE,KEI26MAY4450CE,534.05,535.90,531.65,535.90,535.90,153.80,4919.60,501.65,175,175,6,5233480.00,3,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111366,,KEI,,2026-07-28,2026-07-28,5600.00,PE,KEI26JUL5600PE,0.00,0.00,0.00,803.70,0.00,803.70,4919.60,799.90,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,120789,,KEI,,2026-05-26,2026-05-26,5300.00,CE,KEI26MAY5300CE,46.80,48.40,21.20,30.45,30.00,51.25,4919.60,30.45,53025,14875,699,652372253.75,603,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135168,,KEI,,2026-05-26,2026-05-26,4250.00,CE,KEI26MAY4250CE,0.00,0.00,0.00,648.90,648.90,648.90,4919.60,685.15,350,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STF,66253,,KEI,,2026-05-26,2026-05-26,,,KEI26MAYFUT,5000.00,5028.70,4843.40,4944.00,4935.10,5018.00,4919.60,4944.00,1767150,133175,3284,2837867952.50,2838,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,120783,,KEI,,2026-05-26,2026-05-26,5000.00,CE,KEI26MAY5000CE,164.00,164.00,86.65,119.15,116.00,162.25,4919.60,119.15,69300,8400,1424,1277114413.75,1193,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111330,,KEI,,2026-07-28,2026-07-28,4200.00,PE,KEI26JUL4200PE,0.00,0.00,0.00,124.95,0.00,124.95,4919.60,106.80,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135300,,KEI,,2026-06-30,2026-06-30,5100.00,PE,KEI26JUN5100PE,0.00,0.00,0.00,1065.80,0.00,1065.80,4919.60,400.55,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111033,,KEI,,2026-06-30,2026-06-30,5050.00,PE,KEI26JUN5050PE,0.00,0.00,0.00,394.55,0.00,394.55,4919.60,371.45,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135292,,KEI,,2026-06-30,2026-06-30,4800.00,PE,KEI26JUN4800PE,0.00,0.00,0.00,823.65,0.00,823.65,4919.60,243.85,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111017,,KEI,,2026-06-30,2026-06-30,4250.00,PE,KEI26JUN4250PE,0.00,0.00,0.00,91.80,0.00,91.80,4919.60,69.90,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,36991,,KEI,,2026-05-26,2026-05-26,5350.00,PE,KEI26MAY5350PE,0.00,0.00,0.00,316.10,316.10,316.10,4919.60,459.10,1050,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,120766,,KEI,,2026-05-26,2026-05-26,4400.00,PE,KEI26MAY4400PE,7.80,31.50,7.80,18.70,18.90,13.95,4919.60,18.70,37625,3325,529,409315935.00,412,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111357,,KEI,,2026-07-28,2026-07-28,5300.00,CE,KEI26JUL5300CE,0.00,0.00,0.00,344.95,0.00,344.95,4919.60,281.25,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111329,,KEI,,2026-07-28,2026-07-28,4200.00,CE,KEI26JUL4200CE,0.00,0.00,0.00,950.35,0.00,950.35,4919.60,881.85,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111022,,KEI,,2026-06-30,2026-06-30,4550.00,CE,KEI26JUN4550CE,0.00,0.00,0.00,634.35,0.00,634.35,4919.60,554.65,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,46396,,KEI,,2026-06-30,2026-06-30,5700.00,CE,KEI26JUN5700CE,0.00,0.00,0.00,93.10,0.00,93.10,4919.60,96.45,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111339,,KEI,,2026-07-28,2026-07-28,4600.00,CE,KEI26JUL4600CE,0.00,0.00,0.00,680.75,0.00,680.75,4919.60,609.05,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135177,,KEI,,2026-05-26,2026-05-26,4650.00,PE,KEI26MAY4650PE,58.65,77.80,38.55,50.70,51.45,38.90,4919.60,50.70,12075,7175,115,94688168.75,112,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,120788,,KEI,,2026-05-26,2026-05-26,5200.00,PE,KEI26MAY5200PE,312.10,318.20,255.20,307.65,303.75,265.85,4919.60,307.65,14175,-1050,24,23076803.75,22,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,46376,,KEI,,2026-05-26,2026-05-26,5550.00,PE,KEI26MAY5550PE,593.45,595.50,593.45,595.50,595.50,1044.95,4919.60,635.85,525,525,6,6451698.75,2,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,110964,,KEI,,2026-06-30,2026-06-30,4050.00,PE,KEI26JUN4050PE,39.35,39.35,39.35,39.35,39.35,55.35,4919.60,38.40,175,175,1,715636.25,1,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135278,,KEI,,2026-06-30,2026-06-30,4200.00,PE,KEI26JUN4200PE,0.00,0.00,0.00,416.15,0.00,416.15,4919.60,60.65,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135306,,KEI,,2026-06-30,2026-06-30,5200.00,PE,KEI26JUN5200PE,0.00,0.00,0.00,333.00,333.00,333.00,4919.60,462.15,875,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,36995,,KEI,,2026-06-30,2026-06-30,5300.00,PE,KEI26JUN5300PE,0.00,0.00,0.00,1156.65,0.00,1156.65,4919.60,528.10,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,111042,,KEI,,2026-06-30,2026-06-30,5350.00,PE,KEI26JUN5350PE,0.00,0.00,0.00,576.25,0.00,576.25,4919.60,562.60,0,0,0,0.00,0,F1,175,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,135324,,KEI,,2026-06-30,2026-06-30,5600.00,PE,KEI26JUN5600PE,0.00,0.00,0.00,1505.45,0.00,1505.45,4919.60,749.25,0,0,0,0.00,0,F1,175,,,,,
