TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-14,2026-05-14,FO,NSE,STO,89029,,ASTRAL,,2026-05-26,2026-05-26,1700.00,PE,ASTRAL26MAY1700PE,0.00,0.00,0.00,160.10,160.10,160.10,1561.30,140.20,9350,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,81707,,ASTRAL,,2026-05-26,2026-05-26,1360.00,CE,ASTRAL26MAY1360CE,0.00,0.00,0.00,231.25,231.25,231.25,1561.30,204.40,1275,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89018,,ASTRAL,,2026-05-26,2026-05-26,1500.00,PE,ASTRAL26MAY1500PE,19.75,29.95,15.90,16.55,16.00,23.55,1561.30,16.55,144075,425,306,197816802.50,268,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,81730,,ASTRAL,,2026-05-26,2026-05-26,1560.00,PE,ASTRAL26MAY1560PE,46.00,59.55,35.00,37.05,35.70,48.20,1561.30,37.05,232475,0,208,141857583.75,191,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89028,,ASTRAL,,2026-05-26,2026-05-26,1700.00,CE,ASTRAL26MAY1700CE,6.45,6.50,4.10,5.75,5.90,5.45,1561.30,5.75,376975,-100300,1016,736449435.00,702,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89022,,ASTRAL,,2026-05-26,2026-05-26,1580.00,PE,ASTRAL26MAY1580PE,58.15,58.15,46.00,47.30,46.80,58.25,1561.30,47.30,111350,-1700,32,22175671.25,32,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89137,,ASTRAL,,2026-06-30,2026-06-30,1440.00,PE,ASTRAL26JUN1440PE,0.00,0.00,0.00,39.20,0.00,39.20,1561.30,27.00,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70249,,ASTRAL,,2026-07-28,2026-07-28,1400.00,PE,ASTRAL26JUL1400PE,0.00,0.00,0.00,30.00,30.00,30.00,1561.30,30.15,850,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70356,,ASTRAL,,2026-07-28,2026-07-28,1560.00,PE,ASTRAL26JUL1560PE,0.00,0.00,0.00,103.65,0.00,103.65,1561.30,88.50,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70378,,ASTRAL,,2026-07-28,2026-07-28,1720.00,PE,ASTRAL26JUL1720PE,0.00,0.00,0.00,202.45,0.00,202.45,1561.30,186.00,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89013,,ASTRAL,,2026-05-26,2026-05-26,1420.00,PE,ASTRAL26MAY1420PE,5.50,5.50,4.90,4.90,4.90,7.65,1561.30,2.75,18700,-850,12,7268987.50,7,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70353,,ASTRAL,,2026-07-28,2026-07-28,1520.00,CE,ASTRAL26JUL1520CE,0.00,0.00,0.00,135.05,0.00,135.05,1561.30,131.20,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89017,,ASTRAL,,2026-05-26,2026-05-26,1500.00,CE,ASTRAL26MAY1500CE,80.15,87.00,63.25,83.65,87.00,76.35,1561.30,83.65,65450,850,52,34861793.75,49,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70384,,ASTRAL,,2026-07-28,2026-07-28,1840.00,PE,ASTRAL26JUL1840PE,0.00,0.00,0.00,295.20,0.00,295.20,1561.30,279.75,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70144,,ASTRAL,,2026-06-30,2026-06-30,1460.00,PE,ASTRAL26JUN1460PE,0.00,0.00,0.00,45.90,0.00,45.90,1561.30,32.45,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,81714,,ASTRAL,,2026-05-26,2026-05-26,1480.00,PE,ASTRAL26MAY1480PE,16.80,23.00,12.05,12.20,12.05,17.85,1561.30,12.20,30175,0,62,39460378.75,57,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70379,,ASTRAL,,2026-07-28,2026-07-28,1760.00,CE,ASTRAL26JUL1760CE,0.00,0.00,0.00,46.10,0.00,46.10,1561.30,39.85,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70302,,ASTRAL,,2026-07-28,2026-07-28,1440.00,CE,ASTRAL26JUL1440CE,0.00,0.00,0.00,182.20,0.00,182.20,1561.30,181.10,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89143,,ASTRAL,,2026-06-30,2026-06-30,1520.00,CE,ASTRAL26JUN1520CE,77.00,80.00,77.00,80.00,80.00,171.15,1561.30,107.35,1275,1275,3,2037747.50,3,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70145,,ASTRAL,,2026-06-30,2026-06-30,1500.00,CE,ASTRAL26JUN1500CE,0.00,0.00,0.00,125.00,125.00,125.00,1561.30,119.30,425,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89138,,ASTRAL,,2026-06-30,2026-06-30,1480.00,CE,ASTRAL26JUN1480CE,0.00,0.00,0.00,196.45,0.00,196.45,1561.30,132.10,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70141,,ASTRAL,,2026-06-30,2026-06-30,1420.00,CE,ASTRAL26JUN1420CE,0.00,0.00,0.00,176.65,0.00,176.65,1561.30,175.00,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,81792,,ASTRAL,,2026-05-26,2026-05-26,1880.00,PE,ASTRAL26MAY1880PE,0.00,0.00,0.00,310.00,310.00,310.00,1561.30,315.15,1700,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89126,,ASTRAL,,2026-06-30,2026-06-30,1320.00,CE,ASTRAL26JUN1320CE,0.00,0.00,0.00,317.85,0.00,317.85,1561.30,258.90,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70169,,ASTRAL,,2026-06-30,2026-06-30,1700.00,PE,ASTRAL26JUN1700PE,0.00,0.00,0.00,176.90,0.00,176.90,1561.30,159.15,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70360,,ASTRAL,,2026-07-28,2026-07-28,1640.00,PE,ASTRAL26JUL1640PE,0.00,0.00,0.00,148.95,0.00,148.95,1561.30,132.70,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70161,,ASTRAL,,2026-06-30,2026-06-30,1580.00,CE,ASTRAL26JUN1580CE,0.00,0.00,0.00,84.20,0.00,84.20,1561.30,76.15,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89012,,ASTRAL,,2026-05-26,2026-05-26,1420.00,CE,ASTRAL26MAY1420CE,0.00,0.00,0.00,149.35,149.35,149.35,1561.30,146.80,2550,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89021,,ASTRAL,,2026-05-26,2026-05-26,1580.00,CE,ASTRAL26MAY1580CE,35.95,39.15,24.55,37.30,37.75,31.90,1561.30,37.30,140675,-14875,730,500129311.25,567,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,81711,,ASTRAL,,2026-05-26,2026-05-26,1440.00,CE,ASTRAL26MAY1440CE,0.00,0.00,0.00,144.55,142.65,144.55,1561.30,128.55,4675,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,81761,,ASTRAL,,2026-05-26,2026-05-26,1800.00,CE,ASTRAL26MAY1800CE,1.05,1.45,1.05,1.40,1.40,1.25,1561.30,1.40,130900,9350,48,36745925.00,41,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89132,,ASTRAL,,2026-06-30,2026-06-30,1440.00,CE,ASTRAL26JUN1440CE,0.00,0.00,0.00,224.00,0.00,224.00,1561.30,160.05,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70168,,ASTRAL,,2026-06-30,2026-06-30,1700.00,CE,ASTRAL26JUN1700CE,21.95,24.00,21.95,24.00,24.00,25.15,1561.30,34.35,11475,6800,16,11715953.75,7,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70355,,ASTRAL,,2026-07-28,2026-07-28,1560.00,CE,ASTRAL26JUL1560CE,0.00,0.00,0.00,114.95,0.00,114.95,1561.30,110.10,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70357,,ASTRAL,,2026-07-28,2026-07-28,1600.00,CE,ASTRAL26JUL1600CE,0.00,0.00,0.00,97.10,0.00,97.10,1561.30,91.50,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70377,,ASTRAL,,2026-07-28,2026-07-28,1720.00,CE,ASTRAL26JUL1720CE,0.00,0.00,0.00,56.05,0.00,56.05,1561.30,49.65,0,0,0,0.00,0,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,81712,,ASTRAL,,2026-05-26,2026-05-26,1440.00,PE,ASTRAL26MAY1440PE,9.00,9.05,6.45,6.60,6.60,10.15,1561.30,6.60,51000,0,20,12303155.00,19,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,70157,,ASTRAL,,2026-06-30,2026-06-30,1540.00,CE,ASTRAL26JUN1540CE,75.00,75.00,75.00,75.00,75.00,103.15,1561.30,96.15,425,425,1,686375.00,1,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89016,,ASTRAL,,2026-05-26,2026-05-26,1460.00,PE,ASTRAL26MAY1460PE,13.00,17.50,9.10,9.10,9.10,13.55,1561.30,6.95,30175,0,28,17522155.00,28,F1,425,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,89125,,ASTRAL,,2026-06-30,2026-06-30,1280.00,PE,ASTRAL26JUN1280PE,21.25,21.25,21.25,21.25,21.25,8.95,1561.30,3.85,12750,-425,1,553031.25,1,F1,425,,,,,
