TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-15,2026-05-15,FO,NSE,STO,91358,,BAJAJFINSV,,2026-06-30,2026-06-30,2000.00,CE,BAJAJFINSV26JUN2000CE,6.90,7.40,6.00,6.15,6.15,5.85,1728.10,8.70,30500,4250,25,12540650.00,20,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91281,,BAJAJFINSV,,2026-06-30,2026-06-30,1520.00,CE,BAJAJFINSV26JUN1520CE,0.00,0.00,0.00,176.95,0.00,176.95,1728.10,228.10,0,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,84194,,BAJAJFINSV,,2026-05-26,2026-05-26,1880.00,CE,BAJAJFINSV26MAY1880CE,1.90,2.20,1.05,1.20,1.30,1.80,1728.10,1.20,125000,1750,178,83728675.00,157,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91010,,BAJAJFINSV,,2026-05-26,2026-05-26,1860.00,CE,BAJAJFINSV26MAY1860CE,1.45,3.10,1.20,1.30,1.40,2.25,1728.10,1.30,743500,-11750,1040,484154900.00,643,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91002,,BAJAJFINSV,,2026-05-26,2026-05-26,1700.00,CE,BAJAJFINSV26MAY1700CE,56.10,70.00,44.85,47.85,49.70,61.05,1728.10,47.85,49250,1500,280,123015175.00,268,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,84182,,BAJAJFINSV,,2026-05-26,2026-05-26,1640.00,CE,BAJAJFINSV26MAY1640CE,0.00,0.00,0.00,434.40,0.00,434.40,1728.10,97.55,0,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,90998,,BAJAJFINSV,,2026-05-26,2026-05-26,1620.00,CE,BAJAJFINSV26MAY1620CE,0.00,0.00,0.00,134.65,134.65,134.65,1728.10,115.00,3500,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72559,,BAJAJFINSV,,2026-07-28,2026-07-28,2080.00,PE,BAJAJFINSV26JUL2080PE,0.00,0.00,0.00,297.10,0.00,297.10,1728.10,336.85,0,0,0,0.00,0,F1,300,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72545,,BAJAJFINSV,,2026-07-28,2026-07-28,1840.00,PE,BAJAJFINSV26JUL1840PE,0.00,0.00,0.00,124.85,0.00,124.85,1728.10,144.90,0,0,0,0.00,0,F1,300,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72533,,BAJAJFINSV,,2026-07-28,2026-07-28,1600.00,PE,BAJAJFINSV26JUL1600PE,0.00,0.00,0.00,29.55,0.00,29.55,1728.10,33.00,0,0,0,0.00,0,F1,300,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91348,,BAJAJFINSV,,2026-06-30,2026-06-30,1920.00,PE,BAJAJFINSV26JUN1920PE,0.00,0.00,0.00,120.00,120.00,120.00,1728.10,194.90,250,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72402,,BAJAJFINSV,,2026-06-30,2026-06-30,1620.00,PE,BAJAJFINSV26JUN1620PE,0.00,0.00,0.00,27.15,27.15,27.15,1728.10,25.55,2500,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91212,,BAJAJFINSV,,2026-06-30,2026-06-30,1440.00,PE,BAJAJFINSV26JUN1440PE,0.00,0.00,0.00,19.30,0.00,19.30,1728.10,2.35,0,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,84207,,BAJAJFINSV,,2026-05-26,2026-05-26,2120.00,PE,BAJAJFINSV26MAY2120PE,375.00,375.00,372.70,372.70,372.70,335.00,1728.10,388.15,14500,-2250,9,5611600.00,4,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72552,,BAJAJFINSV,,2026-07-28,2026-07-28,1960.00,CE,BAJAJFINSV26JUL1960CE,0.00,0.00,0.00,50.15,0.00,50.15,1728.10,27.05,0,0,0,0.00,0,F1,300,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,84142,,BAJAJFINSV,,2026-05-26,2026-05-26,1440.00,CE,BAJAJFINSV26MAY1440CE,0.00,0.00,0.00,342.80,342.80,342.80,1728.10,290.65,1000,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91287,,BAJAJFINSV,,2026-06-30,2026-06-30,1640.00,CE,BAJAJFINSV26JUN1640CE,0.00,0.00,0.00,197.35,197.35,197.35,1728.10,132.30,500,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91349,,BAJAJFINSV,,2026-06-30,2026-06-30,1960.00,CE,BAJAJFINSV26JUN1960CE,0.00,0.00,0.00,9.50,9.50,9.50,1728.10,12.75,2250,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72445,,BAJAJFINSV,,2026-06-30,2026-06-30,1980.00,CE,BAJAJFINSV26JUN1980CE,0.00,0.00,0.00,28.70,0.00,28.70,1728.10,10.55,0,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91322,,BAJAJFINSV,,2026-06-30,2026-06-30,1720.00,PE,BAJAJFINSV26JUN1720PE,0.00,0.00,0.00,50.25,50.25,50.25,1728.10,61.65,500,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91312,,BAJAJFINSV,,2026-06-30,2026-06-30,1680.00,PE,BAJAJFINSV26JUN1680PE,0.00,0.00,0.00,44.00,44.00,44.00,1728.10,44.65,750,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,84201,,BAJAJFINSV,,2026-05-26,2026-05-26,2000.00,PE,BAJAJFINSV26MAY2000PE,0.00,0.00,0.00,248.00,248.00,248.00,1728.10,268.45,143500,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72539,,BAJAJFINSV,,2026-07-28,2026-07-28,1720.00,PE,BAJAJFINSV26JUL1720PE,0.00,0.00,0.00,66.65,0.00,66.65,1728.10,76.85,0,0,0,0.00,0,F1,300,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,84193,,BAJAJFINSV,,2026-05-26,2026-05-26,1840.00,PE,BAJAJFINSV26MAY1840PE,94.15,113.60,86.65,108.40,108.50,100.15,1728.10,108.40,133750,-2250,35,16940112.50,35,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,84189,,BAJAJFINSV,,2026-05-26,2026-05-26,1760.00,PE,BAJAJFINSV26MAY1760PE,40.00,49.40,28.40,45.65,41.35,37.80,1728.10,45.65,128250,3750,1059,475485475.00,956,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72536,,BAJAJFINSV,,2026-07-28,2026-07-28,1680.00,CE,BAJAJFINSV26JUL1680CE,0.00,0.00,0.00,175.10,0.00,175.10,1728.10,129.20,0,0,0,0.00,0,F1,300,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,84186,,BAJAJFINSV,,2026-05-26,2026-05-26,1720.00,CE,BAJAJFINSV26MAY1720CE,49.15,54.55,31.85,34.45,36.05,46.25,1728.10,34.45,82000,-2750,665,292972437.50,617,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72411,,BAJAJFINSV,,2026-06-30,2026-06-30,1740.00,PE,BAJAJFINSV26JUN1740PE,56.30,56.30,56.30,56.30,56.30,62.00,1728.10,71.45,8500,250,1,449075.00,1,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72535,,BAJAJFINSV,,2026-07-28,2026-07-28,1640.00,PE,BAJAJFINSV26JUL1640PE,0.00,0.00,0.00,39.75,0.00,39.75,1728.10,44.90,0,0,0,0.00,0,F1,300,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72543,,BAJAJFINSV,,2026-07-28,2026-07-28,1800.00,PE,BAJAJFINSV26JUL1800PE,0.00,0.00,0.00,103.10,0.00,103.10,1728.10,119.65,0,0,0,0.00,0,F1,300,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,84205,,BAJAJFINSV,,2026-05-26,2026-05-26,2080.00,PE,BAJAJFINSV26MAY2080PE,0.00,0.00,0.00,333.00,333.00,333.00,1728.10,348.25,1750,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,84180,,BAJAJFINSV,,2026-05-26,2026-05-26,1600.00,CE,BAJAJFINSV26MAY1600CE,0.00,0.00,0.00,143.80,143.00,143.80,1728.10,133.30,5750,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91004,,BAJAJFINSV,,2026-05-26,2026-05-26,1740.00,CE,BAJAJFINSV26MAY1740CE,34.15,40.80,21.45,23.60,25.15,33.15,1728.10,23.60,399250,101250,3137,1389170200.00,2375,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91014,,BAJAJFINSV,,2026-05-26,2026-05-26,1940.00,CE,BAJAJFINSV26MAY1940CE,0.80,0.90,0.45,0.50,0.60,0.75,1728.10,0.50,159250,-3250,89,43179862.50,81,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,91211,,BAJAJFINSV,,2026-06-30,2026-06-30,1440.00,CE,BAJAJFINSV26JUN1440CE,0.00,0.00,0.00,293.00,293.00,293.00,1728.10,301.95,250,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72412,,BAJAJFINSV,,2026-06-30,2026-06-30,1780.00,CE,BAJAJFINSV26JUN1780CE,0.00,0.00,0.00,96.15,0.00,96.15,1728.10,56.00,0,0,0,0.00,0,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72426,,BAJAJFINSV,,2026-06-30,2026-06-30,1900.00,CE,BAJAJFINSV26JUN1900CE,17.75,18.50,12.85,13.00,13.20,16.20,1728.10,13.00,26000,-3000,71,34005050.00,69,F1,250,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72528,,BAJAJFINSV,,2026-07-28,2026-07-28,1520.00,CE,BAJAJFINSV26JUL1520CE,0.00,0.00,0.00,295.85,0.00,295.85,1728.10,243.70,0,0,0,0.00,0,F1,300,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,72550,,BAJAJFINSV,,2026-07-28,2026-07-28,1920.00,CE,BAJAJFINSV26JUL1920CE,0.00,0.00,0.00,61.50,0.00,61.50,1728.10,35.05,0,0,0,0.00,0,F1,300,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,38634,,BAJAJFINSV,,2026-05-26,2026-05-26,1400.00,PE,BAJAJFINSV26MAY1400PE,0.25,0.30,0.25,0.30,0.30,0.15,1728.10,0.00,9500,2750,13,4550962.50,4,F1,250,,,,,
