TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-15,2026-05-15,FO,NSE,STO,88244,,DMART,,2026-06-30,2026-06-30,4350.00,CE,DMART26JUN4350CE,0.00,0.00,0.00,233.40,233.40,233.40,4358.70,221.35,300,0,0,0.00,0,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,99319,,DMART,,2026-05-26,2026-05-26,4000.00,CE,DMART26MAY4000CE,0.00,0.00,0.00,363.60,358.85,363.60,4358.70,371.80,4350,0,0,0.00,0,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,99380,,DMART,,2026-05-26,2026-05-26,4900.00,CE,DMART26MAY4900CE,2.10,3.30,2.10,2.55,2.45,2.75,4358.70,2.55,38100,-2700,132,97070992.50,105,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,99384,,DMART,,2026-05-26,2026-05-26,5200.00,CE,DMART26MAY5200CE,1.30,1.50,1.00,1.20,1.20,1.70,4358.70,1.20,42900,-6150,65,50712712.50,43,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,88240,,DMART,,2026-06-30,2026-06-30,4150.00,CE,DMART26JUN4150CE,0.00,0.00,0.00,512.65,0.00,512.65,4358.70,338.70,0,0,0,0.00,0,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,35579,,DMART,,2026-05-26,2026-05-26,5100.00,PE,DMART26MAY5100PE,0.00,0.00,0.00,1140.40,0.00,1140.40,4358.70,732.55,0,0,0,0.00,0,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,107411,,DMART,,2026-05-26,2026-05-26,4150.00,PE,DMART26MAY4150PE,20.25,20.25,14.10,14.90,14.75,20.20,4358.70,14.90,63300,1050,296,184977802.50,294,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,99316,,DMART,,2026-05-26,2026-05-26,3800.00,PE,DMART26MAY3800PE,3.00,3.00,3.00,3.00,3.00,3.10,4358.70,0.50,5700,-150,1,570450.00,1,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,88466,,DMART,,2026-07-28,2026-07-28,4200.00,CE,DMART26JUL4200CE,0.00,0.00,0.00,528.05,0.00,528.05,4358.70,367.85,0,0,0,0.00,0,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,88460,,DMART,,2026-07-28,2026-07-28,3900.00,CE,DMART26JUL3900CE,0.00,0.00,0.00,753.55,0.00,753.55,4358.70,574.40,0,0,0,0.00,0,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,88458,,DMART,,2026-07-28,2026-07-28,3800.00,CE,DMART26JUL3800CE,0.00,0.00,0.00,837.15,0.00,837.15,4358.70,654.00,0,0,0,0.00,0,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,107396,,DMART,,2026-05-26,2026-05-26,3850.00,CE,DMART26MAY3850CE,0.00,0.00,0.00,268.85,0.00,268.85,4358.70,516.55,0,0,0,0.00,0,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,107415,,DMART,,2026-05-26,2026-05-26,4350.00,PE,DMART26MAY4350PE,69.95,79.95,54.40,61.55,61.55,73.60,4358.70,61.55,39900,0,1205,797848207.50,952,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STF,66155,,DMART,,2026-05-26,2026-05-26,,,DMART26MAYFUT,4428.90,4428.90,4344.70,4373.00,4376.00,4361.60,4358.70,4373.00,3659100,8250,1068,700923555.00,965,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,99329,,DMART,,2026-05-26,2026-05-26,4500.00,CE,DMART26MAY4500CE,28.90,40.70,22.80,27.05,25.75,28.85,4358.70,27.05,182850,-10350,1073,729335872.50,824,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,88228,,DMART,,2026-06-30,2026-06-30,3750.00,CE,DMART26JUN3750CE,0.00,0.00,0.00,848.15,0.00,848.15,4358.70,656.60,0,0,0,0.00,0,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,88238,,DMART,,2026-06-30,2026-06-30,4050.00,CE,DMART26JUN4050CE,0.00,0.00,0.00,589.75,0.00,589.75,4358.70,409.05,0,0,0,0.00,0,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,88477,,DMART,,2026-07-28,2026-07-28,4500.00,CE,DMART26JUL4500CE,0.00,0.00,0.00,347.95,0.00,347.95,4358.70,216.15,0,0,0,0.00,0,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,99314,,DMART,,2026-05-26,2026-05-26,3700.00,PE,DMART26MAY3700PE,1.85,1.85,0.70,0.70,0.70,1.00,4358.70,0.70,18150,-150,5,2775810.00,5,F1,150,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,99322,,DMART,,2026-05-26,2026-05-26,4100.00,PE,DMART26MAY4100PE,15.05,15.05,10.30,10.80,10.90,15.05,4358.70,10.80,70650,750,435,268323705.00,402,F1,150,,,,,
