TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-15,2026-05-15,FO,NSE,STO,40120,,NESTLEIND,,2026-05-26,2026-05-26,1570.00,CE,NESTLEIND26MAY1570CE,0.00,0.00,0.00,1.25,1.25,1.25,1430.50,0.40,10000,0,0,0.00,0,F1,500,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,49010,,NESTLEIND,,2026-05-26,2026-05-26,1590.00,CE,NESTLEIND26MAY1590CE,0.00,0.00,0.00,1.00,1.00,1.00,1430.50,0.20,17000,0,0,0.00,0,F1,500,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,154463,,NESTLEIND,,2026-06-30,2026-06-30,1280.00,CE,NESTLEIND26JUN1280CE,0.00,0.00,0.00,205.00,205.00,205.00,1430.50,165.65,500,0,0,0.00,0,F1,500,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,154527,,NESTLEIND,,2026-06-30,2026-06-30,1400.00,CE,NESTLEIND26JUN1400CE,83.00,83.00,82.00,82.00,82.00,88.00,1430.50,73.25,1000,500,2,1482500.00,2,F1,500,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,124500,,NESTLEIND,,2026-06-30,2026-06-30,1410.00,CE,NESTLEIND26JUN1410CE,0.00,0.00,0.00,83.70,0.00,83.70,1430.50,67.30,0,0,0,0.00,0,F1,500,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,124893,,NESTLEIND,,2026-07-28,2026-07-28,1640.00,PE,NESTLEIND26JUL1640PE,0.00,0.00,0.00,195.00,0.00,195.00,1430.50,200.05,0,0,0,0.00,0,F1,500,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,58190,,NESTLEIND,,2026-06-30,2026-06-30,1660.00,PE,NESTLEIND26JUN1660PE,0.00,0.00,0.00,265.90,0.00,265.90,1430.50,219.40,0,0,0,0.00,0,F1,500,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,124515,,NESTLEIND,,2026-06-30,2026-06-30,1530.00,PE,NESTLEIND26JUN1530PE,0.00,0.00,0.00,106.00,0.00,106.00,1430.50,106.85,0,0,0,0.00,0,F1,500,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,154273,,NESTLEIND,,2026-05-26,2026-05-26,1150.00,PE,NESTLEIND26MAY1150PE,0.00,0.00,0.00,3.00,3.00,3.00,1430.50,0.00,500,0,0,0.00,0,F1,500,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,132709,,NESTLEIND,,2026-05-26,2026-05-26,1540.00,PE,NESTLEIND26MAY1540PE,0.00,0.00,0.00,83.00,83.00,83.00,1430.50,108.05,2500,0,0,0.00,0,F1,500,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,154538,,NESTLEIND,,2026-06-30,2026-06-30,1500.00,PE,NESTLEIND26JUN1500PE,64.00,77.50,64.00,77.50,77.50,59.95,1430.50,85.15,8000,0,4,3143425.00,4,F1,500,,,,,
