TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-15,2026-05-15,FO,NSE,STO,160357,,PETRONET,,2026-05-26,2026-05-26,307.50,PE,PETRONET26MAY307.5PE,0.00,0.00,0.00,57.45,0.00,57.45,263.60,43.45,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,131233,,PETRONET,,2026-07-28,2026-07-28,315.00,CE,PETRONET26JUL315CE,0.00,0.00,0.00,9.89,0.00,9.89,263.60,4.45,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,131224,,PETRONET,,2026-07-28,2026-07-28,305.00,CE,PETRONET26JUL305CE,0.00,0.00,0.00,12.61,0.00,12.61,263.60,6.10,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,131062,,PETRONET,,2026-07-28,2026-07-28,290.00,CE,PETRONET26JUL290CE,0.00,0.00,0.00,17.83,0.00,17.83,263.60,9.65,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,131058,,PETRONET,,2026-07-28,2026-07-28,280.00,CE,PETRONET26JUL280CE,0.00,0.00,0.00,22.15,0.00,22.15,263.60,12.80,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160436,,PETRONET,,2026-06-30,2026-06-30,290.00,CE,PETRONET26JUN290CE,4.75,4.75,3.40,3.45,3.40,5.55,263.60,3.45,125400,7600,24,13401460.00,19,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,130835,,PETRONET,,2026-06-30,2026-06-30,267.50,CE,PETRONET26JUN267.5CE,0.00,0.00,0.00,24.55,0.00,24.55,263.60,13.45,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160358,,PETRONET,,2026-05-26,2026-05-26,312.50,CE,PETRONET26MAY312.5CE,0.00,0.00,0.00,0.35,0.35,0.35,263.60,0.05,45600,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160419,,PETRONET,,2026-06-30,2026-06-30,265.00,PE,PETRONET26JUN265PE,0.00,0.00,0.00,5.50,5.50,5.50,263.60,13.90,11400,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160417,,PETRONET,,2026-06-30,2026-06-30,260.00,PE,PETRONET26JUN260PE,7.25,8.50,7.25,8.10,8.30,6.00,263.60,8.10,444600,43700,25,12714135.00,17,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,130828,,PETRONET,,2026-06-30,2026-06-30,247.50,PE,PETRONET26JUN247.5PE,0.00,0.00,0.00,5.21,0.00,5.21,263.60,6.60,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,139560,,PETRONET,,2026-05-26,2026-05-26,315.00,PE,PETRONET26MAY315PE,0.00,0.00,0.00,34.50,34.50,34.50,263.60,50.90,7600,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,139524,,PETRONET,,2026-05-26,2026-05-26,260.00,PE,PETRONET26MAY260PE,2.15,3.40,1.95,3.35,3.25,1.65,263.60,3.35,1278700,1900,494,246778935.00,359,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,139515,,PETRONET,,2026-05-26,2026-05-26,245.00,PE,PETRONET26MAY245PE,0.00,0.00,0.00,0.75,0.75,0.75,263.60,1.10,49400,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160161,,PETRONET,,2026-05-26,2026-05-26,237.50,PE,PETRONET26MAY237.5PE,0.00,0.00,0.00,1.38,1.38,1.38,263.60,0.40,11400,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,130829,,PETRONET,,2026-06-30,2026-06-30,252.50,CE,PETRONET26JUN252.5CE,20.50,20.50,20.30,20.30,20.30,34.25,263.60,21.45,5700,5700,6,3111060.00,2,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160410,,PETRONET,,2026-06-30,2026-06-30,245.00,CE,PETRONET26JUN245CE,0.00,0.00,0.00,23.00,0.00,23.00,263.60,26.40,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160354,,PETRONET,,2026-05-26,2026-05-26,302.50,CE,PETRONET26MAY302.5CE,0.25,0.25,0.25,0.25,0.25,0.40,263.60,0.25,134900,0,8,4601800.00,5,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,139545,,PETRONET,,2026-05-26,2026-05-26,290.00,CE,PETRONET26MAY290CE,1.10,1.15,0.50,0.50,0.50,1.20,263.60,0.50,1425000,-174800,663,366162775.00,392,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160348,,PETRONET,,2026-05-26,2026-05-26,287.50,CE,PETRONET26MAY287.5CE,1.20,1.20,0.55,0.60,0.55,1.45,263.60,0.60,140600,-72200,90,49297115.00,45,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,130853,,PETRONET,,2026-06-30,2026-06-30,297.50,PE,PETRONET26JUN297.5PE,0.00,0.00,0.00,27.92,0.00,27.92,263.60,35.85,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160513,,PETRONET,,2026-06-30,2026-06-30,300.00,PE,PETRONET26JUN300PE,0.00,0.00,0.00,28.00,28.00,28.00,263.60,37.85,11400,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160527,,PETRONET,,2026-06-30,2026-06-30,305.00,PE,PETRONET26JUN305PE,0.00,0.00,0.00,55.75,0.00,55.75,263.60,42.05,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,139504,,PETRONET,,2026-05-26,2026-05-26,230.00,CE,PETRONET26MAY230CE,0.00,0.00,0.00,82.10,0.00,82.10,263.60,34.15,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,130836,,PETRONET,,2026-06-30,2026-06-30,267.50,PE,PETRONET26JUN267.5PE,0.00,0.00,0.00,11.66,0.00,11.66,263.60,15.20,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160356,,PETRONET,,2026-05-26,2026-05-26,307.50,CE,PETRONET26MAY307.5CE,0.20,0.20,0.20,0.20,0.20,0.25,263.60,0.10,19000,-1900,1,584630.00,1,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160418,,PETRONET,,2026-06-30,2026-06-30,265.00,CE,PETRONET26JUN265CE,0.00,0.00,0.00,14.25,0.00,14.25,263.60,14.60,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160428,,PETRONET,,2026-06-30,2026-06-30,280.00,CE,PETRONET26JUN280CE,7.80,7.80,5.45,5.60,5.45,9.05,263.60,5.60,184300,1900,39,21208560.00,33,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,130852,,PETRONET,,2026-06-30,2026-06-30,297.50,CE,PETRONET26JUN297.5CE,0.00,0.00,0.00,11.10,0.00,11.10,263.60,4.30,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160528,,PETRONET,,2026-06-30,2026-06-30,310.00,CE,PETRONET26JUN310CE,0.00,0.00,0.00,6.00,6.00,6.00,263.60,2.50,1900,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,131027,,PETRONET,,2026-07-28,2026-07-28,250.00,CE,PETRONET26JUL250CE,0.00,0.00,0.00,39.54,0.00,39.54,263.60,27.20,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160207,,PETRONET,,2026-05-26,2026-05-26,242.50,PE,PETRONET26MAY242.5PE,0.00,0.00,0.00,0.70,0.70,0.70,263.60,0.80,7600,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160351,,PETRONET,,2026-05-26,2026-05-26,292.50,PE,PETRONET26MAY292.5PE,0.00,0.00,0.00,44.20,0.00,44.20,263.60,28.90,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160405,,PETRONET,,2026-06-30,2026-06-30,230.00,PE,PETRONET26JUN230PE,1.60,1.60,1.50,1.55,1.55,1.65,263.60,2.45,20900,7600,14,6159325.00,12,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160437,,PETRONET,,2026-06-30,2026-06-30,290.00,PE,PETRONET26JUN290PE,0.00,0.00,0.00,43.60,0.00,43.60,263.60,29.95,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160441,,PETRONET,,2026-06-30,2026-06-30,295.00,PE,PETRONET26JUN295PE,0.00,0.00,0.00,47.55,0.00,47.55,263.60,33.80,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,131044,,PETRONET,,2026-07-28,2026-07-28,260.00,PE,PETRONET26JUL260PE,0.00,0.00,0.00,11.54,0.00,11.54,263.60,14.60,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STF,61267,,PETRONET,,2026-07-28,2026-07-28,,,PETRONET26JULFUT,270.05,270.10,263.50,263.50,263.50,272.05,263.60,263.50,131100,34200,35,17772030.00,34,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,139514,,PETRONET,,2026-05-26,2026-05-26,245.00,CE,PETRONET26MAY245CE,0.00,0.00,0.00,68.05,0.00,68.05,263.60,20.15,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,131231,,PETRONET,,2026-07-28,2026-07-28,310.00,PE,PETRONET26JUL310PE,0.00,0.00,0.00,31.35,31.35,31.35,263.60,47.65,1900,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,131029,,PETRONET,,2026-07-28,2026-07-28,255.00,CE,PETRONET26JUL255CE,0.00,0.00,0.00,36.17,0.00,36.17,263.60,24.25,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,131060,,PETRONET,,2026-07-28,2026-07-28,285.00,CE,PETRONET26JUL285CE,0.00,0.00,0.00,19.90,0.00,19.90,263.60,11.15,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,131064,,PETRONET,,2026-07-28,2026-07-28,295.00,CE,PETRONET26JUL295CE,0.00,0.00,0.00,15.93,0.00,15.93,263.60,8.35,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,139574,,PETRONET,,2026-05-26,2026-05-26,330.00,PE,PETRONET26MAY330PE,0.00,0.00,0.00,55.00,55.00,55.00,263.60,65.85,3800,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160526,,PETRONET,,2026-06-30,2026-06-30,305.00,CE,PETRONET26JUN305CE,0.00,0.00,0.00,4.65,0.00,4.65,263.60,3.10,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,130876,,PETRONET,,2026-06-30,2026-06-30,307.50,CE,PETRONET26JUN307.5CE,0.00,0.00,0.00,8.22,0.00,8.22,263.60,2.80,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,131042,,PETRONET,,2026-07-28,2026-07-28,255.00,PE,PETRONET26JUL255PE,0.00,0.00,0.00,9.79,0.00,9.79,263.60,12.35,0,0,0,0.00,0,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160352,,PETRONET,,2026-05-26,2026-05-26,297.50,CE,PETRONET26MAY297.5CE,0.60,0.60,0.35,0.35,0.35,0.90,263.60,0.35,36100,-5700,15,8489770.00,13,F1,1900,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,160414,,PETRONET,,2026-06-30,2026-06-30,255.00,CE,PETRONET26JUN255CE,0.00,0.00,0.00,18.20,0.00,18.20,263.60,19.95,0,0,0,0.00,0,F1,1900,,,,,
