TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-18,2026-05-18,FO,NSE,STO,89478,,EICHERMOT,,2026-06-30,2026-06-30,7750.00,CE,EICHERMOT26JUN7750CE,0.00,0.00,0.00,176.25,0.00,176.25,6913.00,77.10,0,0,0,0.00,0,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,108685,,EICHERMOT,,2026-06-30,2026-06-30,7500.00,CE,EICHERMOT26JUN7500CE,149.45,149.45,90.30,106.80,106.25,130.00,6913.00,106.80,10800,1300,82,62355140.00,75,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,89417,,EICHERMOT,,2026-06-30,2026-06-30,6350.00,CE,EICHERMOT26JUN6350CE,0.00,0.00,0.00,887.55,0.00,887.55,6913.00,698.30,0,0,0,0.00,0,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,108638,,EICHERMOT,,2026-06-30,2026-06-30,6300.00,CE,EICHERMOT26JUN6300CE,0.00,0.00,0.00,629.10,0.00,629.10,6913.00,737.30,0,0,0,0.00,0,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,100166,,EICHERMOT,,2026-05-26,2026-05-26,8100.00,CE,EICHERMOT26MAY8100CE,4.75,5.00,2.75,3.50,3.45,5.80,6913.00,3.50,40300,-100,282,228518220.00,236,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,108517,,EICHERMOT,,2026-05-26,2026-05-26,6550.00,CE,EICHERMOT26MAY6550CE,0.00,0.00,0.00,376.95,0.00,376.95,6913.00,392.85,0,0,0,0.00,0,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,100027,,EICHERMOT,,2026-05-26,2026-05-26,6300.00,CE,EICHERMOT26MAY6300CE,0.00,0.00,0.00,710.20,710.20,710.20,6913.00,624.50,3200,0,0,0.00,0,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,89423,,EICHERMOT,,2026-06-30,2026-06-30,6650.00,CE,EICHERMOT26JUN6650CE,0.00,0.00,0.00,671.15,0.00,671.15,6913.00,487.10,0,0,0,0.00,0,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,108652,,EICHERMOT,,2026-06-30,2026-06-30,7000.00,CE,EICHERMOT26JUN7000CE,265.00,293.35,234.95,275.30,276.00,339.85,6913.00,275.30,5400,1600,56,40663605.00,49,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,89475,,EICHERMOT,,2026-06-30,2026-06-30,7650.00,CE,EICHERMOT26JUN7650CE,0.00,0.00,0.00,103.65,103.65,103.65,6913.00,94.30,200,0,0,0.00,0,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,89638,,EICHERMOT,,2026-07-28,2026-07-28,7100.00,CE,EICHERMOT26JUL7100CE,0.00,0.00,0.00,506.10,0.00,506.10,6913.00,356.75,0,0,0,0.00,0,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,89644,,EICHERMOT,,2026-07-28,2026-07-28,7300.00,CE,EICHERMOT26JUL7300CE,0.00,0.00,0.00,415.75,0.00,415.75,6913.00,278.75,0,0,0,0.00,0,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,41845,,EICHERMOT,,2026-05-26,2026-05-26,6100.00,PE,EICHERMOT26MAY6100PE,5.50,7.50,4.65,4.65,4.65,5.50,6913.00,0.50,600,200,6,3663245.00,6,F1,100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,100028,,EICHERMOT,,2026-05-26,2026-05-26,6300.00,PE,EICHERMOT26MAY6300PE,11.45,22.30,9.35,10.35,11.65,8.15,6913.00,10.35,19800,0,231,145870655.00,204,F1,100,,,,,
