TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-18,2026-05-18,FO,NSE,STO,149586,,VMM,,2026-06-30,2026-06-30,125.00,PE,VMM26JUN125PE,0.00,0.00,0.00,6.82,0.00,6.82,121.63,7.65,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149770,,VMM,,2026-07-28,2026-07-28,116.00,PE,VMM26JUL116PE,0.00,0.00,0.00,4.44,0.00,4.44,121.63,4.80,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177724,,VMM,,2026-05-26,2026-05-26,109.00,CE,VMM26MAY109CE,0.00,0.00,0.00,5.05,0.00,5.05,121.63,12.85,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177864,,VMM,,2026-06-30,2026-06-30,130.00,CE,VMM26JUN130CE,0.00,0.00,0.00,3.32,3.00,3.32,121.63,3.45,14550,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149804,,VMM,,2026-07-28,2026-07-28,134.00,CE,VMM26JUL134CE,0.00,0.00,0.00,7.04,0.00,7.04,121.63,4.10,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177699,,VMM,,2026-05-26,2026-05-26,96.00,PE,VMM26MAY96PE,0.00,0.00,0.00,2.07,0.00,2.07,121.63,0.00,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177723,,VMM,,2026-05-26,2026-05-26,108.00,PE,VMM26MAY108PE,0.00,0.00,0.00,0.34,0.34,0.34,121.63,0.05,14550,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177725,,VMM,,2026-05-26,2026-05-26,109.00,PE,VMM26MAY109PE,0.50,0.50,0.50,0.50,0.50,0.86,121.63,0.10,9700,0,1,531075.00,1,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177739,,VMM,,2026-05-26,2026-05-26,116.00,PE,VMM26MAY116PE,0.00,0.00,0.00,12.19,0.00,12.19,121.63,0.70,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177861,,VMM,,2026-06-30,2026-06-30,126.00,PE,VMM26JUN126PE,0.00,0.00,0.00,20.72,0.00,20.72,121.63,8.25,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149712,,VMM,,2026-07-28,2026-07-28,102.00,PE,VMM26JUL102PE,0.00,0.00,0.00,1.24,0.00,1.24,121.63,1.20,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149764,,VMM,,2026-07-28,2026-07-28,110.00,PE,VMM26JUL110PE,0.00,0.00,0.00,2.73,0.00,2.73,121.63,2.85,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149768,,VMM,,2026-07-28,2026-07-28,114.00,PE,VMM26JUL114PE,0.00,0.00,0.00,3.81,0.00,3.81,121.63,4.05,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149772,,VMM,,2026-07-28,2026-07-28,118.00,PE,VMM26JUL118PE,0.00,0.00,0.00,5.14,0.00,5.14,121.63,5.60,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177755,,VMM,,2026-05-26,2026-05-26,124.00,PE,VMM26MAY124PE,4.45,4.45,4.04,4.39,4.39,8.10,121.63,4.40,24250,14550,4,2489020.00,4,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177759,,VMM,,2026-05-26,2026-05-26,126.00,PE,VMM26MAY126PE,0.00,0.00,0.00,8.85,8.93,8.85,121.63,5.35,38800,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177787,,VMM,,2026-05-26,2026-05-26,142.00,PE,VMM26MAY142PE,0.00,0.00,0.00,35.30,0.00,35.30,121.63,20.20,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149507,,VMM,,2026-06-30,2026-06-30,99.00,PE,VMM26JUN99PE,0.00,0.00,0.00,0.42,0.00,0.42,121.63,0.30,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177847,,VMM,,2026-06-30,2026-06-30,112.00,PE,VMM26JUN112PE,0.00,0.00,0.00,10.57,0.00,10.57,121.63,2.20,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149521,,VMM,,2026-06-30,2026-06-30,113.00,PE,VMM26JUN113PE,0.00,0.00,0.00,2.47,0.00,2.47,121.63,2.45,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149573,,VMM,,2026-06-30,2026-06-30,119.00,PE,VMM26JUN119PE,0.00,0.00,0.00,4.29,0.00,4.29,121.63,4.60,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149716,,VMM,,2026-07-28,2026-07-28,106.00,PE,VMM26JUL106PE,0.00,0.00,0.00,1.88,0.00,1.88,121.63,1.90,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149726,,VMM,,2026-07-28,2026-07-28,108.00,PE,VMM26JUL108PE,0.00,0.00,0.00,2.27,0.00,2.27,121.63,2.35,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,38611,,VMM,,2026-06-30,2026-06-30,138.00,CE,VMM26JUN138CE,0.00,0.00,0.00,1.06,0.00,1.06,121.63,1.65,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149711,,VMM,,2026-07-28,2026-07-28,102.00,CE,VMM26JUL102CE,0.00,0.00,0.00,26.69,0.00,26.69,121.63,22.10,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149713,,VMM,,2026-07-28,2026-07-28,104.00,CE,VMM26JUL104CE,0.00,0.00,0.00,25.02,0.00,25.02,121.63,20.45,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177719,,VMM,,2026-05-26,2026-05-26,106.00,PE,VMM26MAY106PE,0.00,0.00,0.00,5.90,0.00,5.90,121.63,0.05,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177771,,VMM,,2026-05-26,2026-05-26,132.00,PE,VMM26MAY132PE,0.00,0.00,0.00,25.78,0.00,25.78,121.63,10.45,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177851,,VMM,,2026-06-30,2026-06-30,116.00,PE,VMM26JUN116PE,0.00,0.00,0.00,10.81,10.81,10.81,121.63,3.40,4850,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149594,,VMM,,2026-06-30,2026-06-30,133.00,PE,VMM26JUN133PE,0.00,0.00,0.00,11.29,0.00,11.29,121.63,13.00,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149706,,VMM,,2026-07-28,2026-07-28,96.00,PE,VMM26JUL96PE,0.00,0.00,0.00,0.60,0.00,0.60,121.63,0.55,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177698,,VMM,,2026-05-26,2026-05-26,96.00,CE,VMM26MAY96CE,0.00,0.00,0.00,12.43,0.00,12.43,121.63,25.75,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177742,,VMM,,2026-05-26,2026-05-26,118.00,CE,VMM26MAY118CE,4.15,5.92,3.13,5.92,5.92,4.15,121.63,5.95,179450,-9700,52,30952991.00,51,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177782,,VMM,,2026-05-26,2026-05-26,138.00,CE,VMM26MAY138CE,0.09,0.21,0.09,0.17,0.18,0.12,121.63,0.20,310400,9700,45,30155796.50,45,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177836,,VMM,,2026-06-30,2026-06-30,102.00,CE,VMM26JUN102CE,0.00,0.00,0.00,10.47,0.00,10.47,121.63,20.90,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149522,,VMM,,2026-06-30,2026-06-30,115.00,CE,VMM26JUN115CE,0.00,0.00,0.00,8.20,8.20,8.20,121.63,10.55,4850,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149519,,VMM,,2026-06-30,2026-06-30,111.00,PE,VMM26JUN111PE,0.00,0.00,0.00,2.00,0.00,2.00,121.63,1.95,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149708,,VMM,,2026-07-28,2026-07-28,98.00,PE,VMM26JUL98PE,0.00,0.00,0.00,0.78,0.00,0.78,121.63,0.70,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177727,,VMM,,2026-05-26,2026-05-26,110.00,PE,VMM26MAY110PE,0.41,0.67,0.21,0.28,0.30,0.54,121.63,0.30,470450,-38800,122,65285559.00,87,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,177713,,VMM,,2026-05-26,2026-05-26,103.00,PE,VMM26MAY103PE,0.00,0.00,0.00,4.48,0.00,4.48,121.63,0.00,0,0,0,0.00,0,F1,4850,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,149792,,VMM,,2026-07-28,2026-07-28,124.00,CE,VMM26JUL124CE,0.00,0.00,0.00,11.42,0.00,11.42,121.63,7.70,0,0,0,0.00,0,F1,4850,,,,,
