TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-21,2026-05-21,FO,NSE,STO,104852,,INDUSTOWER,,2026-06-30,2026-06-30,365.00,PE,INDUSTOWER26JUN365PE,0.00,0.00,0.00,2.65,2.65,2.65,431.80,1.70,35700,0,0,0.00,0,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,127635,,INDUSTOWER,,2026-06-30,2026-06-30,440.00,PE,INDUSTOWER26JUN440PE,17.70,17.70,12.90,15.05,14.85,19.20,431.80,15.05,822800,256700,412,318641625.00,159,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,115128,,INDUSTOWER,,2026-05-26,2026-05-26,370.00,CE,INDUSTOWER26MAY370CE,0.00,0.00,0.00,55.55,55.55,55.55,431.80,62.10,124100,0,0,0.00,0,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,104864,,INDUSTOWER,,2026-06-30,2026-06-30,415.00,PE,INDUSTOWER26JUN415PE,4.75,5.70,4.25,5.25,4.90,7.70,431.80,5.25,69700,30600,46,32834565.00,39,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,105059,,INDUSTOWER,,2026-07-28,2026-07-28,370.00,PE,INDUSTOWER26JUL370PE,0.00,0.00,0.00,10.95,0.00,10.95,431.80,4.90,0,0,0,0.00,0,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,104905,,INDUSTOWER,,2026-06-30,2026-06-30,465.00,PE,INDUSTOWER26JUN465PE,0.00,0.00,0.00,56.55,0.00,56.55,431.80,39.95,0,0,0,0.00,0,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,105065,,INDUSTOWER,,2026-07-28,2026-07-28,390.00,PE,INDUSTOWER26JUL390PE,0.00,0.00,0.00,17.45,0.00,17.45,431.80,9.15,0,0,0,0.00,0,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,127517,,INDUSTOWER,,2026-05-26,2026-05-26,435.00,CE,INDUSTOWER26MAY435CE,5.95,6.85,2.35,3.00,3.60,3.00,431.80,3.00,1099900,28900,3636,2715357895.00,3066,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,127503,,INDUSTOWER,,2026-05-26,2026-05-26,365.00,PE,INDUSTOWER26MAY365PE,0.05,0.05,0.05,0.05,0.05,0.15,431.80,0.00,45900,-11900,7,4344095.00,7,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,115180,,INDUSTOWER,,2026-05-26,2026-05-26,400.00,PE,INDUSTOWER26MAY400PE,0.35,0.35,0.10,0.15,0.20,0.35,431.80,0.15,1547000,-166600,452,307476110.00,188,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,115184,,INDUSTOWER,,2026-05-26,2026-05-26,420.00,PE,INDUSTOWER26MAY420PE,1.40,1.45,0.40,0.65,0.65,1.90,431.80,0.65,2058700,-474300,1365,976571120.00,1003,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,127520,,INDUSTOWER,,2026-05-26,2026-05-26,445.00,PE,INDUSTOWER26MAY445PE,10.55,15.60,10.35,14.60,13.05,17.45,431.80,14.60,54400,15300,33,25638295.00,33,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,127524,,INDUSTOWER,,2026-05-26,2026-05-26,465.00,PE,INDUSTOWER26MAY465PE,0.00,0.00,0.00,50.25,50.25,50.25,431.80,33.20,23800,0,0,0.00,0,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,115058,,INDUSTOWER,,2026-05-26,2026-05-26,340.00,CE,INDUSTOWER26MAY340CE,0.00,0.00,0.00,76.55,76.55,76.55,431.80,92.10,3400,0,0,0.00,0,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,115059,,INDUSTOWER,,2026-05-26,2026-05-26,340.00,PE,INDUSTOWER26MAY340PE,0.05,0.05,0.05,0.05,0.05,0.05,431.80,0.00,180200,-1700,1,578085.00,1,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,105098,,INDUSTOWER,,2026-07-28,2026-07-28,440.00,CE,INDUSTOWER26JUL440CE,0.00,0.00,0.00,22.85,0.00,22.85,431.80,26.15,0,0,0,0.00,0,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,105060,,INDUSTOWER,,2026-07-28,2026-07-28,380.00,CE,INDUSTOWER26JUL380CE,0.00,0.00,0.00,53.35,0.00,53.35,431.80,63.10,0,0,0,0.00,0,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,127702,,INDUSTOWER,,2026-06-30,2026-06-30,480.00,CE,INDUSTOWER26JUN480CE,2.85,3.00,2.35,2.45,2.50,13.45,431.80,2.45,20400,20400,18,14767900.00,17,F1,1700,,,,,
2026-05-21,2026-05-21,FO,NSE,STO,104855,,INDUSTOWER,,2026-06-30,2026-06-30,385.00,CE,INDUSTOWER26JUN385CE,0.00,0.00,0.00,44.55,0.00,44.55,431.80,53.75,0,0,0,0.00,0,F1,1700,,,,,
