TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-22,2026-05-22,FO,NSE,STO,68971,,APLAPOLLO,,2026-06-30,2026-06-30,2180.00,PE,APLAPOLLO26JUN2180PE,0.00,0.00,0.00,235.65,0.00,235.65,1880.50,297.55,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,69032,,APLAPOLLO,,2026-07-28,2026-07-28,1880.00,CE,APLAPOLLO26JUL1880CE,0.00,0.00,0.00,207.90,0.00,207.90,1880.50,126.10,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,79955,,APLAPOLLO,,2026-05-26,2026-05-26,1680.00,CE,APLAPOLLO26MAY1680CE,0.00,0.00,0.00,547.60,0.00,547.60,1880.50,201.65,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,68961,,APLAPOLLO,,2026-06-30,2026-06-30,2060.00,PE,APLAPOLLO26JUN2060PE,0.00,0.00,0.00,154.65,0.00,154.65,1880.50,197.00,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,69037,,APLAPOLLO,,2026-07-28,2026-07-28,1960.00,PE,APLAPOLLO26JUL1960PE,0.00,0.00,0.00,119.65,0.00,119.65,1880.50,146.90,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,69043,,APLAPOLLO,,2026-07-28,2026-07-28,2080.00,PE,APLAPOLLO26JUL2080PE,0.00,0.00,0.00,184.95,0.00,184.95,1880.50,227.25,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87076,,APLAPOLLO,,2026-05-26,2026-05-26,1660.00,CE,APLAPOLLO26MAY1660CE,0.00,0.00,0.00,358.50,358.50,358.50,1880.50,221.60,700,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87145,,APLAPOLLO,,2026-05-26,2026-05-26,1980.00,CE,APLAPOLLO26MAY1980CE,0.90,1.30,0.80,1.15,1.05,1.25,1880.50,1.15,90300,-4900,47,32589007.50,40,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,80029,,APLAPOLLO,,2026-05-26,2026-05-26,2040.00,CE,APLAPOLLO26MAY2040CE,0.45,0.75,0.40,0.65,0.60,0.70,1880.50,0.65,71400,-9100,76,54279190.00,57,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87159,,APLAPOLLO,,2026-05-26,2026-05-26,2100.00,CE,APLAPOLLO26MAY2100CE,0.40,0.60,0.30,0.55,0.50,0.65,1880.50,0.55,129150,-11550,72,52932845.00,35,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87223,,APLAPOLLO,,2026-05-26,2026-05-26,2300.00,CE,APLAPOLLO26MAY2300CE,0.00,0.00,0.00,0.15,0.15,0.15,1880.50,0.00,21350,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87382,,APLAPOLLO,,2026-06-30,2026-06-30,1720.00,CE,APLAPOLLO26JUN1720CE,0.00,0.00,0.00,284.80,0.00,284.80,1880.50,196.75,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87390,,APLAPOLLO,,2026-06-30,2026-06-30,1880.00,CE,APLAPOLLO26JUN1880CE,65.10,78.75,65.10,78.40,78.40,65.10,1880.50,78.40,3150,-1050,10,6839525.00,9,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87405,,APLAPOLLO,,2026-06-30,2026-06-30,2080.00,CE,APLAPOLLO26JUN2080CE,0.00,0.00,0.00,89.00,0.00,89.00,1880.50,27.65,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87409,,APLAPOLLO,,2026-06-30,2026-06-30,2160.00,CE,APLAPOLLO26JUN2160CE,0.00,0.00,0.00,64.95,0.00,64.95,1880.50,15.40,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,69034,,APLAPOLLO,,2026-07-28,2026-07-28,1920.00,CE,APLAPOLLO26JUL1920CE,0.00,0.00,0.00,184.95,0.00,184.95,1880.50,107.35,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87162,,APLAPOLLO,,2026-05-26,2026-05-26,2140.00,PE,APLAPOLLO26MAY2140PE,290.00,290.00,290.00,290.00,290.00,160.00,1880.50,258.15,0,-350,1,850500.00,1,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,69051,,APLAPOLLO,,2026-07-28,2026-07-28,2240.00,PE,APLAPOLLO26JUL2240PE,0.00,0.00,0.00,294.00,0.00,294.00,1880.50,355.95,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,79963,,APLAPOLLO,,2026-05-26,2026-05-26,1840.00,CE,APLAPOLLO26MAY1840CE,30.60,47.15,24.70,43.80,43.80,33.45,1880.50,43.80,30800,-11900,73,47993907.50,70,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87115,,APLAPOLLO,,2026-05-26,2026-05-26,1860.00,CE,APLAPOLLO26MAY1860CE,23.45,32.20,14.40,28.00,29.15,22.95,1880.50,28.00,210000,-5250,555,365441282.50,497,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,80027,,APLAPOLLO,,2026-05-26,2026-05-26,2000.00,CE,APLAPOLLO26MAY2000CE,0.65,1.20,0.65,0.95,0.80,1.00,1880.50,0.95,220500,-30800,359,251419542.50,302,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,80045,,APLAPOLLO,,2026-05-26,2026-05-26,2280.00,CE,APLAPOLLO26MAY2280CE,0.00,0.00,0.00,17.95,17.95,17.95,1880.50,0.00,1050,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,68944,,APLAPOLLO,,2026-06-30,2026-06-30,1780.00,CE,APLAPOLLO26JUN1780CE,0.00,0.00,0.00,249.80,0.00,249.80,1880.50,153.20,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87394,,APLAPOLLO,,2026-06-30,2026-06-30,1960.00,CE,APLAPOLLO26JUN1960CE,39.00,42.60,38.35,42.40,42.60,37.50,1880.50,42.40,1400,700,7,4901137.50,7,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,69018,,APLAPOLLO,,2026-07-28,2026-07-28,1600.00,CE,APLAPOLLO26JUL1600CE,0.00,0.00,0.00,415.15,0.00,415.15,1880.50,316.65,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,69044,,APLAPOLLO,,2026-07-28,2026-07-28,2120.00,CE,APLAPOLLO26JUL2120CE,0.00,0.00,0.00,96.40,0.00,96.40,1880.50,43.30,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,79962,,APLAPOLLO,,2026-05-26,2026-05-26,1800.00,PE,APLAPOLLO26MAY1800PE,2.40,3.40,0.35,0.45,0.35,2.40,1880.50,0.45,93450,-14700,179,112846142.50,132,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,79964,,APLAPOLLO,,2026-05-26,2026-05-26,1840.00,PE,APLAPOLLO26MAY1840PE,12.75,13.60,1.70,2.00,1.70,10.65,1880.50,2.00,45150,-4550,92,59430490.00,89,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,69047,,APLAPOLLO,,2026-07-28,2026-07-28,2160.00,PE,APLAPOLLO26JUL2160PE,0.00,0.00,0.00,236.55,0.00,236.55,1880.50,289.10,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87384,,APLAPOLLO,,2026-06-30,2026-06-30,1760.00,CE,APLAPOLLO26JUN1760CE,0.00,0.00,0.00,255.70,0.00,255.70,1880.50,167.15,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87380,,APLAPOLLO,,2026-06-30,2026-06-30,1680.00,CE,APLAPOLLO26JUN1680CE,0.00,0.00,0.00,189.80,189.80,189.80,1880.50,228.75,0,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,80048,,APLAPOLLO,,2026-05-26,2026-05-26,2320.00,CE,APLAPOLLO26MAY2320CE,0.00,0.00,0.00,5.10,5.10,5.10,1880.50,0.00,3150,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,79965,,APLAPOLLO,,2026-05-26,2026-05-26,1880.00,CE,APLAPOLLO26MAY1880CE,11.90,18.00,8.60,14.60,16.60,14.45,1880.50,14.60,34650,-28000,489,324044332.50,349,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87408,,APLAPOLLO,,2026-06-30,2026-06-30,2120.00,PE,APLAPOLLO26JUN2120PE,0.00,0.00,0.00,231.60,231.60,231.60,1880.50,245.55,1050,0,0,0.00,0,F1,350,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,87070,,APLAPOLLO,,2026-05-26,2026-05-26,1580.00,PE,APLAPOLLO26MAY1580PE,0.15,0.20,0.15,0.20,0.20,0.10,1880.50,0.20,5600,-2800,35,19357327.50,21,F1,350,,,,,
