TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-22,2026-05-22,FO,NSE,STO,45018,,GODFRYPHLP,,2026-05-26,2026-05-26,2800.00,CE,GODFRYPHLP26MAY2800CE,0.95,1.10,0.40,0.45,0.50,1.05,2315.30,0.45,40150,-12650,134,103206826.25,117,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,114129,,GODFRYPHLP,,2026-05-26,2026-05-26,2220.00,CE,GODFRYPHLP26MAY2220CE,0.00,0.00,0.00,103.95,103.95,103.95,2315.30,124.80,8250,0,0,0.00,0,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,114084,,GODFRYPHLP,,2026-05-26,2026-05-26,1960.00,CE,GODFRYPHLP26MAY1960CE,0.00,0.00,0.00,184.20,0.00,184.20,2315.30,357.15,0,0,0,0.00,0,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STF,62580,,GODFRYPHLP,,2026-05-26,2026-05-26,,,GODFRYPHLP26MAYFUT,2323.50,2340.00,2290.40,2321.40,2332.00,2319.00,2315.30,2321.40,1055450,-677875,3735,2382452572.50,3111,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,93676,,GODFRYPHLP,,2026-07-28,2026-07-28,2240.00,PE,GODFRYPHLP26JUL2240PE,0.00,0.00,0.00,349.50,0.00,349.50,2315.30,218.15,0,0,0,0.00,0,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,93572,,GODFRYPHLP,,2026-07-28,2026-07-28,2160.00,PE,GODFRYPHLP26JUL2160PE,0.00,0.00,0.00,302.45,0.00,302.45,2315.30,180.70,0,0,0,0.00,0,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,93534,,GODFRYPHLP,,2026-07-28,2026-07-28,2000.00,PE,GODFRYPHLP26JUL2000PE,0.00,0.00,0.00,218.30,0.00,218.30,2315.30,117.70,0,0,0,0.00,0,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,35755,,GODFRYPHLP,,2026-06-30,2026-06-30,2700.00,PE,GODFRYPHLP26JUN2700PE,0.00,0.00,0.00,528.85,0.00,528.85,2315.30,453.00,0,0,0,0.00,0,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,114442,,GODFRYPHLP,,2026-06-30,2026-06-30,2560.00,PE,GODFRYPHLP26JUN2560PE,0.00,0.00,0.00,732.20,0.00,732.20,2315.30,349.90,0,0,0,0.00,0,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,36387,,GODFRYPHLP,,2026-06-30,2026-06-30,2520.00,PE,GODFRYPHLP26JUN2520PE,0.00,0.00,0.00,660.05,0.00,660.05,2315.30,322.55,0,0,0,0.00,0,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,114118,,GODFRYPHLP,,2026-05-26,2026-05-26,2120.00,PE,GODFRYPHLP26MAY2120PE,1.80,2.55,1.80,2.55,2.55,4.30,2315.30,2.55,3850,-275,3,1750691.25,2,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,93471,,GODFRYPHLP,,2026-06-30,2026-06-30,2500.00,PE,GODFRYPHLP26JUN2500PE,248.50,248.50,248.50,248.50,248.50,313.10,2315.30,309.25,275,-275,1,755837.50,1,F1,275,,,,,
2026-05-22,2026-05-22,FO,NSE,STO,93410,,GODFRYPHLP,,2026-06-30,2026-06-30,2380.00,PE,GODFRYPHLP26JUN2380PE,0.00,0.00,0.00,185.10,185.10,185.10,2315.30,235.00,7700,0,0,0.00,0,F1,275,,,,,
