TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-25,2026-05-25,FO,NSE,STO,101925,,ICICIPRULI,,2026-06-30,2026-06-30,545.00,CE,ICICIPRULI26JUN545CE,11.55,11.55,9.25,9.60,9.60,11.55,526.70,13.65,9250,5550,16,8224313.75,11,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,124657,,ICICIPRULI,,2026-06-30,2026-06-30,560.00,CE,ICICIPRULI26JUN560CE,6.35,7.45,5.95,6.25,6.15,6.35,526.70,6.25,40700,13875,56,29339242.50,53,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,124660,,ICICIPRULI,,2026-06-30,2026-06-30,570.00,PE,ICICIPRULI26JUN570PE,0.00,0.00,0.00,61.60,0.00,61.60,526.70,46.25,0,0,0,0.00,0,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,101945,,ICICIPRULI,,2026-06-30,2026-06-30,615.00,PE,ICICIPRULI26JUN615PE,0.00,0.00,0.00,91.40,0.00,91.40,526.70,85.70,0,0,0,0.00,0,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,102083,,ICICIPRULI,,2026-07-28,2026-07-28,430.00,PE,ICICIPRULI26JUL430PE,0.00,0.00,0.00,2.40,0.00,2.40,526.70,1.10,0,0,0,0.00,0,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,102099,,ICICIPRULI,,2026-07-28,2026-07-28,510.00,PE,ICICIPRULI26JUL510PE,0.00,0.00,0.00,21.40,0.00,21.40,526.70,16.20,0,0,0,0.00,0,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,102235,,ICICIPRULI,,2026-07-28,2026-07-28,580.00,PE,ICICIPRULI26JUL580PE,0.00,0.00,0.00,63.45,0.00,63.45,526.70,57.05,0,0,0,0.00,0,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,124641,,ICICIPRULI,,2026-06-30,2026-06-30,480.00,CE,ICICIPRULI26JUN480CE,0.00,0.00,0.00,50.70,0.00,50.70,526.70,53.40,0,0,0,0.00,0,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,124649,,ICICIPRULI,,2026-06-30,2026-06-30,520.00,CE,ICICIPRULI26JUN520CE,22.25,23.00,20.10,21.70,21.90,19.95,526.70,21.70,208125,-27750,191,95693516.25,153,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,124651,,ICICIPRULI,,2026-06-30,2026-06-30,530.00,CE,ICICIPRULI26JUN530CE,16.65,18.00,15.15,16.40,16.15,15.25,526.70,16.40,122100,-122100,410,207208417.50,345,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,124687,,ICICIPRULI,,2026-06-30,2026-06-30,600.00,CE,ICICIPRULI26JUN600CE,1.90,1.90,1.50,1.70,1.70,1.95,526.70,1.70,86950,-5550,142,79030150.00,79,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,102104,,ICICIPRULI,,2026-07-28,2026-07-28,540.00,CE,ICICIPRULI26JUL540CE,0.00,0.00,0.00,24.85,0.00,24.85,526.70,23.30,0,0,0,0.00,0,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,102187,,ICICIPRULI,,2026-07-28,2026-07-28,560.00,CE,ICICIPRULI26JUL560CE,0.00,0.00,0.00,17.70,0.00,17.70,526.70,15.85,0,0,0,0.00,0,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,102238,,ICICIPRULI,,2026-07-28,2026-07-28,590.00,CE,ICICIPRULI26JUL590CE,0.00,0.00,0.00,10.15,0.00,10.15,526.70,8.30,0,0,0,0.00,0,F1,925,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,124466,,ICICIPRULI,,2026-05-26,2026-05-26,535.00,PE,ICICIPRULI26MAY535PE,11.30,12.40,8.55,8.90,9.25,26.85,526.70,8.90,183150,-10175,18,9085350.00,18,F1,925,,,,,
