TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-25,2026-05-25,FO,NSE,STO,109605,,JSWSTEEL,,2026-06-30,2026-06-30,1230.00,CE,JSWSTEEL26JUN1230CE,0.00,0.00,0.00,91.00,91.00,91.00,1289.30,89.30,675,0,0,0.00,0,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,133596,,JSWSTEEL,,2026-06-30,2026-06-30,1280.00,PE,JSWSTEEL26JUN1280PE,33.00,35.50,30.50,30.75,30.50,34.75,1289.30,30.75,56700,11475,69,61181088.75,53,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,133377,,JSWSTEEL,,2026-05-26,2026-05-26,1230.00,CE,JSWSTEEL26MAY1230CE,54.50,54.50,54.50,54.50,54.50,58.15,1289.30,59.55,11475,-675,1,867037.50,1,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,109963,,JSWSTEEL,,2026-07-28,2026-07-28,1420.00,PE,JSWSTEEL26JUL1420PE,0.00,0.00,0.00,156.15,0.00,156.15,1289.30,141.00,0,0,0,0.00,0,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,109922,,JSWSTEEL,,2026-07-28,2026-07-28,1380.00,PE,JSWSTEEL26JUL1380PE,0.00,0.00,0.00,128.25,0.00,128.25,1289.30,112.05,0,0,0,0.00,0,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,109897,,JSWSTEEL,,2026-07-28,2026-07-28,1260.00,PE,JSWSTEEL26JUL1260PE,0.00,0.00,0.00,61.15,0.00,61.15,1289.30,45.60,0,0,0,0.00,0,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,109568,,JSWSTEEL,,2026-06-30,2026-06-30,1190.00,CE,JSWSTEEL26JUN1190CE,0.00,0.00,0.00,129.00,0.00,129.00,1289.30,119.10,0,0,0,0.00,0,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,109601,,JSWSTEEL,,2026-06-30,2026-06-30,1210.00,CE,JSWSTEEL26JUN1210CE,0.00,0.00,0.00,115.15,0.00,115.15,1289.30,103.65,0,0,0,0.00,0,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,133586,,JSWSTEEL,,2026-06-30,2026-06-30,1220.00,CE,JSWSTEEL26JUN1220CE,89.00,89.00,87.90,88.90,88.90,41.95,1289.30,96.40,4725,4725,8,7066541.25,7,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,109702,,JSWSTEEL,,2026-06-30,2026-06-30,1330.00,CE,JSWSTEEL26JUN1330CE,0.00,0.00,0.00,27.60,27.60,27.60,1289.30,35.90,2025,0,0,0.00,0,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,133613,,JSWSTEEL,,2026-06-30,2026-06-30,1380.00,CE,JSWSTEEL26JUN1380CE,0.00,0.00,0.00,11.45,0.00,11.45,1289.30,20.50,0,0,0,0.00,0,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,109919,,JSWSTEEL,,2026-07-28,2026-07-28,1360.00,CE,JSWSTEEL26JUL1360CE,0.00,0.00,0.00,56.40,0.00,56.40,1289.30,43.65,0,0,0,0.00,0,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,119612,,JSWSTEEL,,2026-05-26,2026-05-26,1040.00,PE,JSWSTEEL26MAY1040PE,0.00,0.00,0.00,0.05,0.05,0.05,1289.30,0.00,675,0,0,0.00,0,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,119628,,JSWSTEEL,,2026-05-26,2026-05-26,1200.00,CE,JSWSTEEL26MAY1200CE,93.00,93.00,84.40,90.00,90.00,88.40,1289.30,90.00,50625,-14175,26,22588098.75,18,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,133378,,JSWSTEEL,,2026-05-26,2026-05-26,1230.00,PE,JSWSTEEL26MAY1230PE,0.15,0.40,0.15,0.40,0.40,0.65,1289.30,0.05,49950,-675,3,2491222.50,3,F1,675,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,133610,,JSWSTEEL,,2026-06-30,2026-06-30,1340.00,PE,JSWSTEEL26JUN1340PE,0.00,0.00,0.00,72.15,72.15,72.15,1289.30,74.30,4725,0,0,0.00,0,F1,675,,,,,
