TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-25,2026-05-25,FO,NSE,STO,129607,,PATANJALI,,2026-06-30,2026-06-30,455.00,CE,PATANJALI26JUN455CE,0.00,0.00,0.00,30.95,0.00,30.95,468.45,27.20,0,0,0,0.00,0,F1,900,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,158882,,PATANJALI,,2026-06-30,2026-06-30,450.00,CE,PATANJALI26JUN450CE,31.00,31.00,30.75,30.75,30.75,30.90,468.45,30.40,1800,1800,2,865575.00,2,F1,900,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,138083,,PATANJALI,,2026-05-26,2026-05-26,400.00,CE,PATANJALI26MAY400CE,67.00,70.50,67.00,69.00,69.00,63.75,468.45,68.55,33300,-9000,27,11383965.00,16,F1,900,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,129596,,PATANJALI,,2026-06-30,2026-06-30,395.00,PE,PATANJALI26JUN395PE,0.00,0.00,0.00,2.45,2.45,2.45,468.45,0.60,20700,0,0,0.00,0,F1,900,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,129897,,PATANJALI,,2026-07-28,2026-07-28,560.00,PE,PATANJALI26JUL560PE,0.00,0.00,0.00,93.40,0.00,93.40,468.45,88.20,0,0,0,0.00,0,F1,1075,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,129869,,PATANJALI,,2026-07-28,2026-07-28,440.00,PE,PATANJALI26JUL440PE,0.00,0.00,0.00,15.35,0.00,15.35,468.45,10.25,0,0,0,0.00,0,F1,1075,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,129820,,PATANJALI,,2026-07-28,2026-07-28,430.00,PE,PATANJALI26JUL430PE,0.00,0.00,0.00,12.05,0.00,12.05,468.45,7.55,0,0,0,0.00,0,F1,1075,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,158892,,PATANJALI,,2026-06-30,2026-06-30,470.00,PE,PATANJALI26JUN470PE,17.95,19.45,15.55,16.05,16.35,21.00,468.45,16.05,98100,72900,149,65386800.00,125,F1,900,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,129606,,PATANJALI,,2026-06-30,2026-06-30,445.00,PE,PATANJALI26JUN445PE,0.00,0.00,0.00,13.55,0.00,13.55,468.45,7.50,0,0,0,0.00,0,F1,900,,,,,
2026-05-25,2026-05-25,FO,NSE,STO,158854,,PATANJALI,,2026-06-30,2026-06-30,380.00,PE,PATANJALI26JUN380PE,0.00,0.00,0.00,2.95,0.00,2.95,468.45,0.20,0,0,0,0.00,0,F1,900,,,,,
