TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-26,2026-05-26,FO,NSE,STO,174791,,TATAELXSI,,2026-06-30,2026-06-30,4400.00,PE,TATAELXSI26JUN4400PE,268.00,268.00,233.30,241.55,242.35,277.05,4335.60,241.55,8400,1700,51,23720925.00,50,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,174792,,TATAELXSI,,2026-06-30,2026-06-30,4500.00,CE,TATAELXSI26JUN4500CE,69.00,80.55,68.00,74.50,77.00,69.95,4335.60,74.50,64100,-1300,460,210443040.00,347,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,156404,,TATAELXSI,,2026-05-26,2026-05-26,4400.00,PE,TATAELXSI26MAY4400PE,65.00,67.85,50.85,57.10,57.10,80.65,4335.60,4335.60,9500,-600,15,6692970.00,13,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,174775,,TATAELXSI,,2026-06-30,2026-06-30,3600.00,PE,TATAELXSI26JUN3600PE,11.05,11.10,10.75,10.80,10.80,14.90,4335.60,10.80,8800,-200,5,1805475.00,5,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,143209,,TATAELXSI,,2026-06-30,2026-06-30,4250.00,CE,TATAELXSI26JUN4250CE,159.00,167.00,154.00,160.80,160.80,143.55,4335.60,262.40,2300,-100,5,2205655.00,5,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,143413,,TATAELXSI,,2026-07-28,2026-07-28,4800.00,PE,TATAELXSI26JUL4800PE,0.00,0.00,0.00,723.20,0.00,723.20,4335.60,536.10,0,0,0,0.00,0,F1,125,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,143276,,TATAELXSI,,2026-07-28,2026-07-28,4000.00,PE,TATAELXSI26JUL4000PE,0.00,0.00,0.00,185.00,185.00,185.00,4335.60,113.45,1000,0,0,0.00,0,F1,125,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,156391,,TATAELXSI,,2026-05-26,2026-05-26,3800.00,CE,TATAELXSI26MAY3800CE,0.00,0.00,0.00,358.30,358.30,358.30,4335.60,4335.60,500,0,0,0.00,0,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,156389,,TATAELXSI,,2026-05-26,2026-05-26,3700.00,CE,TATAELXSI26MAY3700CE,0.00,0.00,0.00,348.80,348.80,348.80,4335.60,4335.60,100,0,0,0.00,0,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,143283,,TATAELXSI,,2026-07-28,2026-07-28,4200.00,PE,TATAELXSI26JUL4200PE,0.00,0.00,0.00,219.00,219.00,219.00,4335.60,185.50,250,0,0,0.00,0,F1,125,,,,,
