TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-26,2026-05-26,FO,NSE,STO,146079,,TRENT,,2026-06-30,2026-06-30,3950.00,CE,TRENT26JUN3950CE,0.00,0.00,0.00,360.00,360.00,360.00,4239.60,410.45,400,0,0,0.00,0,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,146087,,TRENT,,2026-06-30,2026-06-30,4350.00,CE,TRENT26JUN4350CE,100.05,129.20,90.60,101.40,102.45,121.75,4239.60,101.40,38100,5800,696,310313815.00,567,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,146275,,TRENT,,2026-07-28,2026-07-28,5000.00,PE,TRENT26JUL5000PE,0.00,0.00,0.00,827.15,0.00,827.15,4239.60,793.00,0,0,0,0.00,0,F1,150,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,146267,,TRENT,,2026-07-28,2026-07-28,4600.00,PE,TRENT26JUL4600PE,0.00,0.00,0.00,542.45,0.00,542.45,4239.60,492.00,0,0,0,0.00,0,F1,150,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,146265,,TRENT,,2026-07-28,2026-07-28,4500.00,PE,TRENT26JUL4500PE,0.00,0.00,0.00,479.70,0.00,479.70,4239.60,426.55,0,0,0,0.00,0,F1,150,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,146090,,TRENT,,2026-06-30,2026-06-30,4450.00,PE,TRENT26JUN4450PE,0.00,0.00,0.00,398.75,0.00,398.75,4239.60,333.55,0,0,0,0.00,0,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,163387,,TRENT,,2026-05-26,2026-05-26,3300.00,PE,TRENT26MAY3300PE,0.10,0.25,0.05,0.10,0.10,0.40,4239.60,4239.60,19700,-900,33,10890685.00,20,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,146266,,TRENT,,2026-07-28,2026-07-28,4600.00,CE,TRENT26JUL4600CE,0.00,0.00,0.00,262.40,0.00,262.40,4239.60,184.20,0,0,0,0.00,0,F1,150,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,146239,,TRENT,,2026-07-28,2026-07-28,4000.00,CE,TRENT26JUL4000CE,0.00,0.00,0.00,537.20,0.00,537.20,4239.60,457.70,0,0,0,0.00,0,F1,150,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,176226,,TRENT,,2026-06-30,2026-06-30,4400.00,CE,TRENT26JUN4400CE,97.05,107.00,75.25,84.15,84.00,101.95,4239.60,84.15,153000,20200,1794,805467625.00,1489,F1,100,,,,,
2026-05-26,2026-05-26,FO,NSE,STF,61310,,TRENT,,2026-07-28,2026-07-28,,,TRENT26JULFUT,4240.10,4275.00,4188.00,4224.70,4229.00,4259.60,4239.60,4224.70,148650,39300,496,315170445.00,350,F1,150,,,,,
2026-05-26,2026-05-26,FO,NSE,STO,176148,,TRENT,,2026-05-26,2026-05-26,3250.00,CE,TRENT26MAY3250CE,0.00,0.00,0.00,679.05,679.05,679.05,4239.60,4239.60,200,0,0,0.00,0,F1,100,,,,,
