TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-27,2026-05-27,FO,NSE,STO,86866,,DALBHARAT,,2026-08-25,2026-08-25,1680.00,PE,DALBHARAT26AUG1680PE,0.00,0.00,0.00,65.20,0.00,65.20,1792.10,61.45,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,104668,,DALBHARAT,,2026-06-30,2026-06-30,2120.00,PE,DALBHARAT26JUN2120PE,0.00,0.00,0.00,331.10,0.00,331.10,1792.10,320.40,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,104656,,DALBHARAT,,2026-06-30,2026-06-30,1880.00,PE,DALBHARAT26JUN1880PE,0.00,0.00,0.00,100.35,100.35,100.35,1792.10,121.40,5200,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,85964,,DALBHARAT,,2026-06-30,2026-06-30,1740.00,PE,DALBHARAT26JUN1740PE,0.00,0.00,0.00,38.75,38.50,38.75,1792.10,47.25,11375,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,85958,,DALBHARAT,,2026-06-30,2026-06-30,1660.00,PE,DALBHARAT26JUN1660PE,14.90,14.90,14.90,14.90,14.90,18.60,1792.10,22.75,650,0,1,544342.50,1,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,86872,,DALBHARAT,,2026-08-25,2026-08-25,1760.00,CE,DALBHARAT26AUG1760CE,0.00,0.00,0.00,149.55,0.00,149.55,1792.10,154.25,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,86863,,DALBHARAT,,2026-08-25,2026-08-25,1640.00,CE,DALBHARAT26AUG1640CE,0.00,0.00,0.00,221.70,0.00,221.70,1792.10,227.90,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,86192,,DALBHARAT,,2026-07-28,2026-07-28,1520.00,CE,DALBHARAT26JUL1520CE,0.00,0.00,0.00,429.10,0.00,429.10,1792.10,301.90,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,86268,,DALBHARAT,,2026-07-28,2026-07-28,2080.00,CE,DALBHARAT26JUL2080CE,0.00,0.00,0.00,75.95,0.00,75.95,1792.10,24.80,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,86880,,DALBHARAT,,2026-08-25,2026-08-25,1920.00,CE,DALBHARAT26AUG1920CE,0.00,0.00,0.00,81.35,0.00,81.35,1792.10,84.30,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,104632,,DALBHARAT,,2026-06-30,2026-06-30,1440.00,PE,DALBHARAT26JUN1440PE,0.00,0.00,0.00,2.50,2.50,2.50,1792.10,1.05,3250,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,104648,,DALBHARAT,,2026-06-30,2026-06-30,1720.00,PE,DALBHARAT26JUN1720PE,0.00,0.00,0.00,31.40,31.85,31.40,1792.10,39.95,4550,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,85979,,DALBHARAT,,2026-06-30,2026-06-30,1980.00,CE,DALBHARAT26JUN1980CE,0.00,0.00,0.00,87.40,0.00,87.40,1792.10,20.80,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,104655,,DALBHARAT,,2026-06-30,2026-06-30,1880.00,CE,DALBHARAT26JUN1880CE,0.00,0.00,0.00,30.75,30.40,30.75,1792.10,45.30,1950,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,104665,,DALBHARAT,,2026-06-30,2026-06-30,2080.00,CE,DALBHARAT26JUN2080CE,0.00,0.00,0.00,34.70,0.00,34.70,1792.10,8.50,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,86006,,DALBHARAT,,2026-06-30,2026-06-30,2180.00,CE,DALBHARAT26JUN2180CE,0.00,0.00,0.00,5.70,5.70,5.70,1792.10,3.10,3900,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,86195,,DALBHARAT,,2026-07-28,2026-07-28,1560.00,CE,DALBHARAT26JUL1560CE,0.00,0.00,0.00,393.30,0.00,393.30,1792.10,268.05,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,86429,,DALBHARAT,,2026-07-28,2026-07-28,1700.00,CE,DALBHARAT26JUL1700CE,0.00,0.00,0.00,159.90,0.00,159.90,1792.10,164.75,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,85956,,DALBHARAT,,2026-06-30,2026-06-30,1620.00,PE,DALBHARAT26JUN1620PE,10.00,10.80,8.65,9.25,8.90,11.40,1792.10,9.25,28925,-1300,121,64090568.75,107,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,86269,,DALBHARAT,,2026-07-28,2026-07-28,2080.00,PE,DALBHARAT26JUL2080PE,0.00,0.00,0.00,207.30,0.00,207.30,1792.10,289.00,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,86873,,DALBHARAT,,2026-08-25,2026-08-25,1760.00,PE,DALBHARAT26AUG1760PE,0.00,0.00,0.00,97.95,0.00,97.95,1792.10,93.10,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,86883,,DALBHARAT,,2026-08-25,2026-08-25,1960.00,PE,DALBHARAT26AUG1960PE,0.00,0.00,0.00,214.35,0.00,214.35,1792.10,207.00,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STF,62556,,DALBHARAT,,2026-06-30,2026-06-30,,,DALBHARAT26JUNFUT,1800.00,1812.80,1792.50,1799.40,1797.20,1794.30,1792.10,1799.40,3514550,15275,1156,677046077.50,976,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,104633,,DALBHARAT,,2026-06-30,2026-06-30,1480.00,CE,DALBHARAT26JUN1480CE,0.00,0.00,0.00,339.45,0.00,339.45,1792.10,323.50,0,0,0,0.00,0,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,85959,,DALBHARAT,,2026-06-30,2026-06-30,1700.00,CE,DALBHARAT26JUN1700CE,125.70,130.00,120.75,121.45,121.45,115.15,1792.10,136.20,43225,-1300,21,12452878.75,19,F1,325,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,85967,,DALBHARAT,,2026-06-30,2026-06-30,1780.00,CE,DALBHARAT26JUN1780CE,80.30,80.35,69.00,70.60,70.60,70.30,1792.10,70.60,12025,2275,35,21080312.50,33,F1,325,,,,,
