TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-27,2026-05-27,FO,NSE,STO,97259,,GVT&D,,2026-08-25,2026-08-25,5200.00,CE,GVT&D26AUG5200CE,0.00,0.00,0.00,393.40,0.00,393.40,5097.70,523.85,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96680,,GVT&D,,2026-06-30,2026-06-30,4400.00,PE,GVT&D26JUN4400PE,0.00,0.00,0.00,119.65,0.00,119.65,5097.70,69.20,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97245,,GVT&D,,2026-08-25,2026-08-25,4400.00,PE,GVT&D26AUG4400PE,0.00,0.00,0.00,264.45,0.00,264.45,5097.70,198.45,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97298,,GVT&D,,2026-08-25,2026-08-25,5600.00,PE,GVT&D26AUG5600PE,0.00,0.00,0.00,938.45,0.00,938.45,5097.70,781.25,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96700,,GVT&D,,2026-06-30,2026-06-30,5100.00,CE,GVT&D26JUN5100CE,190.00,345.25,190.00,282.45,279.55,221.85,5097.70,282.45,7375,7375,313,210015568.75,298,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96952,,GVT&D,,2026-07-28,2026-07-28,4600.00,CE,GVT&D26JUL4600CE,0.00,0.00,0.00,572.35,0.00,572.35,5097.70,748.55,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97082,,GVT&D,,2026-07-28,2026-07-28,5000.00,PE,GVT&D26JUL5000PE,0.00,0.00,0.00,477.10,0.00,477.10,5097.70,361.60,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97090,,GVT&D,,2026-07-28,2026-07-28,5400.00,PE,GVT&D26JUL5400PE,0.00,0.00,0.00,733.65,0.00,733.65,5097.70,582.15,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96949,,GVT&D,,2026-07-28,2026-07-28,4400.00,PE,GVT&D26JUL4400PE,0.00,0.00,0.00,199.80,0.00,199.80,5097.70,138.95,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96944,,GVT&D,,2026-07-28,2026-07-28,4300.00,CE,GVT&D26JUL4300CE,0.00,0.00,0.00,759.60,0.00,759.60,5097.70,960.80,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97231,,GVT&D,,2026-08-25,2026-08-25,4000.00,CE,GVT&D26AUG4000CE,0.00,0.00,0.00,1046.85,0.00,1046.85,5097.70,1263.20,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97233,,GVT&D,,2026-08-25,2026-08-25,4200.00,CE,GVT&D26AUG4200CE,0.00,0.00,0.00,906.00,0.00,906.00,5097.70,1110.30,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96521,,GVT&D,,2026-06-30,2026-06-30,4000.00,PE,GVT&D26JUN4000PE,0.00,0.00,0.00,38.50,0.00,38.50,5097.70,19.20,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96951,,GVT&D,,2026-07-28,2026-07-28,4500.00,PE,GVT&D26JUL4500PE,0.00,0.00,0.00,236.40,0.00,236.40,5097.70,167.00,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97299,,GVT&D,,2026-08-25,2026-08-25,5800.00,CE,GVT&D26AUG5800CE,0.00,0.00,0.00,221.55,0.00,221.55,5097.70,310.20,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96699,,GVT&D,,2026-06-30,2026-06-30,5000.00,PE,GVT&D26JUN5000PE,190.00,210.00,187.35,204.85,208.00,383.15,5097.70,204.85,5500,5500,53,34429150.00,52,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96943,,GVT&D,,2026-07-28,2026-07-28,4200.00,PE,GVT&D26JUL4200PE,0.00,0.00,0.00,138.20,0.00,138.20,5097.70,92.55,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97086,,GVT&D,,2026-07-28,2026-07-28,5200.00,PE,GVT&D26JUL5200PE,0.00,0.00,0.00,598.90,0.00,598.90,5097.70,465.00,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96688,,GVT&D,,2026-06-30,2026-06-30,4700.00,CE,GVT&D26JUN4700CE,0.00,0.00,0.00,403.60,0.00,403.60,5097.70,572.00,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96707,,GVT&D,,2026-06-30,2026-06-30,5400.00,CE,GVT&D26JUN5400CE,133.00,202.00,125.00,160.80,160.00,133.50,5097.70,160.80,1625,1625,61,42338393.75,61,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96709,,GVT&D,,2026-06-30,2026-06-30,5500.00,CE,GVT&D26JUN5500CE,0.00,0.00,0.00,111.50,0.00,111.50,5097.70,186.10,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96711,,GVT&D,,2026-06-30,2026-06-30,5600.00,CE,GVT&D26JUN5600CE,82.00,138.60,78.75,108.60,112.00,92.45,5097.70,108.60,10375,10375,963,685001818.75,923,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97091,,GVT&D,,2026-07-28,2026-07-28,5500.00,CE,GVT&D26JUL5500CE,0.00,0.00,0.00,210.10,0.00,210.10,5097.70,306.00,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97246,,GVT&D,,2026-08-25,2026-08-25,4600.00,CE,GVT&D26AUG4600CE,0.00,0.00,0.00,662.80,0.00,662.80,5097.70,838.95,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97248,,GVT&D,,2026-08-25,2026-08-25,4800.00,CE,GVT&D26AUG4800CE,0.00,0.00,0.00,560.75,0.00,560.75,5097.70,721.75,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97295,,GVT&D,,2026-08-25,2026-08-25,5600.00,CE,GVT&D26AUG5600CE,0.00,0.00,0.00,269.45,0.00,269.45,5097.70,371.35,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97294,,GVT&D,,2026-08-25,2026-08-25,5400.00,PE,GVT&D26AUG5400PE,0.00,0.00,0.00,798.40,0.00,798.40,5097.70,655.45,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97260,,GVT&D,,2026-08-25,2026-08-25,5200.00,PE,GVT&D26AUG5200PE,0.00,0.00,0.00,668.30,0.00,668.30,5097.70,540.30,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97249,,GVT&D,,2026-08-25,2026-08-25,4800.00,PE,GVT&D26AUG4800PE,0.00,0.00,0.00,441.55,0.00,441.55,5097.70,344.80,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97247,,GVT&D,,2026-08-25,2026-08-25,4600.00,PE,GVT&D26AUG4600PE,0.00,0.00,0.00,346.55,0.00,346.55,5097.70,265.30,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96678,,GVT&D,,2026-06-30,2026-06-30,4300.00,PE,GVT&D26JUN4300PE,0.00,0.00,0.00,93.00,0.00,93.00,5097.70,52.05,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97097,,GVT&D,,2026-07-28,2026-07-28,5800.00,CE,GVT&D26JUL5800CE,0.00,0.00,0.00,144.05,0.00,144.05,5097.70,217.35,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97093,,GVT&D,,2026-07-28,2026-07-28,5600.00,CE,GVT&D26JUL5600CE,0.00,0.00,0.00,185.85,0.00,185.85,5097.70,273.65,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96950,,GVT&D,,2026-07-28,2026-07-28,4500.00,CE,GVT&D26JUL4500CE,0.00,0.00,0.00,630.85,0.00,630.85,5097.70,816.00,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96934,,GVT&D,,2026-07-28,2026-07-28,4000.00,CE,GVT&D26JUL4000CE,0.00,0.00,0.00,979.95,0.00,979.95,5097.70,1201.70,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96690,,GVT&D,,2026-06-30,2026-06-30,4800.00,CE,GVT&D26JUN4800CE,0.00,0.00,0.00,350.70,0.00,350.70,5097.70,507.00,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96703,,GVT&D,,2026-06-30,2026-06-30,5200.00,CE,GVT&D26JUN5200CE,283.65,283.65,235.00,238.45,238.10,188.25,5097.70,238.45,1875,1875,24,16372187.50,21,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97077,,GVT&D,,2026-07-28,2026-07-28,4800.00,CE,GVT&D26JUL4800CE,0.00,0.00,0.00,466.95,0.00,466.95,5097.70,625.05,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96691,,GVT&D,,2026-06-30,2026-06-30,4800.00,PE,GVT&D26JUN4800PE,0.00,0.00,0.00,275.00,0.00,275.00,5097.70,179.20,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96706,,GVT&D,,2026-06-30,2026-06-30,5300.00,PE,GVT&D26JUN5300PE,0.00,0.00,0.00,580.25,0.00,580.25,5097.70,423.80,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96708,,GVT&D,,2026-06-30,2026-06-30,5400.00,PE,GVT&D26JUN5400PE,0.00,0.00,0.00,654.35,0.00,654.35,5097.70,486.80,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STF,58211,,GVT&D,,2026-08-25,2026-08-25,,,GVT&D26AUGFUT,5086.50,5086.50,5086.50,5086.50,5086.50,4921.00,5097.70,5183.30,125,125,1,635812.50,1,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96646,,GVT&D,,2026-06-30,2026-06-30,4200.00,CE,GVT&D26JUN4200CE,0.00,0.00,0.00,743.20,0.00,743.20,5097.70,962.30,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96679,,GVT&D,,2026-06-30,2026-06-30,4400.00,CE,GVT&D26JUN4400CE,0.00,0.00,0.00,593.05,0.00,593.05,5097.70,794.50,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96681,,GVT&D,,2026-06-30,2026-06-30,4500.00,CE,GVT&D26JUN4500CE,0.00,0.00,0.00,524.75,0.00,524.75,5097.70,716.10,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96938,,GVT&D,,2026-07-28,2026-07-28,4200.00,CE,GVT&D26JUL4200CE,0.00,0.00,0.00,829.60,0.00,829.60,5097.70,1038.15,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97083,,GVT&D,,2026-07-28,2026-07-28,5100.00,CE,GVT&D26JUL5100CE,0.00,0.00,0.00,336.90,0.00,336.90,5097.70,467.35,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97085,,GVT&D,,2026-07-28,2026-07-28,5200.00,CE,GVT&D26JUL5200CE,0.00,0.00,0.00,300.50,0.00,300.50,5097.70,421.95,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97087,,GVT&D,,2026-07-28,2026-07-28,5300.00,CE,GVT&D26JUL5300CE,0.00,0.00,0.00,267.40,0.00,267.40,5097.70,380.00,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97089,,GVT&D,,2026-07-28,2026-07-28,5400.00,CE,GVT&D26JUL5400CE,0.00,0.00,0.00,237.30,0.00,237.30,5097.70,341.40,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97078,,GVT&D,,2026-07-28,2026-07-28,4800.00,PE,GVT&D26JUL4800PE,0.00,0.00,0.00,369.45,0.00,369.45,5097.70,272.65,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96704,,GVT&D,,2026-06-30,2026-06-30,5200.00,PE,GVT&D26JUN5200PE,0.00,0.00,0.00,510.25,0.00,510.25,5097.70,365.35,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97096,,GVT&D,,2026-07-28,2026-07-28,5700.00,PE,GVT&D26JUL5700PE,0.00,0.00,0.00,957.20,0.00,957.20,5097.70,781.45,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96689,,GVT&D,,2026-06-30,2026-06-30,4700.00,PE,GVT&D26JUN4700PE,0.00,0.00,0.00,228.45,0.00,228.45,5097.70,144.85,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,96687,,GVT&D,,2026-06-30,2026-06-30,4600.00,PE,GVT&D26JUN4600PE,0.00,0.00,0.00,187.05,0.00,187.05,5097.70,115.50,0,0,0,0.00,0,F1,125,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,97241,,GVT&D,,2026-08-25,2026-08-25,4400.00,CE,GVT&D26AUG4400CE,0.00,0.00,0.00,777.75,0.00,777.75,5097.70,968.75,0,0,0,0.00,0,F1,125,,,,,
