TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-27,2026-05-27,FO,NSE,STO,107875,,ITC,,2026-06-30,2026-06-30,299.50,PE,ITC26JUN299.5PE,10.20,10.30,7.35,9.45,9.35,8.85,291.95,9.45,944000,944000,758,374104960.00,692,F1,1600,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,107904,,ITC,,2026-06-30,2026-06-30,329.50,PE,ITC26JUN329.5PE,0.00,0.00,0.00,32.85,0.00,32.85,291.95,36.10,0,0,0,0.00,0,F1,1600,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,107997,,ITC,,2026-07-28,2026-07-28,247.00,PE,ITC26JUL247PE,0.00,0.00,0.00,0.85,0.00,0.85,291.95,0.40,0,0,0,0.00,0,F1,1725,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,108100,,ITC,,2026-07-28,2026-07-28,342.00,PE,ITC26JUL342PE,0.00,0.00,0.00,43.65,0.00,43.65,291.95,47.15,0,0,0,0.00,0,F1,1725,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,111428,,ITC,,2026-08-25,2026-08-25,302.00,PE,ITC26AUG302PE,0.00,0.00,0.00,16.65,0.00,16.65,291.95,16.80,0,0,0,0.00,0,F1,1725,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131560,,ITC,,2026-06-30,2026-06-30,272.00,CE,ITC26JUN272CE,25.20,25.90,21.55,22.85,22.85,24.45,291.95,22.85,328000,328000,78,36881360.00,76,F1,1600,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131566,,ITC,,2026-06-30,2026-06-30,287.00,CE,ITC26JUN287CE,12.50,12.50,9.60,10.20,10.50,12.05,291.95,10.20,366400,366400,309,147011360.00,300,F1,1600,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,107876,,ITC,,2026-06-30,2026-06-30,304.50,CE,ITC26JUN304.5CE,3.40,3.85,2.30,2.55,2.55,3.35,291.95,2.55,2526400,2526400,1841,905291840.00,1050,F1,1600,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131582,,ITC,,2026-06-30,2026-06-30,327.00,CE,ITC26JUN327CE,0.65,0.65,0.40,0.45,0.45,0.65,291.95,0.45,396800,396800,172,90116960.00,120,F1,1600,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131586,,ITC,,2026-06-30,2026-06-30,337.00,CE,ITC26JUN337CE,0.45,0.60,0.25,0.25,0.25,0.35,291.95,0.25,190400,190400,118,63677760.00,32,F1,1600,,,,,
