TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-27,2026-05-27,FO,NSE,STF,58305,,MARICO,,2026-08-25,2026-08-25,,,MARICO26AUGFUT,0.00,0.00,0.00,842.45,0.00,842.45,833.80,847.80,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,122264,,MARICO,,2026-08-25,2026-08-25,840.00,PE,MARICO26AUG840PE,0.00,0.00,0.00,38.65,0.00,38.65,833.80,36.00,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118818,,MARICO,,2026-07-28,2026-07-28,920.00,PE,MARICO26JUL920PE,0.00,0.00,0.00,131.40,0.00,131.40,833.80,84.90,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,122029,,MARICO,,2026-07-28,2026-07-28,865.00,PE,MARICO26JUL865PE,0.00,0.00,0.00,48.40,0.00,48.40,833.80,45.30,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118787,,MARICO,,2026-07-28,2026-07-28,850.00,PE,MARICO26JUL850PE,0.00,0.00,0.00,74.20,0.00,74.20,833.80,36.65,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,121885,,MARICO,,2026-07-28,2026-07-28,785.00,PE,MARICO26JUL785PE,0.00,0.00,0.00,12.40,0.00,12.40,833.80,11.10,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,144171,,MARICO,,2026-06-30,2026-06-30,900.00,PE,MARICO26JUN900PE,0.00,0.00,0.00,70.45,70.45,70.45,833.80,66.40,2400,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,144147,,MARICO,,2026-06-30,2026-06-30,840.00,PE,MARICO26JUN840PE,22.50,22.50,16.50,20.30,20.00,24.70,833.80,20.30,61200,60000,95,97998120.00,84,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,144127,,MARICO,,2026-06-30,2026-06-30,820.00,PE,MARICO26JUN820PE,12.30,12.65,9.60,11.70,11.60,13.15,833.80,11.70,151200,19200,162,161611920.00,132,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118403,,MARICO,,2026-06-30,2026-06-30,805.00,PE,MARICO26JUN805PE,0.00,0.00,0.00,9.20,9.20,9.20,833.80,10.85,4800,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,122257,,MARICO,,2026-08-25,2026-08-25,810.00,CE,MARICO26AUG810CE,0.00,0.00,0.00,57.15,0.00,57.15,833.80,60.40,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118835,,MARICO,,2026-07-28,2026-07-28,960.00,CE,MARICO26JUL960CE,0.00,0.00,0.00,2.60,0.00,2.60,833.80,4.05,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118821,,MARICO,,2026-07-28,2026-07-28,940.00,CE,MARICO26JUL940CE,0.00,0.00,0.00,8.00,8.00,8.00,833.80,6.20,1200,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118819,,MARICO,,2026-07-28,2026-07-28,930.00,CE,MARICO26JUL930CE,0.00,0.00,0.00,4.55,0.00,4.55,833.80,7.55,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,37224,,MARICO,,2026-06-30,2026-06-30,930.00,CE,MARICO26JUN930CE,0.00,0.00,0.00,2.75,0.00,2.75,833.80,2.45,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,144126,,MARICO,,2026-06-30,2026-06-30,820.00,CE,MARICO26JUN820CE,28.65,36.30,28.65,30.60,30.65,25.85,833.80,30.60,34800,-9600,21,21465720.00,16,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118775,,MARICO,,2026-07-28,2026-07-28,800.00,PE,MARICO26JUL800PE,0.00,0.00,0.00,42.10,0.00,42.10,833.80,15.25,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,144130,,MARICO,,2026-06-30,2026-06-30,830.00,PE,MARICO26JUN830PE,13.00,16.70,12.75,15.65,15.10,18.10,833.80,15.65,134400,82800,237,240316620.00,202,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,144227,,MARICO,,2026-06-30,2026-06-30,920.00,PE,MARICO26JUN920PE,0.00,0.00,0.00,169.60,0.00,169.60,833.80,83.75,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118629,,MARICO,,2026-07-28,2026-07-28,760.00,PE,MARICO26JUL760PE,0.00,0.00,0.00,23.45,0.00,23.45,833.80,6.05,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,122030,,MARICO,,2026-07-28,2026-07-28,875.00,CE,MARICO26JUL875CE,0.00,0.00,0.00,18.90,0.00,18.90,833.80,20.40,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118592,,MARICO,,2026-07-28,2026-07-28,660.00,CE,MARICO26JUL660CE,0.00,0.00,0.00,132.90,0.00,132.90,833.80,181.50,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118815,,MARICO,,2026-07-28,2026-07-28,910.00,CE,MARICO26JUL910CE,0.00,0.00,0.00,6.55,0.00,6.55,833.80,11.10,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,122267,,MARICO,,2026-08-25,2026-08-25,860.00,CE,MARICO26AUG860CE,0.00,0.00,0.00,32.25,0.00,32.25,833.80,34.50,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,59223,,MARICO,,2026-06-30,2026-06-30,950.00,CE,MARICO26JUN950CE,0.95,2.75,0.60,0.85,0.80,0.90,833.80,0.85,40800,6000,39,44507220.00,35,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118424,,MARICO,,2026-06-30,2026-06-30,835.00,CE,MARICO26JUN835CE,22.50,27.05,18.75,21.60,21.30,19.35,833.80,21.60,21600,10800,55,56659140.00,54,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,122275,,MARICO,,2026-08-25,2026-08-25,900.00,CE,MARICO26AUG900CE,0.00,0.00,0.00,18.95,0.00,18.95,833.80,20.45,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,122279,,MARICO,,2026-08-25,2026-08-25,920.00,CE,MARICO26AUG920CE,0.00,0.00,0.00,14.20,0.00,14.20,833.80,15.45,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118387,,MARICO,,2026-06-30,2026-06-30,765.00,PE,MARICO26JUN765PE,0.00,0.00,0.00,20.80,0.00,20.80,833.80,3.00,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118392,,MARICO,,2026-06-30,2026-06-30,795.00,CE,MARICO26JUN795CE,0.00,0.00,0.00,28.70,0.00,28.70,833.80,51.90,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,144049,,MARICO,,2026-06-30,2026-06-30,780.00,PE,MARICO26JUN780PE,3.80,3.80,2.65,2.90,2.80,3.65,833.80,2.90,355200,274800,302,283689300.00,149,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,144125,,MARICO,,2026-06-30,2026-06-30,810.00,PE,MARICO26JUN810PE,8.70,9.70,7.10,8.60,8.50,10.25,833.80,8.60,98400,56400,92,90322620.00,64,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,122288,,MARICO,,2026-08-25,2026-08-25,960.00,PE,MARICO26AUG960PE,0.00,0.00,0.00,123.40,0.00,123.40,833.80,118.65,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118820,,MARICO,,2026-07-28,2026-07-28,930.00,PE,MARICO26JUL930PE,0.00,0.00,0.00,140.35,0.00,140.35,833.80,93.15,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118816,,MARICO,,2026-07-28,2026-07-28,910.00,PE,MARICO26JUL910PE,0.00,0.00,0.00,122.60,0.00,122.60,833.80,76.90,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,118385,,MARICO,,2026-06-30,2026-06-30,755.00,PE,MARICO26JUN755PE,0.00,0.00,0.00,17.05,0.00,17.05,833.80,2.00,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,144039,,MARICO,,2026-06-30,2026-06-30,730.00,PE,MARICO26JUN730PE,0.00,0.00,0.00,8.05,8.05,8.05,833.80,0.70,6000,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,122273,,MARICO,,2026-08-25,2026-08-25,890.00,CE,MARICO26AUG890CE,0.00,0.00,0.00,21.75,0.00,21.75,833.80,23.45,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,143968,,MARICO,,2026-06-30,2026-06-30,690.00,CE,MARICO26JUN690CE,0.00,0.00,0.00,71.40,0.00,71.40,833.80,148.20,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,144067,,MARICO,,2026-06-30,2026-06-30,790.00,CE,MARICO26JUN790CE,0.00,0.00,0.00,20.50,0.00,20.50,833.80,55.75,0,0,0,0.00,0,F1,1200,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,144124,,MARICO,,2026-06-30,2026-06-30,810.00,CE,MARICO26JUN810CE,0.00,0.00,0.00,29.80,29.80,29.80,833.80,41.25,1200,0,0,0.00,0,F1,1200,,,,,
