TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-27,2026-05-27,FO,NSE,STO,128724,,ONGC,,2026-07-28,2026-07-28,305.00,CE,ONGC26JUL305CE,0.00,0.00,0.00,19.55,0.00,19.55,274.05,5.45,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,128856,,ONGC,,2026-07-28,2026-07-28,340.00,CE,ONGC26JUL340CE,1.40,1.40,0.85,0.85,0.85,7.70,274.05,0.85,6750,6750,4,3069900.00,4,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,132125,,ONGC,,2026-08-25,2026-08-25,285.00,CE,ONGC26AUG285CE,0.00,0.00,0.00,21.70,0.00,21.70,274.05,14.95,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,132323,,ONGC,,2026-08-25,2026-08-25,320.00,CE,ONGC26AUG320CE,0.00,0.00,0.00,8.45,0.00,8.45,274.05,5.20,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,157777,,ONGC,,2026-06-30,2026-06-30,300.00,PE,ONGC26JUN300PE,16.05,26.80,16.05,26.50,26.80,14.95,274.05,26.50,920250,72000,146,106349737.50,128,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,128464,,ONGC,,2026-06-30,2026-06-30,307.50,PE,ONGC26JUN307.5PE,0.00,0.00,0.00,21.95,21.95,21.95,274.05,33.55,6750,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,128500,,ONGC,,2026-06-30,2026-06-30,327.50,PE,ONGC26JUN327.5PE,0.00,0.00,0.00,30.55,0.00,30.55,274.05,51.95,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,128707,,ONGC,,2026-07-28,2026-07-28,280.00,PE,ONGC26JUL280PE,7.00,12.05,7.00,11.95,11.95,7.00,274.05,16.20,40500,33750,25,16374937.50,17,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,128835,,ONGC,,2026-07-28,2026-07-28,330.00,PE,ONGC26JUL330PE,0.00,0.00,0.00,34.20,0.00,34.20,274.05,54.05,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,132095,,ONGC,,2026-08-25,2026-08-25,235.00,PE,ONGC26AUG235PE,0.00,0.00,0.00,1.70,0.00,1.70,274.05,3.10,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,128449,,ONGC,,2026-06-30,2026-06-30,272.50,CE,ONGC26JUN272.5CE,11.30,13.60,8.85,9.45,8.90,35.85,274.05,9.45,713250,713250,463,294119325.00,227,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,128448,,ONGC,,2026-06-30,2026-06-30,267.50,PE,ONGC26JUN267.5PE,5.00,5.00,2.95,4.35,4.75,2.20,274.05,4.35,146250,76500,250,152617950.00,232,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,132096,,ONGC,,2026-08-25,2026-08-25,240.00,CE,ONGC26AUG240CE,0.00,0.00,0.00,53.30,0.00,53.30,274.05,42.00,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,128657,,ONGC,,2026-07-28,2026-07-28,235.00,CE,ONGC26JUL235CE,0.00,0.00,0.00,70.60,0.00,70.60,274.05,43.55,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,128454,,ONGC,,2026-06-30,2026-06-30,282.50,PE,ONGC26JUN282.5PE,9.05,12.70,8.30,12.10,12.70,5.80,274.05,12.10,369000,153000,531,349664400.00,514,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,157727,,ONGC,,2026-06-30,2026-06-30,285.00,PE,ONGC26JUN285PE,8.20,14.40,8.20,13.95,14.10,6.70,274.05,13.95,972000,274500,1230,820872112.50,1050,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,157781,,ONGC,,2026-06-30,2026-06-30,305.00,PE,ONGC26JUN305PE,0.00,0.00,0.00,13.75,13.70,13.75,274.05,31.40,58500,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131893,,ONGC,,2026-07-28,2026-07-28,252.50,PE,ONGC26JUL252.5PE,0.00,0.00,0.00,2.70,0.00,2.70,274.05,5.10,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131895,,ONGC,,2026-07-28,2026-07-28,257.50,PE,ONGC26JUL257.5PE,0.00,0.00,0.00,3.60,0.00,3.60,274.05,6.50,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,128493,,ONGC,,2026-06-30,2026-06-30,327.50,CE,ONGC26JUN327.5CE,0.00,0.00,0.00,1.05,1.05,1.05,274.05,0.55,65250,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,157720,,ONGC,,2026-06-30,2026-06-30,275.00,CE,ONGC26JUN275CE,10.80,12.30,7.55,8.10,7.70,17.70,274.05,8.10,1426500,1383750,1863,1191479062.50,1540,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,157706,,ONGC,,2026-06-30,2026-06-30,240.00,CE,ONGC26JUN240CE,39.00,42.05,34.75,35.40,34.75,49.80,274.05,35.40,153000,27000,33,20730262.50,29,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,128425,,ONGC,,2026-06-30,2026-06-30,237.50,CE,ONGC26JUN237.5CE,0.00,0.00,0.00,66.60,0.00,66.60,274.05,38.80,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,157702,,ONGC,,2026-06-30,2026-06-30,230.00,CE,ONGC26JUN230CE,0.00,0.00,0.00,60.15,0.00,60.15,274.05,45.85,0,0,0,0.00,0,F1,2250,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,132103,,ONGC,,2026-08-25,2026-08-25,255.00,PE,ONGC26AUG255PE,0.00,0.00,0.00,4.80,0.00,4.80,274.05,7.80,0,0,0,0.00,0,F1,2250,,,,,
