TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-27,2026-05-27,FO,NSE,STO,160677,,PFC,,2026-06-30,2026-06-30,390.00,CE,PFC26JUN390CE,46.30,46.30,46.30,46.30,46.30,46.30,433.50,51.00,6500,1300,1,567190.00,1,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STF,58345,,PFC,,2026-08-25,2026-08-25,,,PFC26AUGFUT,432.00,436.60,431.35,436.05,436.60,440.20,433.50,436.05,46800,46800,41,23152675.00,36,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131648,,PFC,,2026-07-28,2026-07-28,430.00,PE,PFC26JUL430PE,0.00,0.00,0.00,15.15,0.00,15.15,433.50,24.55,0,0,0,0.00,0,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,160694,,PFC,,2026-06-30,2026-06-30,470.00,PE,PFC26JUN470PE,39.00,39.90,39.00,39.90,39.90,38.35,433.50,42.90,308100,2600,3,1986270.00,2,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,135018,,PFC,,2026-07-28,2026-07-28,475.00,CE,PFC26JUL475CE,0.00,0.00,0.00,15.65,0.00,15.65,433.50,15.35,0,0,0,0.00,0,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,160678,,PFC,,2026-06-30,2026-06-30,390.00,PE,PFC26JUN390PE,1.85,2.05,1.55,1.70,1.70,1.95,433.50,1.70,184600,23400,68,34636290.00,61,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,160692,,PFC,,2026-06-30,2026-06-30,460.00,PE,PFC26JUN460PE,30.45,30.45,29.30,29.70,29.70,30.45,433.50,29.70,141700,-1300,5,3183050.00,5,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131597,,PFC,,2026-07-28,2026-07-28,360.00,PE,PFC26JUL360PE,0.00,0.00,0.00,2.60,0.00,2.60,433.50,3.85,0,0,0,0.00,0,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131603,,PFC,,2026-07-28,2026-07-28,390.00,PE,PFC26JUL390PE,0.00,0.00,0.00,6.15,0.00,6.15,433.50,9.70,0,0,0,0.00,0,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,134948,,PFC,,2026-07-28,2026-07-28,405.00,PE,PFC26JUL405PE,0.00,0.00,0.00,14.70,0.00,14.70,433.50,14.25,0,0,0,0.00,0,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131652,,PFC,,2026-07-28,2026-07-28,450.00,PE,PFC26JUL450PE,27.70,27.70,27.65,27.70,27.70,26.60,433.50,35.25,127400,1300,4,2483975.00,4,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,135010,,PFC,,2026-07-28,2026-07-28,455.00,PE,PFC26JUL455PE,0.00,0.00,0.00,38.85,0.00,38.85,433.50,38.25,0,0,0,0.00,0,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131656,,PFC,,2026-07-28,2026-07-28,460.00,PE,PFC26JUL460PE,0.00,0.00,0.00,25.90,0.00,25.90,433.50,41.35,0,0,0,0.00,0,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,134951,,PFC,,2026-07-28,2026-07-28,425.00,CE,PFC26JUL425CE,0.00,0.00,0.00,35.80,0.00,35.80,433.50,35.55,0,0,0,0.00,0,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,160681,,PFC,,2026-06-30,2026-06-30,410.00,CE,PFC26JUN410CE,28.05,29.75,27.55,29.75,29.75,34.35,433.50,36.30,15600,3900,7,3990350.00,7,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131399,,PFC,,2026-06-30,2026-06-30,405.00,CE,PFC26JUN405CE,0.00,0.00,0.00,85.95,0.00,85.95,433.50,39.75,0,0,0,0.00,0,F1,1300,,,,,
2026-05-27,2026-05-27,FO,NSE,STO,131645,,PFC,,2026-07-28,2026-07-28,420.00,CE,PFC26JUL420CE,0.00,0.00,0.00,79.80,0.00,79.80,433.50,38.30,0,0,0,0.00,0,F1,1300,,,,,
