TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-29,2026-05-29,FO,NSE,STO,78546,,BIOCON,,2026-07-28,2026-07-28,390.00,CE,BIOCON26JUL390CE,0.00,0.00,0.00,17.35,0.00,17.35,428.65,51.00,0,0,0,0.00,0,F1,2500,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,96128,,BIOCON,,2026-06-30,2026-06-30,470.00,CE,BIOCON26JUN470CE,4.75,5.25,3.00,3.15,3.45,4.05,428.65,3.15,370000,-75000,157,185905250.00,132,F1,2500,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,78542,,BIOCON,,2026-07-28,2026-07-28,370.00,CE,BIOCON26JUL370CE,0.00,0.00,0.00,25.15,0.00,25.15,428.65,66.75,0,0,0,0.00,0,F1,2500,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,77115,,BIOCON,,2026-08-25,2026-08-25,410.00,PE,BIOCON26AUG410PE,0.00,0.00,0.00,16.45,0.00,16.45,428.65,18.10,0,0,0,0.00,0,F1,2500,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,77129,,BIOCON,,2026-08-25,2026-08-25,480.00,PE,BIOCON26AUG480PE,0.00,0.00,0.00,53.95,0.00,53.95,428.65,57.90,0,0,0,0.00,0,F1,2500,,,,,
2026-05-29,2026-05-29,FO,NSE,STF,62386,,BIOCON,,2026-06-30,2026-06-30,,,BIOCON26JUNFUT,439.30,442.95,431.15,433.50,433.85,435.95,428.65,433.50,40612500,587500,2440,2668896000.00,1999,F1,2500,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,78544,,BIOCON,,2026-07-28,2026-07-28,380.00,CE,BIOCON26JUL380CE,0.00,0.00,0.00,27.00,27.00,27.00,428.65,58.60,2500,0,0,0.00,0,F1,2500,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,95966,,BIOCON,,2026-06-30,2026-06-30,350.00,PE,BIOCON26JUN350PE,0.00,0.00,0.00,0.50,0.50,0.50,428.65,0.40,27500,0,0,0.00,0,F1,2500,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,95997,,BIOCON,,2026-06-30,2026-06-30,380.00,PE,BIOCON26JUN380PE,1.20,1.45,1.00,1.40,1.45,1.30,428.65,1.40,315000,12500,48,45739750.00,45,F1,2500,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,78440,,BIOCON,,2026-06-30,2026-06-30,435.00,PE,BIOCON26JUN435PE,12.80,15.75,11.30,14.60,14.30,14.15,428.65,14.60,270000,27500,246,275509625.00,239,F1,2500,,,,,
