TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-29,2026-05-29,FO,NSE,STO,131701,,PGEL,,2026-06-30,2026-06-30,430.00,CE,PGEL26JUN430CE,46.00,67.50,46.00,62.70,62.70,50.00,482.55,62.70,14250,13300,36,16719715.00,36,F1,950,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,131721,,PGEL,,2026-06-30,2026-06-30,490.00,CE,PGEL26JUN490CE,15.95,28.70,13.45,21.20,21.50,21.40,482.55,21.20,443650,214700,3855,1876761337.50,3428,F1,950,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,160925,,PGEL,,2026-06-30,2026-06-30,420.00,CE,PGEL26JUN420CE,78.10,78.10,68.75,72.10,72.10,57.80,482.55,75.80,23750,9500,13,6082422.50,11,F1,950,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,131847,,PGEL,,2026-07-28,2026-07-28,480.00,CE,PGEL26JUL480CE,0.00,0.00,0.00,121.70,0.00,121.70,482.55,53.20,0,0,0,0.00,0,F1,950,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,131851,,PGEL,,2026-07-28,2026-07-28,520.00,CE,PGEL26JUL520CE,0.00,0.00,0.00,98.20,0.00,98.20,482.55,36.90,0,0,0,0.00,0,F1,950,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,135354,,PGEL,,2026-08-25,2026-08-25,540.00,CE,PGEL26AUG540CE,0.00,0.00,0.00,36.00,0.00,36.00,482.55,41.55,0,0,0,0.00,0,F1,950,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,160928,,PGEL,,2026-06-30,2026-06-30,440.00,PE,PGEL26JUN440PE,16.00,18.00,5.30,6.05,5.40,15.70,482.55,6.05,763800,47500,2484,1058905957.50,2198,F1,950,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,160932,,PGEL,,2026-06-30,2026-06-30,480.00,PE,PGEL26JUN480PE,33.15,35.00,16.50,18.45,17.15,32.95,482.55,18.45,475000,25650,2719,1298823897.50,2344,F1,950,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,131722,,PGEL,,2026-06-30,2026-06-30,490.00,PE,PGEL26JUN490PE,41.00,41.00,20.75,23.15,22.45,39.25,482.55,23.15,216600,133950,1291,632667652.50,1092,F1,950,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,131755,,PGEL,,2026-06-30,2026-06-30,590.00,CE,PGEL26JUN590CE,2.20,3.25,1.70,1.95,1.95,2.85,482.55,1.95,20900,9500,34,19132572.50,34,F1,950,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,160937,,PGEL,,2026-06-30,2026-06-30,540.00,CE,PGEL26JUN540CE,4.00,10.15,3.00,6.25,6.15,8.40,482.55,6.25,655500,50350,1619,841206380.00,1390,F1,950,,,,,
