TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-29,2026-05-29,FO,NSE,STO,175330,,TECHM,,2026-06-30,2026-06-30,1480.00,CE,TECHM26JUN1480CE,37.45,55.10,34.95,47.35,45.70,32.05,1483.90,47.35,300000,46800,2534,2319792450.00,2234,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,149627,,TECHM,,2026-07-28,2026-07-28,1340.00,CE,TECHM26JUL1340CE,0.00,0.00,0.00,159.75,0.00,159.75,1483.90,179.30,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,149685,,TECHM,,2026-08-25,2026-08-25,1200.00,PE,TECHM26AUG1200PE,0.00,0.00,0.00,10.25,0.00,10.25,1483.90,7.50,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,149636,,TECHM,,2026-07-28,2026-07-28,1500.00,PE,TECHM26JUL1500PE,78.00,78.00,74.10,74.10,74.10,93.70,1483.90,78.35,1800,1800,3,2836260.00,3,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,175334,,TECHM,,2026-06-30,2026-06-30,1560.00,CE,TECHM26JUN1560CE,13.30,21.50,12.60,17.60,16.50,10.95,1483.90,17.60,142200,14400,789,746821290.00,703,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,144779,,TECHM,,2026-07-28,2026-07-28,1440.00,CE,TECHM26JUL1440CE,0.00,0.00,0.00,84.55,0.00,84.55,1483.90,110.70,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,149735,,TECHM,,2026-08-25,2026-08-25,1600.00,CE,TECHM26AUG1600CE,0.00,0.00,0.00,51.20,0.00,51.20,1483.90,59.55,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,149719,,TECHM,,2026-08-25,2026-08-25,1320.00,CE,TECHM26AUG1320CE,0.00,0.00,0.00,190.50,0.00,190.50,1483.90,210.95,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,149640,,TECHM,,2026-07-28,2026-07-28,1580.00,PE,TECHM26JUL1580PE,0.00,0.00,0.00,145.20,0.00,145.20,1483.90,126.00,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,144786,,TECHM,,2026-07-28,2026-07-28,1560.00,PE,TECHM26JUL1560PE,0.00,0.00,0.00,172.40,0.00,172.40,1483.90,112.95,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,175321,,TECHM,,2026-06-30,2026-06-30,1280.00,PE,TECHM26JUN1280PE,3.20,3.35,1.85,2.25,2.15,4.50,1483.90,2.25,289800,18600,242,186224370.00,214,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,149682,,TECHM,,2026-08-25,2026-08-25,1200.00,CE,TECHM26AUG1200CE,0.00,0.00,0.00,286.65,0.00,286.65,1483.90,310.95,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,149639,,TECHM,,2026-07-28,2026-07-28,1580.00,CE,TECHM26JUL1580CE,0.00,0.00,0.00,40.10,0.00,40.10,1483.90,47.45,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,144741,,TECHM,,2026-06-30,2026-06-30,1700.00,CE,TECHM26JUN1700CE,1.50,2.65,1.50,2.05,2.05,1.50,1483.90,2.05,57600,28200,104,106225230.00,78,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,144735,,TECHM,,2026-06-30,2026-06-30,1620.00,CE,TECHM26JUN1620CE,6.70,9.00,5.00,7.20,6.55,4.60,1483.90,7.20,113400,7200,278,271467930.00,274,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,144731,,TECHM,,2026-06-30,2026-06-30,1540.00,CE,TECHM26JUN1540CE,19.00,27.80,16.60,23.00,21.80,14.45,1483.90,23.00,132600,28200,958,898429410.00,902,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,175326,,TECHM,,2026-06-30,2026-06-30,1400.00,CE,TECHM26JUN1400CE,86.00,109.95,83.30,99.50,94.00,74.30,1483.90,99.50,174000,-10200,161,144814710.00,148,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,144790,,TECHM,,2026-07-28,2026-07-28,1640.00,PE,TECHM26JUL1640PE,0.00,0.00,0.00,234.25,0.00,234.25,1483.90,169.00,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,175327,,TECHM,,2026-06-30,2026-06-30,1400.00,PE,TECHM26JUN1400PE,19.05,21.80,13.70,15.80,16.40,25.10,1483.90,15.80,246000,-54000,1382,1174239690.00,924,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,149723,,TECHM,,2026-08-25,2026-08-25,1400.00,CE,TECHM26AUG1400CE,0.00,0.00,0.00,137.75,0.00,137.75,1483.90,154.80,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,144787,,TECHM,,2026-07-28,2026-07-28,1600.00,CE,TECHM26JUL1600CE,23.00,30.00,23.00,28.00,28.00,33.55,1483.90,41.40,2400,2400,4,3904200.00,4,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,149637,,TECHM,,2026-07-28,2026-07-28,1540.00,CE,TECHM26JUL1540CE,0.00,0.00,0.00,52.55,0.00,52.55,1483.90,61.70,0,0,0,0.00,0,F1,600,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,144777,,TECHM,,2026-07-28,2026-07-28,1400.00,CE,TECHM26JUL1400CE,0.00,0.00,0.00,103.60,0.00,103.60,1483.90,135.90,0,0,0,0.00,0,F1,600,,,,,
