TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-29,2026-05-29,FO,NSE,STO,147750,,UNITDSPR,,2026-06-30,2026-06-30,1250.00,PE,UNITDSPR26JUN1250PE,13.00,19.90,12.90,18.35,19.90,11.90,1270.00,18.35,91200,14400,99,50129940.00,79,F1,400,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,147744,,UNITDSPR,,2026-06-30,2026-06-30,1190.00,PE,UNITDSPR26JUN1190PE,0.00,0.00,0.00,8.55,0.00,8.55,1270.00,13.20,0,0,0,0.00,0,F1,400,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,176843,,UNITDSPR,,2026-06-30,2026-06-30,1120.00,PE,UNITDSPR26JUN1120PE,0.00,0.00,0.00,2.70,2.65,2.70,1270.00,3.30,8800,0,0,0.00,0,F1,400,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,147767,,UNITDSPR,,2026-06-30,2026-06-30,1430.00,CE,UNITDSPR26JUN1430CE,3.20,3.40,2.20,2.30,2.20,3.50,1270.00,2.30,10000,-3600,19,10889460.00,18,F1,400,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,152204,,UNITDSPR,,2026-08-25,2026-08-25,1440.00,CE,UNITDSPR26AUG1440CE,0.00,0.00,0.00,33.20,0.00,33.20,1270.00,26.45,0,0,0,0.00,0,F1,400,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,152184,,UNITDSPR,,2026-08-25,2026-08-25,1240.00,CE,UNITDSPR26AUG1240CE,0.00,0.00,0.00,116.25,0.00,116.25,1270.00,101.05,0,0,0,0.00,0,F1,400,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,152156,,UNITDSPR,,2026-08-25,2026-08-25,1200.00,CE,UNITDSPR26AUG1200CE,0.00,0.00,0.00,142.35,0.00,142.35,1270.00,125.50,0,0,0,0.00,0,F1,400,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,152154,,UNITDSPR,,2026-08-25,2026-08-25,1180.00,CE,UNITDSPR26AUG1180CE,0.00,0.00,0.00,156.55,0.00,156.55,1270.00,139.05,0,0,0,0.00,0,F1,400,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,152074,,UNITDSPR,,2026-07-28,2026-07-28,1350.00,CE,UNITDSPR26JUL1350CE,0.00,0.00,0.00,46.10,0.00,46.10,1270.00,36.05,0,0,0,0.00,0,F1,400,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,152066,,UNITDSPR,,2026-07-28,2026-07-28,1310.00,CE,UNITDSPR26JUL1310CE,0.00,0.00,0.00,62.70,0.00,62.70,1270.00,50.45,0,0,0,0.00,0,F1,400,,,,,
2026-05-29,2026-05-29,FO,NSE,STO,152064,,UNITDSPR,,2026-07-28,2026-07-28,1290.00,CE,UNITDSPR26JUL1290CE,0.00,0.00,0.00,72.45,0.00,72.45,1270.00,59.10,0,0,0,0.00,0,F1,400,,,,,
