TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-01,2026-06-01,FO,NSE,STO,136880,,KPITTECH,,2026-06-30,2026-06-30,680.00,PE,KPITTECH26JUN680PE,3.10,4.55,2.50,4.45,4.55,4.55,786.10,4.45,77775,-5950,78,22648505.00,62,F1,425,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,116058,,KPITTECH,,2026-07-28,2026-07-28,770.00,CE,KPITTECH26JUL770CE,0.00,0.00,0.00,68.80,0.00,68.80,786.10,66.85,0,0,0,0.00,0,F1,775,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,112654,,KPITTECH,,2026-07-28,2026-07-28,760.00,CE,KPITTECH26JUL760CE,0.00,0.00,0.00,59.00,0.00,59.00,786.10,72.30,0,0,0,0.00,0,F1,775,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,116054,,KPITTECH,,2026-07-28,2026-07-28,730.00,CE,KPITTECH26JUL730CE,0.00,0.00,0.00,91.85,0.00,91.85,786.10,90.40,0,0,0,0.00,0,F1,775,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,112501,,KPITTECH,,2026-06-30,2026-06-30,810.00,CE,KPITTECH26JUN810CE,20.00,29.55,16.95,17.35,17.00,18.00,786.10,17.35,138125,112625,1262,447073373.75,1005,F1,425,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,136884,,KPITTECH,,2026-06-30,2026-06-30,720.00,PE,KPITTECH26JUN720PE,10.00,12.30,6.50,11.80,12.10,11.75,786.10,11.80,306850,-14875,312,96609130.00,274,F1,425,,,,,
2026-06-01,2026-06-01,FO,NSE,STF,62660,,KPITTECH,,2026-06-30,2026-06-30,,,KPITTECH26JUNFUT,770.15,801.75,766.25,768.85,767.35,770.20,786.10,768.85,7712050,203150,5026,1672101703.75,3552,F1,425,,,,,
2026-06-01,2026-06-01,FO,NSE,STF,58278,,KPITTECH,,2026-08-25,2026-08-25,,,KPITTECH26AUGFUT,775.00,785.00,761.70,761.70,761.70,762.40,786.10,798.70,19375,6975,14,8398248.75,14,F1,775,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,112497,,KPITTECH,,2026-06-30,2026-06-30,770.00,CE,KPITTECH26JUN770CE,39.85,48.95,31.00,31.50,31.55,31.85,786.10,31.50,111775,-16575,443,152497905.00,369,F1,425,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,112505,,KPITTECH,,2026-06-30,2026-06-30,850.00,CE,KPITTECH26JUN850CE,11.20,16.10,9.10,9.35,9.45,8.95,786.10,9.35,256275,212075,3860,1415153652.50,2940,F1,425,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,116169,,KPITTECH,,2026-08-25,2026-08-25,780.00,CE,KPITTECH26AUG780CE,0.00,0.00,0.00,76.90,0.00,76.90,786.10,75.55,0,0,0,0.00,0,F1,775,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,112502,,KPITTECH,,2026-06-30,2026-06-30,810.00,PE,KPITTECH26JUN810PE,46.80,58.00,38.95,57.45,58.00,64.70,786.10,57.45,29750,25925,155,56344056.25,118,F1,425,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,112498,,KPITTECH,,2026-06-30,2026-06-30,770.00,PE,KPITTECH26JUN770PE,30.95,32.70,19.05,31.85,32.10,31.15,786.10,31.85,46750,-14025,625,211255770.00,557,F1,425,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,116179,,KPITTECH,,2026-08-25,2026-08-25,800.00,PE,KPITTECH26AUG800PE,0.00,0.00,0.00,71.10,0.00,71.10,786.10,67.45,0,0,0,0.00,0,F1,775,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,116157,,KPITTECH,,2026-08-25,2026-08-25,720.00,PE,KPITTECH26AUG720PE,0.00,0.00,0.00,34.90,0.00,34.90,786.10,32.05,0,0,0,0.00,0,F1,775,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,136882,,KPITTECH,,2026-06-30,2026-06-30,700.00,PE,KPITTECH26JUN700PE,6.35,7.65,4.00,7.50,7.65,7.50,786.10,7.50,266050,12325,323,96897471.25,251,F1,425,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,112490,,KPITTECH,,2026-06-30,2026-06-30,690.00,PE,KPITTECH26JUN690PE,4.75,6.00,3.75,5.90,6.00,6.05,786.10,5.90,37400,2125,54,15954861.25,52,F1,425,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,136874,,KPITTECH,,2026-06-30,2026-06-30,620.00,PE,KPITTECH26JUN620PE,1.00,1.05,1.00,1.05,1.05,1.90,786.10,0.90,14450,7225,21,5542616.25,20,F1,425,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,116193,,KPITTECH,,2026-08-25,2026-08-25,840.00,CE,KPITTECH26AUG840CE,0.00,0.00,0.00,51.70,0.00,51.70,786.10,50.05,0,0,0,0.00,0,F1,775,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,116115,,KPITTECH,,2026-08-25,2026-08-25,680.00,CE,KPITTECH26AUG680CE,0.00,0.00,0.00,137.15,0.00,137.15,786.10,136.95,0,0,0,0.00,0,F1,775,,,,,
2026-06-01,2026-06-01,FO,NSE,STO,112485,,KPITTECH,,2026-06-30,2026-06-30,650.00,CE,KPITTECH26JUN650CE,133.75,133.75,132.35,132.35,132.35,121.30,786.10,141.45,6375,0,6,1996777.50,2,F1,425,,,,,
