TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-03,2026-06-03,FO,NSE,STO,138214,,POLICYBZR,,2026-08-25,2026-08-25,1840.00,PE,POLICYBZR26AUG1840PE,0.00,0.00,0.00,171.30,0.00,171.30,1578.50,289.65,0,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,134415,,POLICYBZR,,2026-06-30,2026-06-30,1420.00,PE,POLICYBZR26JUN1420PE,0.00,0.00,0.00,28.85,0.00,28.85,1578.50,18.10,0,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,134496,,POLICYBZR,,2026-06-30,2026-06-30,1700.00,CE,POLICYBZR26JUN1700CE,49.65,49.65,19.65,26.40,27.90,48.30,1578.50,26.40,305550,21700,866,523884865.00,757,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,163037,,POLICYBZR,,2026-06-30,2026-06-30,1760.00,CE,POLICYBZR26JUN1760CE,18.00,20.15,11.20,15.10,16.35,28.60,1578.50,15.10,166250,4200,213,132367637.50,202,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,163039,,POLICYBZR,,2026-06-30,2026-06-30,1800.00,CE,POLICYBZR26JUN1800CE,20.75,20.75,7.75,10.95,11.45,19.75,1578.50,10.95,297850,108500,1091,691721940.00,784,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,134514,,POLICYBZR,,2026-06-30,2026-06-30,1940.00,CE,POLICYBZR26JUN1940CE,5.35,5.35,3.15,3.15,3.15,5.35,1578.50,4.35,3150,0,2,1360975.00,2,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,134544,,POLICYBZR,,2026-07-28,2026-07-28,1440.00,CE,POLICYBZR26JUL1440CE,0.00,0.00,0.00,297.10,0.00,297.10,1578.50,198.00,0,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,163022,,POLICYBZR,,2026-06-30,2026-06-30,1440.00,PE,POLICYBZR26JUN1440PE,9.35,18.80,8.15,14.85,13.85,5.05,1578.50,14.85,97300,43400,424,215633407.50,358,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,163024,,POLICYBZR,,2026-06-30,2026-06-30,1480.00,PE,POLICYBZR26JUN1480PE,19.20,28.75,18.85,23.80,22.60,8.95,1578.50,23.80,21000,2800,163,85750910.00,137,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,163028,,POLICYBZR,,2026-06-30,2026-06-30,1560.00,PE,POLICYBZR26JUN1560PE,39.00,62.65,39.00,51.70,48.80,26.00,1578.50,51.70,52850,9450,319,180147362.50,268,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,134493,,POLICYBZR,,2026-06-30,2026-06-30,1620.00,PE,POLICYBZR26JUN1620PE,53.00,88.15,53.00,81.75,78.15,46.70,1578.50,81.75,28000,10150,87,51641817.50,84,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,134509,,POLICYBZR,,2026-06-30,2026-06-30,1820.00,PE,POLICYBZR26JUN1820PE,194.00,246.85,194.00,230.05,230.05,178.00,1578.50,230.05,58100,-350,10,7179445.00,10,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,40451,,POLICYBZR,,2026-07-28,2026-07-28,1340.00,PE,POLICYBZR26JUL1340PE,0.00,0.00,0.00,9.90,0.00,9.90,1578.50,20.90,0,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,137860,,POLICYBZR,,2026-07-28,2026-07-28,1380.00,PE,POLICYBZR26JUL1380PE,0.00,0.00,0.00,9.25,0.00,9.25,1578.50,28.95,0,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,134545,,POLICYBZR,,2026-07-28,2026-07-28,1440.00,PE,POLICYBZR26JUL1440PE,0.00,0.00,0.00,49.00,0.00,49.00,1578.50,44.85,0,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,134561,,POLICYBZR,,2026-07-28,2026-07-28,1760.00,PE,POLICYBZR26JUL1760PE,0.00,0.00,0.00,189.70,0.00,189.70,1578.50,214.70,0,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,138212,,POLICYBZR,,2026-08-25,2026-08-25,1800.00,PE,POLICYBZR26AUG1800PE,0.00,0.00,0.00,149.70,0.00,149.70,1578.50,259.70,0,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,137862,,POLICYBZR,,2026-07-28,2026-07-28,1420.00,PE,POLICYBZR26JUL1420PE,0.00,0.00,0.00,13.15,0.00,13.15,1578.50,39.05,0,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,134559,,POLICYBZR,,2026-07-28,2026-07-28,1720.00,PE,POLICYBZR26JUL1720PE,0.00,0.00,0.00,166.25,0.00,166.25,1578.50,186.10,0,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,134510,,POLICYBZR,,2026-06-30,2026-06-30,1860.00,CE,POLICYBZR26JUN1860CE,7.70,7.70,4.45,6.25,6.55,10.50,1578.50,6.25,58450,-9100,93,60722042.50,75,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,134511,,POLICYBZR,,2026-06-30,2026-06-30,1860.00,PE,POLICYBZR26JUN1860PE,0.00,0.00,0.00,163.00,163.00,163.00,1578.50,282.45,27650,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,138213,,POLICYBZR,,2026-08-25,2026-08-25,1840.00,CE,POLICYBZR26AUG1840CE,0.00,0.00,0.00,147.50,0.00,147.50,1578.50,56.40,0,0,0,0.00,0,F1,350,,,,,
2026-06-03,2026-06-03,FO,NSE,STO,138001,,POLICYBZR,,2026-08-25,2026-08-25,1440.00,CE,POLICYBZR26AUG1440CE,0.00,0.00,0.00,397.25,0.00,397.25,1578.50,223.30,0,0,0,0.00,0,F1,350,,,,,
