TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-04,2026-06-04,FO,NSE,STO,129100,,NMDC,,2026-07-28,2026-07-28,103.00,CE,NMDC26JUL103CE,1.82,1.82,1.68,1.69,1.70,2.16,94.70,1.70,1329750,13500,6,4241767.50,5,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129067,,NMDC,,2026-07-28,2026-07-28,95.00,CE,NMDC26JUL95CE,4.60,4.60,4.57,4.57,4.57,5.44,94.70,4.60,229500,0,2,1344397.50,2,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129063,,NMDC,,2026-07-28,2026-07-28,91.00,CE,NMDC26JUL91CE,0.00,0.00,0.00,5.96,0.00,5.96,94.70,8.10,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125787,,NMDC,,2026-07-28,2026-07-28,84.00,CE,NMDC26JUL84CE,0.00,0.00,0.00,11.41,0.00,11.41,94.70,12.95,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125785,,NMDC,,2026-07-28,2026-07-28,82.00,CE,NMDC26JUL82CE,0.00,0.00,0.00,12.75,0.00,12.75,94.70,14.55,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,155098,,NMDC,,2026-06-30,2026-06-30,104.00,CE,NMDC26JUN104CE,1.10,1.20,0.71,0.74,0.77,1.11,94.70,0.75,2619000,-202500,246,174170182.50,201,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,155088,,NMDC,,2026-06-30,2026-06-30,92.00,CE,NMDC26JUN92CE,6.19,7.00,4.90,5.02,5.10,6.18,94.70,5.05,4387500,-47250,44,28965127.50,43,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,155082,,NMDC,,2026-06-30,2026-06-30,86.00,CE,NMDC26JUN86CE,11.52,11.52,9.71,9.82,9.92,11.05,94.70,9.85,94500,-13500,5,3245535.00,5,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125721,,NMDC,,2026-06-30,2026-06-30,105.00,CE,NMDC26JUN105CE,0.90,1.12,0.59,0.65,0.65,0.95,94.70,0.65,4509000,783000,744,531173632.50,568,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125798,,NMDC,,2026-07-28,2026-07-28,94.00,CE,NMDC26JUL94CE,0.00,0.00,0.00,2.78,2.78,2.78,94.70,6.45,27000,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,155071,,NMDC,,2026-06-30,2026-06-30,74.00,PE,NMDC26JUN74PE,0.09,0.09,0.09,0.09,0.09,0.09,94.70,0.05,330750,6750,2,1000215.00,2,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,155087,,NMDC,,2026-06-30,2026-06-30,90.00,PE,NMDC26JUN90PE,0.90,1.19,0.78,1.07,1.06,0.91,94.70,1.10,6837750,-587250,600,368647672.50,451,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,155095,,NMDC,,2026-06-30,2026-06-30,98.00,PE,NMDC26JUN98PE,3.84,4.77,3.65,4.61,4.55,3.90,94.70,4.65,1383750,-47250,92,63550102.50,80,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125718,,NMDC,,2026-06-30,2026-06-30,101.00,PE,NMDC26JUN101PE,0.00,0.00,0.00,8.99,8.99,8.99,94.70,7.60,20250,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,155101,,NMDC,,2026-06-30,2026-06-30,108.00,PE,NMDC26JUN108PE,0.00,0.00,0.00,30.11,0.00,30.11,94.70,13.40,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125794,,NMDC,,2026-07-28,2026-07-28,90.00,PE,NMDC26JUL90PE,1.70,2.13,1.66,2.04,2.04,1.70,94.70,2.05,364500,175500,39,24199087.50,32,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129064,,NMDC,,2026-07-28,2026-07-28,91.00,PE,NMDC26JUL91PE,0.00,0.00,0.00,2.00,2.00,2.00,94.70,3.50,6750,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125856,,NMDC,,2026-07-28,2026-07-28,98.00,PE,NMDC26JUL98PE,0.00,0.00,0.00,10.31,0.00,10.31,94.70,6.95,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129104,,NMDC,,2026-07-28,2026-07-28,103.00,PE,NMDC26JUL103PE,0.00,0.00,0.00,8.56,8.56,8.56,94.70,10.20,20250,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125870,,NMDC,,2026-07-28,2026-07-28,108.00,PE,NMDC26JUL108PE,0.00,0.00,0.00,17.68,0.00,17.68,94.70,14.00,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129165,,NMDC,,2026-08-25,2026-08-25,78.00,PE,NMDC26AUG78PE,0.00,0.00,0.00,1.65,0.00,1.65,94.70,1.00,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129287,,NMDC,,2026-08-25,2026-08-25,108.00,PE,NMDC26AUG108PE,0.00,0.00,0.00,17.77,0.00,17.77,94.70,14.60,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,155072,,NMDC,,2026-06-30,2026-06-30,76.00,CE,NMDC26JUN76CE,0.00,0.00,0.00,20.45,20.45,20.45,94.70,19.10,128250,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125795,,NMDC,,2026-07-28,2026-07-28,92.00,CE,NMDC26JUL92CE,0.00,0.00,0.00,7.00,0.00,7.00,94.70,7.50,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125687,,NMDC,,2026-06-30,2026-06-30,81.00,CE,NMDC26JUN81CE,0.00,0.00,0.00,13.27,13.27,13.27,94.70,14.30,141750,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129090,,NMDC,,2026-07-28,2026-07-28,101.00,PE,NMDC26JUL101PE,0.00,0.00,0.00,7.12,7.12,7.12,94.70,8.80,168750,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129124,,NMDC,,2026-07-28,2026-07-28,109.00,PE,NMDC26JUL109PE,0.00,0.00,0.00,18.26,0.00,18.26,94.70,14.80,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125903,,NMDC,,2026-07-28,2026-07-28,110.00,PE,NMDC26JUL110PE,0.00,0.00,0.00,19.33,0.00,19.33,94.70,15.60,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,40148,,NMDC,,2026-06-30,2026-06-30,106.00,CE,NMDC26JUN106CE,0.66,0.95,0.50,0.54,0.56,0.82,94.70,0.55,3280500,-155250,290,208698390.00,212,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125767,,NMDC,,2026-07-28,2026-07-28,76.00,CE,NMDC26JUL76CE,0.00,0.00,0.00,17.26,0.00,17.26,94.70,19.80,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129051,,NMDC,,2026-07-28,2026-07-28,79.00,CE,NMDC26JUL79CE,0.00,0.00,0.00,13.70,0.00,13.70,94.70,17.10,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129053,,NMDC,,2026-07-28,2026-07-28,81.00,CE,NMDC26JUL81CE,0.00,0.00,0.00,12.15,0.00,12.15,94.70,15.40,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,125859,,NMDC,,2026-07-28,2026-07-28,100.00,CE,NMDC26JUL100CE,3.20,3.80,2.43,2.55,2.57,3.24,94.70,2.55,2342250,135000,69,47984467.50,57,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129197,,NMDC,,2026-08-25,2026-08-25,90.00,CE,NMDC26AUG90CE,0.00,0.00,0.00,7.78,0.00,7.78,94.70,10.15,0,0,0,0.00,0,F1,6750,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,129240,,NMDC,,2026-08-25,2026-08-25,104.00,CE,NMDC26AUG104CE,0.00,0.00,0.00,2.83,0.00,2.83,94.70,4.00,0,0,0,0.00,0,F1,6750,,,,,
