TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-04,2026-06-04,FO,NSE,STO,155790,,NUVAMA,,2026-06-30,2026-06-30,1520.00,CE,NUVAMA26JUN1520CE,88.00,88.00,88.00,88.00,88.00,75.05,1566.60,109.65,8500,0,1,804000.00,1,F1,500,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,126610,,NUVAMA,,2026-07-28,2026-07-28,1640.00,PE,NUVAMA26JUL1640PE,0.00,0.00,0.00,293.25,0.00,293.25,1566.60,150.30,0,0,0,0.00,0,F1,500,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,126334,,NUVAMA,,2026-06-30,2026-06-30,1620.00,PE,NUVAMA26JUN1620PE,0.00,0.00,0.00,264.60,0.00,264.60,1566.60,108.05,0,0,0,0.00,0,F1,500,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,155791,,NUVAMA,,2026-06-30,2026-06-30,1520.00,PE,NUVAMA26JUN1520PE,47.10,49.05,36.80,39.20,39.65,47.00,1566.60,39.20,32000,5500,46,35893525.00,29,F1,500,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,130264,,NUVAMA,,2026-07-28,2026-07-28,1700.00,CE,NUVAMA26JUL1700CE,0.00,0.00,0.00,63.45,0.00,63.45,1566.60,72.40,0,0,0,0.00,0,F1,500,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,126609,,NUVAMA,,2026-07-28,2026-07-28,1640.00,CE,NUVAMA26JUL1640CE,0.00,0.00,0.00,55.10,0.00,55.10,1566.60,93.30,0,0,0,0.00,0,F1,500,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,130242,,NUVAMA,,2026-07-28,2026-07-28,1620.00,CE,NUVAMA26JUL1620CE,0.00,0.00,0.00,87.90,0.00,87.90,1566.60,101.25,0,0,0,0.00,0,F1,500,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,126332,,NUVAMA,,2026-06-30,2026-06-30,1580.00,PE,NUVAMA26JUN1580PE,63.45,66.25,63.45,65.35,64.95,77.70,1566.60,65.35,15000,8500,27,22202550.00,21,F1,500,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,126326,,NUVAMA,,2026-06-30,2026-06-30,1460.00,PE,NUVAMA26JUN1460PE,0.00,0.00,0.00,25.60,25.60,25.60,1566.60,34.75,10500,0,0,0.00,0,F1,500,,,,,
2026-06-04,2026-06-04,FO,NSE,STO,155777,,NUVAMA,,2026-06-30,2026-06-30,1400.00,PE,NUVAMA26JUN1400PE,10.10,11.50,10.10,11.35,11.20,13.45,1566.60,11.35,62000,500,9,6350400.00,9,F1,500,,,,,
