TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-05,2026-06-05,FO,NSE,STO,109075,,INOXWIND,,2026-07-28,2026-07-28,101.00,PE,INOXWIND26JUL101PE,0.00,0.00,0.00,10.56,0.00,10.56,86.80,16.05,0,0,0,0.00,0,F1,6400,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,105938,,INOXWIND,,2026-07-28,2026-07-28,98.00,PE,INOXWIND26JUL98PE,0.00,0.00,0.00,7.75,0.00,7.75,86.80,13.75,0,0,0,0.00,0,F1,6400,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,105914,,INOXWIND,,2026-07-28,2026-07-28,76.00,PE,INOXWIND26JUL76PE,0.00,0.00,0.00,1.36,0.00,1.36,86.80,2.45,0,0,0,0.00,0,F1,6400,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,55149,,INOXWIND,,2026-07-28,2026-07-28,70.00,PE,INOXWIND26JUL70PE,0.65,0.65,0.65,0.65,0.65,0.80,86.80,1.15,6400,6400,1,452160.00,1,F1,6400,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,129278,,INOXWIND,,2026-06-30,2026-06-30,98.00,PE,INOXWIND26JUN98PE,11.53,12.80,10.84,12.79,12.79,14.79,86.80,12.30,407550,0,21,8239231.00,16,F1,3575,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,129253,,INOXWIND,,2026-06-30,2026-06-30,74.00,CE,INOXWIND26JUN74CE,13.67,13.67,12.12,12.12,12.12,9.27,86.80,13.85,14300,14300,4,1248139.75,2,F1,3575,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,105788,,INOXWIND,,2026-06-30,2026-06-30,91.00,PE,INOXWIND26JUN91PE,0.00,0.00,0.00,8.64,8.64,8.64,86.80,7.15,282425,0,0,0.00,0,F1,3575,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,129264,,INOXWIND,,2026-06-30,2026-06-30,84.00,PE,INOXWIND26JUN84PE,2.00,2.73,1.81,1.87,1.90,2.44,86.80,1.90,521950,-32175,59,18185167.00,56,F1,3575,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,109171,,INOXWIND,,2026-08-25,2026-08-25,76.00,CE,INOXWIND26AUG76CE,0.00,0.00,0.00,23.37,0.00,23.37,86.80,15.50,0,0,0,0.00,0,F1,6400,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,105832,,INOXWIND,,2026-06-30,2026-06-30,101.00,CE,INOXWIND26JUN101CE,0.82,0.82,0.53,0.53,0.53,0.55,86.80,1.05,815100,0,5,1816564.75,5,F1,3575,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,52193,,INOXWIND,,2026-06-30,2026-06-30,75.00,CE,INOXWIND26JUN75CE,12.79,12.79,10.89,11.15,11.15,21.76,86.80,13.00,10725,10725,12,3724542.25,10,F1,3575,,,,,
