TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-05,2026-06-05,FO,NSE,STO,117255,,LICHSGFIN,,2026-08-25,2026-08-25,640.00,CE,LICHSGFIN26AUG640CE,0.00,0.00,0.00,10.50,0.00,10.50,549.85,10.30,0,0,0,0.00,0,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,137970,,LICHSGFIN,,2026-06-30,2026-06-30,470.00,PE,LICHSGFIN26JUN470PE,0.00,0.00,0.00,1.00,1.00,1.00,549.85,0.65,0,0,0,0.00,0,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,113535,,LICHSGFIN,,2026-06-30,2026-06-30,625.00,PE,LICHSGFIN26JUN625PE,0.00,0.00,0.00,77.00,77.00,77.00,549.85,74.50,2000,0,0,0.00,0,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,138013,,LICHSGFIN,,2026-06-30,2026-06-30,620.00,PE,LICHSGFIN26JUN620PE,0.00,0.00,0.00,57.95,57.95,57.95,549.85,69.90,28000,0,0,0.00,0,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,113656,,LICHSGFIN,,2026-07-28,2026-07-28,520.00,PE,LICHSGFIN26JUL520PE,8.00,8.20,8.00,8.20,8.20,10.35,549.85,13.45,20000,2000,2,1056200.00,2,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,113722,,LICHSGFIN,,2026-07-28,2026-07-28,580.00,PE,LICHSGFIN26JUL580PE,0.00,0.00,0.00,49.20,0.00,49.20,549.85,42.85,0,0,0,0.00,0,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,113724,,LICHSGFIN,,2026-07-28,2026-07-28,590.00,PE,LICHSGFIN26JUL590PE,0.00,0.00,0.00,55.50,0.00,55.50,549.85,49.60,0,0,0,0.00,0,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STF,62662,,LICHSGFIN,,2026-06-30,2026-06-30,,,LICHSGFIN26JUNFUT,551.70,555.90,546.20,552.00,551.35,548.20,549.85,552.00,28596000,-1098000,3923,2161723400.00,2999,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STF,61229,,LICHSGFIN,,2026-07-28,2026-07-28,,,LICHSGFIN26JULFUT,554.60,556.90,551.90,554.85,555.75,551.80,549.85,554.85,286000,3000,35,19415650.00,31,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,113419,,LICHSGFIN,,2026-06-30,2026-06-30,575.00,CE,LICHSGFIN26JUN575CE,5.00,7.15,4.95,5.65,5.55,5.60,549.85,5.65,38000,-11000,48,27892250.00,48,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,138005,,LICHSGFIN,,2026-06-30,2026-06-30,590.00,CE,LICHSGFIN26JUN590CE,3.15,4.05,2.70,2.90,2.90,3.15,549.85,2.90,560000,187000,363,215270000.00,285,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,117022,,LICHSGFIN,,2026-07-28,2026-07-28,555.00,CE,LICHSGFIN26JUL555CE,0.00,0.00,0.00,28.20,0.00,28.20,549.85,28.55,0,0,0,0.00,0,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,113729,,LICHSGFIN,,2026-07-28,2026-07-28,620.00,CE,LICHSGFIN26JUL620CE,3.50,3.95,3.50,3.95,3.95,3.25,549.85,8.25,12000,5000,5,3118650.00,5,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,117099,,LICHSGFIN,,2026-08-25,2026-08-25,500.00,CE,LICHSGFIN26AUG500CE,0.00,0.00,0.00,66.60,0.00,66.60,549.85,69.50,0,0,0,0.00,0,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,137984,,LICHSGFIN,,2026-06-30,2026-06-30,540.00,PE,LICHSGFIN26JUN540PE,12.00,12.15,8.45,9.25,9.25,10.90,549.85,9.25,404000,-24000,260,142951150.00,203,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,137988,,LICHSGFIN,,2026-06-30,2026-06-30,560.00,PE,LICHSGFIN26JUN560PE,19.50,20.80,17.00,18.50,18.75,21.05,549.85,18.50,351000,-18000,120,69451850.00,118,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,137999,,LICHSGFIN,,2026-06-30,2026-06-30,580.00,PE,LICHSGFIN26JUN580PE,0.00,0.00,0.00,43.70,42.45,43.70,549.85,36.85,137000,0,0,0.00,0,F1,1000,,,,,
2026-06-05,2026-06-05,FO,NSE,STO,138006,,LICHSGFIN,,2026-06-30,2026-06-30,590.00,PE,LICHSGFIN26JUN590PE,0.00,0.00,0.00,50.90,50.90,50.90,549.85,44.40,6000,0,0,0.00,0,F1,1000,,,,,
