TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-08,2026-06-08,FO,NSE,STO,128972,,NHPC,,2026-08-25,2026-08-25,82.00,PE,NHPC26AUG82PE,0.00,0.00,0.00,6.64,0.00,6.64,73.51,9.55,0,0,0,0.00,0,F1,6950,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,124974,,NHPC,,2026-06-30,2026-06-30,77.00,CE,NHPC26JUN77CE,1.08,1.30,0.76,0.83,0.83,1.27,73.51,0.85,9241600,1523200,920,459302848.00,657,F1,6400,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,124960,,NHPC,,2026-06-30,2026-06-30,63.00,CE,NHPC26JUN63CE,0.00,0.00,0.00,23.06,0.00,23.06,73.51,10.85,0,0,0,0.00,0,F1,6400,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,124980,,NHPC,,2026-06-30,2026-06-30,83.00,CE,NHPC26JUN83CE,0.29,0.35,0.24,0.24,0.24,0.34,73.51,0.25,1382400,185600,98,52243136.00,91,F1,6400,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,128969,,NHPC,,2026-08-25,2026-08-25,80.00,CE,NHPC26AUG80CE,0.00,0.00,0.00,2.33,2.33,2.33,73.51,2.75,76450,0,0,0.00,0,F1,6950,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,124969,,NHPC,,2026-06-30,2026-06-30,71.00,PE,NHPC26JUN71PE,0.63,0.82,0.44,0.72,0.76,0.47,73.51,0.75,7353600,-787200,509,233196928.00,401,F1,6400,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,124975,,NHPC,,2026-06-30,2026-06-30,77.00,PE,NHPC26JUN77PE,3.60,4.25,2.97,3.99,4.15,2.97,73.51,4.00,2598400,-64000,201,103391936.00,182,F1,6400,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,125056,,NHPC,,2026-07-28,2026-07-28,64.00,PE,NHPC26JUL64PE,0.00,0.00,0.00,0.20,0.00,0.20,73.51,0.60,0,0,0,0.00,0,F1,6950,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,125062,,NHPC,,2026-07-28,2026-07-28,70.00,PE,NHPC26JUL70PE,0.91,1.18,0.83,1.10,1.18,0.79,73.51,1.10,5240300,6950,238,117395160.50,141,F1,6950,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,128815,,NHPC,,2026-07-28,2026-07-28,71.00,PE,NHPC26JUL71PE,0.00,0.00,0.00,1.80,1.80,1.80,73.51,2.40,13900,0,0,0.00,0,F1,6950,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,125162,,NHPC,,2026-07-28,2026-07-28,84.00,CE,NHPC26JUL84CE,0.00,0.00,0.00,7.17,0.00,7.17,73.51,0.95,0,0,0,0.00,0,F1,6950,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,125158,,NHPC,,2026-07-28,2026-07-28,80.00,CE,NHPC26JUL80CE,1.29,1.49,1.07,1.10,1.11,1.49,73.51,1.10,1056400,194600,57,32185936.50,49,F1,6950,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,128820,,NHPC,,2026-07-28,2026-07-28,77.00,CE,NHPC26JUL77CE,0.00,0.00,0.00,5.56,0.00,5.56,73.51,2.70,0,0,0,0.00,0,F1,6950,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,154786,,NHPC,,2026-06-30,2026-06-30,74.00,PE,NHPC26JUN74PE,1.54,2.10,1.27,1.90,1.97,1.32,73.51,1.90,6054400,889600,656,317329280.00,557,F1,6400,,,,,
2026-06-08,2026-06-08,FO,NSE,STO,128816,,NHPC,,2026-07-28,2026-07-28,73.00,CE,NHPC26JUL73CE,0.00,0.00,0.00,4.64,4.64,4.64,73.51,4.45,76450,0,0,0.00,0,F1,6950,,,,,
