TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-09,2026-06-09,FO,NSE,STO,153260,,VOLTAS,,2026-08-25,2026-08-25,1400.00,PE,VOLTAS26AUG1400PE,0.00,0.00,0.00,169.45,0.00,169.45,1304.40,141.75,0,0,0,0.00,0,F1,375,,,,,
2026-06-09,2026-06-09,FO,NSE,STO,153252,,VOLTAS,,2026-08-25,2026-08-25,1280.00,PE,VOLTAS26AUG1280PE,0.00,0.00,0.00,97.15,0.00,97.15,1304.40,75.20,0,0,0,0.00,0,F1,375,,,,,
2026-06-09,2026-06-09,FO,NSE,STO,153250,,VOLTAS,,2026-08-25,2026-08-25,1240.00,PE,VOLTAS26AUG1240PE,0.00,0.00,0.00,77.70,0.00,77.70,1304.40,58.15,0,0,0,0.00,0,F1,375,,,,,
2026-06-09,2026-06-09,FO,NSE,STO,150049,,VOLTAS,,2026-07-28,2026-07-28,1400.00,PE,VOLTAS26JUL1400PE,132.00,132.00,129.15,130.00,130.00,140.50,1304.40,127.75,6000,1125,6,3443643.75,6,F1,375,,,,,
2026-06-09,2026-06-09,FO,NSE,STO,153194,,VOLTAS,,2026-07-28,2026-07-28,1380.00,PE,VOLTAS26JUL1380PE,0.00,0.00,0.00,143.70,0.00,143.70,1304.40,114.45,0,0,0,0.00,0,F1,375,,,,,
2026-06-09,2026-06-09,FO,NSE,STO,150043,,VOLTAS,,2026-07-28,2026-07-28,1280.00,PE,VOLTAS26JUL1280PE,0.00,0.00,0.00,60.00,60.00,60.00,1304.40,59.35,1125,0,0,0.00,0,F1,375,,,,,
2026-06-09,2026-06-09,FO,NSE,STO,153186,,VOLTAS,,2026-07-28,2026-07-28,1220.00,PE,VOLTAS26JUL1220PE,0.00,0.00,0.00,37.00,37.00,37.00,1304.40,36.05,375,0,0,0.00,0,F1,375,,,,,
2026-06-09,2026-06-09,FO,NSE,STO,153180,,VOLTAS,,2026-07-28,2026-07-28,1100.00,PE,VOLTAS26JUL1100PE,10.00,10.00,9.35,9.35,9.35,10.00,1304.40,9.70,18375,-375,5,2080650.00,3,F1,375,,,,,
2026-06-09,2026-06-09,FO,NSE,STO,150008,,VOLTAS,,2026-07-28,2026-07-28,1040.00,PE,VOLTAS26JUL1040PE,0.00,0.00,0.00,4.70,4.70,4.70,1304.40,4.10,750,0,0,0.00,0,F1,375,,,,,
2026-06-09,2026-06-09,FO,NSE,STO,153198,,VOLTAS,,2026-07-28,2026-07-28,1460.00,PE,VOLTAS26JUL1460PE,0.00,0.00,0.00,203.15,0.00,203.15,1304.40,171.60,0,0,0,0.00,0,F1,375,,,,,
