TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-10,2026-06-10,FO,NSE,STF,58091,,ADANIPOWER,,2026-08-25,2026-08-25,,,ADANIPOWER26AUGFUT,227.00,230.00,223.95,224.26,223.95,230.21,220.58,224.26,919450,99400,43,34611115.50,43,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,67372,,ADANIPOWER,,2026-07-28,2026-07-28,225.00,PE,ADANIPOWER26JUL225PE,0.00,0.00,0.00,22.48,0.00,22.48,220.58,18.00,0,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,68632,,ADANIPOWER,,2026-08-25,2026-08-25,260.00,PE,ADANIPOWER26AUG260PE,0.00,0.00,0.00,32.39,0.00,32.39,220.58,44.90,0,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,42715,,ADANIPOWER,,2026-07-28,2026-07-28,275.00,PE,ADANIPOWER26JUL275PE,0.00,0.00,0.00,50.91,0.00,50.91,220.58,55.10,0,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,68441,,ADANIPOWER,,2026-07-28,2026-07-28,257.50,PE,ADANIPOWER26JUL257.5PE,0.00,0.00,0.00,27.29,0.00,27.29,220.58,40.35,0,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,67387,,ADANIPOWER,,2026-07-28,2026-07-28,245.00,PE,ADANIPOWER26JUL245PE,0.00,0.00,0.00,34.41,0.00,34.41,220.58,30.85,0,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,67368,,ADANIPOWER,,2026-07-28,2026-07-28,215.00,PE,ADANIPOWER26JUL215PE,0.00,0.00,0.00,17.48,0.00,17.48,220.58,12.90,0,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,66991,,ADANIPOWER,,2026-06-30,2026-06-30,202.50,PE,ADANIPOWER26JUN202.5PE,0.00,0.00,0.00,1.21,1.21,1.21,220.58,3.55,28400,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,68633,,ADANIPOWER,,2026-08-25,2026-08-25,265.00,CE,ADANIPOWER26AUG265CE,0.00,0.00,0.00,18.96,0.00,18.96,220.58,8.05,0,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,67093,,ADANIPOWER,,2026-06-30,2026-06-30,237.50,CE,ADANIPOWER26JUN237.5CE,5.17,5.70,3.52,3.71,3.66,6.11,220.58,3.75,674500,24850,130,111723399.00,117,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,67501,,ADANIPOWER,,2026-07-28,2026-07-28,260.00,PE,ADANIPOWER26JUL260PE,0.00,0.00,0.00,23.60,23.60,23.60,220.58,42.40,3550,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,35207,,ADANIPOWER,,2026-06-30,2026-06-30,205.00,PE,ADANIPOWER26JUN205PE,2.90,2.90,1.90,2.82,2.79,2.19,220.58,2.85,695800,152650,158,116416570.00,121,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,85645,,ADANIPOWER,,2026-06-30,2026-06-30,180.00,PE,ADANIPOWER26JUN180PE,0.35,0.40,0.23,0.38,0.40,0.26,220.58,0.40,805850,14200,40,25603310.00,30,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,68631,,ADANIPOWER,,2026-08-25,2026-08-25,260.00,CE,ADANIPOWER26AUG260CE,0.00,0.00,0.00,20.76,0.00,20.76,220.58,9.10,0,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,67371,,ADANIPOWER,,2026-07-28,2026-07-28,225.00,CE,ADANIPOWER26JUL225CE,15.61,15.61,12.45,12.75,12.45,23.71,220.58,12.75,49700,46150,19,16157008.50,19,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,67365,,ADANIPOWER,,2026-07-28,2026-07-28,210.00,CE,ADANIPOWER26JUL210CE,0.00,0.00,0.00,31.60,0.00,31.60,220.58,23.15,0,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,67106,,ADANIPOWER,,2026-06-30,2026-06-30,257.50,CE,ADANIPOWER26JUN257.5CE,1.85,1.85,1.17,1.18,1.17,2.08,220.58,1.20,216550,39050,62,56974873.00,49,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,54772,,ADANIPOWER,,2026-06-30,2026-06-30,245.00,CE,ADANIPOWER26JUN245CE,3.71,3.81,2.30,2.42,2.42,4.09,220.58,2.45,2492100,-99400,349,307383459.50,242,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,85656,,ADANIPOWER,,2026-06-30,2026-06-30,195.00,CE,ADANIPOWER26JUN195CE,0.00,0.00,0.00,38.00,38.00,38.00,220.58,28.25,10650,0,0,0.00,0,F1,3550,,,,,
2026-06-10,2026-06-10,FO,NSE,STO,60666,,ADANIPOWER,,2026-06-30,2026-06-30,265.00,PE,ADANIPOWER26JUN265PE,0.00,0.00,0.00,23.58,23.58,23.58,220.58,44.45,17750,0,0,0.00,0,F1,3550,,,,,
