TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-12,2026-06-12,FO,NSE,STO,101057,,COALINDIA,,2026-06-30,2026-06-30,520.00,CE,COALINDIA26JUN520CE,0.35,0.35,0.25,0.30,0.30,0.30,443.50,0.30,1140750,-47250,219,153819067.50,67,F1,1350,,,,,
2026-06-12,2026-06-12,FO,NSE,STF,58148,,COALINDIA,,2026-08-25,2026-08-25,,,COALINDIA26AUGFUT,449.00,449.00,441.45,445.40,446.85,447.80,443.50,445.40,481950,93150,107,64356930.00,97,F1,1350,,,,,
2026-06-12,2026-06-12,FO,NSE,STO,83562,,COALINDIA,,2026-08-25,2026-08-25,520.00,PE,COALINDIA26AUG520PE,0.00,0.00,0.00,63.90,0.00,63.90,443.50,74.30,0,0,0,0.00,0,F1,1350,,,,,
2026-06-12,2026-06-12,FO,NSE,STO,83560,,COALINDIA,,2026-08-25,2026-08-25,510.00,PE,COALINDIA26AUG510PE,0.00,0.00,0.00,56.30,0.00,56.30,443.50,65.85,0,0,0,0.00,0,F1,1350,,,,,
2026-06-12,2026-06-12,FO,NSE,STO,83434,,COALINDIA,,2026-07-28,2026-07-28,425.00,PE,COALINDIA26JUL425PE,5.70,5.90,5.70,5.90,5.90,3.90,443.50,9.60,4050,2700,2,1163160.00,2,F1,1350,,,,,
2026-06-12,2026-06-12,FO,NSE,STO,101026,,COALINDIA,,2026-06-30,2026-06-30,470.00,PE,COALINDIA26JUN470PE,23.50,29.15,23.50,24.95,24.30,23.70,443.50,24.95,2205900,-24300,218,146201962.50,136,F1,1350,,,,,
2026-06-12,2026-06-12,FO,NSE,STO,83573,,COALINDIA,,2026-06-30,2026-06-30,455.00,PE,COALINDIA26JUN455PE,11.25,16.50,11.25,13.10,12.30,12.10,443.50,13.10,1120500,232200,703,445010287.50,547,F1,1350,,,,,
2026-06-12,2026-06-12,FO,NSE,STO,101008,,COALINDIA,,2026-06-30,2026-06-30,440.00,PE,COALINDIA26JUN440PE,3.95,6.95,3.25,4.95,4.55,4.65,443.50,4.95,3496500,-270000,7939,4776443032.50,5184,F1,1350,,,,,
2026-06-12,2026-06-12,FO,NSE,STO,101004,,COALINDIA,,2026-06-30,2026-06-30,420.00,PE,COALINDIA26JUN420PE,1.10,1.70,1.10,1.25,1.20,1.25,443.50,1.25,2629800,1297350,3024,1720713442.50,1855,F1,1350,,,,,
2026-06-12,2026-06-12,FO,NSE,STO,83563,,COALINDIA,,2026-08-25,2026-08-25,530.00,CE,COALINDIA26AUG530CE,0.00,0.00,0.00,7.90,0.00,7.90,443.50,3.65,0,0,0,0.00,0,F1,1350,,,,,
