TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-01,2026-09-01,FO,NSE,STO,125658,,RECLTD,,2026-10-27,2026-10-27,325.00,PE,RECLTD26OCT325PE,0.00,0.00,0.00,18.65,0.00,18.65,314.05,23.22,0,0,0,0.00,0,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,106147,,RECLTD,,2026-10-27,2026-10-27,300.00,CE,RECLTD26OCT300CE,0.00,0.00,0.00,18.50,18.50,18.50,314.05,28.15,18900,0,0,0.00,0,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,106107,,RECLTD,,2026-09-29,2026-09-29,385.00,PE,RECLTD26SEP385PE,0.00,0.00,0.00,45.25,45.25,45.25,314.05,69.62,1575,0,0,0.00,0,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,143681,,RECLTD,,2026-09-29,2026-09-29,320.00,CE,RECLTD26SEP320CE,5.45,6.15,4.40,4.85,4.95,5.20,314.05,4.85,1565550,47250,2067,1058017747.50,1604,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,106140,,RECLTD,,2026-10-27,2026-10-27,270.00,CE,RECLTD26OCT270CE,0.00,0.00,0.00,103.70,0.00,103.70,314.05,49.95,0,0,0,0.00,0,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,106088,,RECLTD,,2026-09-29,2026-09-29,295.00,CE,RECLTD26SEP295CE,21.85,21.85,19.25,20.25,20.25,30.55,314.05,20.25,17325,3150,3,1490501.25,3,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STF,68776,,RECLTD,,2026-09-29,2026-09-29,,,RECLTD26SEPFUT,318.40,318.55,312.05,313.30,313.95,314.45,314.05,313.30,52546725,-146475,2558,1265299402.50,2311,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,143607,,RECLTD,,2026-09-29,2026-09-29,290.00,CE,RECLTD26SEP290CE,24.60,26.00,24.50,24.65,24.65,39.95,314.05,24.65,14175,9450,12,5955783.75,8,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,125659,,RECLTD,,2026-10-27,2026-10-27,335.00,CE,RECLTD26OCT335CE,4.70,4.70,4.70,4.70,4.70,5.15,314.05,11.88,3150,0,1,535027.50,1,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,106087,,RECLTD,,2026-09-29,2026-09-29,285.00,PE,RECLTD26SEP285PE,0.60,0.75,0.60,0.75,0.75,0.65,314.05,0.75,47250,3150,12,5399730.00,11,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,106101,,RECLTD,,2026-09-29,2026-09-29,355.00,PE,RECLTD26SEP355PE,41.00,41.00,41.00,41.00,41.00,30.75,314.05,41.73,42525,-1575,1,623700.00,1,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,143755,,RECLTD,,2026-09-29,2026-09-29,390.00,PE,RECLTD26SEP390PE,77.45,77.45,77.45,77.45,77.45,62.00,314.05,74.48,107100,-1575,1,736233.75,1,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,143797,,RECLTD,,2026-09-29,2026-09-29,420.00,PE,RECLTD26SEP420PE,0.00,0.00,0.00,91.20,91.20,91.20,314.05,104.05,261450,0,0,0.00,0,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,106153,,RECLTD,,2026-10-27,2026-10-27,320.00,PE,RECLTD26OCT320PE,14.50,14.50,14.00,14.30,14.30,13.50,314.05,20.38,75600,11025,9,4737048.75,6,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,106220,,RECLTD,,2026-10-27,2026-10-27,330.00,PE,RECLTD26OCT330PE,0.00,0.00,0.00,17.50,17.50,17.50,314.05,26.25,4725,0,0,0.00,0,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,125662,,RECLTD,,2026-10-27,2026-10-27,345.00,PE,RECLTD26OCT345PE,0.00,0.00,0.00,30.00,0.00,30.00,314.05,36.43,0,0,0,0.00,0,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,125730,,RECLTD,,2026-11-23,2026-11-23,320.00,PE,RECLTD26NOV320PE,0.00,0.00,0.00,19.60,0.00,19.60,314.05,23.65,0,0,0,0.00,0,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,143694,,RECLTD,,2026-09-29,2026-09-29,370.00,PE,RECLTD26SEP370PE,0.00,0.00,0.00,47.65,47.65,47.65,314.05,55.33,407925,0,0,0.00,0,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,143605,,RECLTD,,2026-09-29,2026-09-29,280.00,CE,RECLTD26SEP280CE,0.00,0.00,0.00,90.60,0.00,90.60,314.05,37.44,0,0,0,0.00,0,F1,1575,,,,,
2026-09-01,2026-09-01,FO,NSE,STO,106100,,RECLTD,,2026-09-29,2026-09-29,355.00,CE,RECLTD26SEP355CE,0.60,0.60,0.50,0.55,0.55,0.65,314.05,0.55,286650,1575,12,6720131.25,10,F1,1575,,,,,
