TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-03,2026-09-03,FO,NSE,STO,88995,,LAURUSLABS,,2026-09-29,2026-09-29,1700.00,CE,LAURUSLABS26SEP1700CE,166.00,184.90,166.00,184.90,184.90,166.00,1868.50,191.46,93500,850,3,4788475.00,3,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89310,,LAURUSLABS,,2026-10-27,2026-10-27,2080.00,PE,LAURUSLABS26OCT2080PE,0.00,0.00,0.00,333.25,0.00,333.25,1868.50,234.70,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121596,,LAURUSLABS,,2026-09-29,2026-09-29,2080.00,PE,LAURUSLABS26SEP2080PE,0.00,0.00,0.00,539.40,0.00,539.40,1868.50,218.74,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89154,,LAURUSLABS,,2026-10-27,2026-10-27,1680.00,PE,LAURUSLABS26OCT1680PE,16.10,16.10,12.40,13.05,13.15,16.10,1868.50,13.05,29750,7650,19,27347475.00,14,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89032,,LAURUSLABS,,2026-09-29,2026-09-29,1820.00,PE,LAURUSLABS26SEP1820PE,28.00,28.00,20.30,22.90,22.80,27.30,1868.50,22.90,618800,-17000,240,376040892.50,221,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,48668,,LAURUSLABS,,2026-09-29,2026-09-29,2040.00,PE,LAURUSLABS26SEP2040PE,0.00,0.00,0.00,190.95,190.95,190.95,1868.50,185.52,52700,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,47472,,LAURUSLABS,,2026-09-29,2026-09-29,1960.00,CE,LAURUSLABS26SEP1960CE,15.60,18.65,14.00,15.95,15.80,15.60,1868.50,15.95,338300,-4250,428,718937140.00,397,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,111750,,LAURUSLABS,,2026-11-23,2026-11-23,2160.00,CE,LAURUSLABS26NOV2160CE,0.00,0.00,0.00,52.05,0.00,52.05,1868.50,48.37,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89030,,LAURUSLABS,,2026-09-29,2026-09-29,1780.00,PE,LAURUSLABS26SEP1780PE,16.25,16.65,11.65,13.00,13.15,15.70,1868.50,13.00,221000,-850,257,391834360.00,245,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121592,,LAURUSLABS,,2026-09-29,2026-09-29,1920.00,PE,LAURUSLABS26SEP1920PE,82.95,82.95,68.00,72.30,72.30,79.55,1868.50,99.92,162350,2550,28,47442750.00,25,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,111649,,LAURUSLABS,,2026-11-23,2026-11-23,1760.00,CE,LAURUSLABS26NOV1760CE,0.00,0.00,0.00,209.40,0.00,209.40,1868.50,206.02,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,111732,,LAURUSLABS,,2026-11-23,2026-11-23,1840.00,CE,LAURUSLABS26NOV1840CE,0.00,0.00,0.00,164.25,0.00,164.25,1868.50,160.33,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,111390,,LAURUSLABS,,2026-10-27,2026-10-27,2020.00,PE,LAURUSLABS26OCT2020PE,0.00,0.00,0.00,197.30,0.00,197.30,1868.50,190.66,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89155,,LAURUSLABS,,2026-10-27,2026-10-27,1720.00,CE,LAURUSLABS26OCT1720CE,0.00,0.00,0.00,152.00,152.00,152.00,1868.50,206.57,10200,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89153,,LAURUSLABS,,2026-10-27,2026-10-27,1680.00,CE,LAURUSLABS26OCT1680CE,0.00,0.00,0.00,205.00,205.00,205.00,1868.50,235.81,1700,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,111746,,LAURUSLABS,,2026-11-23,2026-11-23,2080.00,CE,LAURUSLABS26NOV2080CE,0.00,0.00,0.00,71.05,0.00,71.05,1868.50,66.98,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89183,,LAURUSLABS,,2026-10-27,2026-10-27,1880.00,CE,LAURUSLABS26OCT1880CE,0.00,0.00,0.00,60.50,60.50,60.50,1868.50,111.75,3400,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89307,,LAURUSLABS,,2026-10-27,2026-10-27,2040.00,CE,LAURUSLABS26OCT2040CE,0.00,0.00,0.00,51.30,0.00,51.30,1868.50,52.92,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89098,,LAURUSLABS,,2026-09-29,2026-09-29,2120.00,CE,LAURUSLABS26SEP2120CE,2.70,3.70,2.55,2.80,2.85,2.90,1868.50,2.80,303450,17850,125,225583667.50,107,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89024,,LAURUSLABS,,2026-09-29,2026-09-29,1780.00,CE,LAURUSLABS26SEP1780CE,0.00,0.00,0.00,82.85,82.85,82.85,1868.50,131.29,39950,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89088,,LAURUSLABS,,2026-09-29,2026-09-29,2020.00,PE,LAURUSLABS26SEP2020PE,0.00,0.00,0.00,275.35,0.00,275.35,1868.50,169.66,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89186,,LAURUSLABS,,2026-10-27,2026-10-27,1880.00,PE,LAURUSLABS26OCT1880PE,0.00,0.00,0.00,104.10,104.10,104.10,1868.50,105.24,2550,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89229,,LAURUSLABS,,2026-10-27,2026-10-27,1920.00,CE,LAURUSLABS26OCT1920CE,0.00,0.00,0.00,51.00,51.00,51.00,1868.50,93.86,4250,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121578,,LAURUSLABS,,2026-09-29,2026-09-29,1640.00,PE,LAURUSLABS26SEP1640PE,2.10,2.65,2.10,2.60,2.60,3.15,1868.50,7.57,130050,2550,16,22337065.00,14,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,88991,,LAURUSLABS,,2026-09-29,2026-09-29,1660.00,CE,LAURUSLABS26SEP1660CE,0.00,0.00,0.00,204.15,204.15,204.15,1868.50,225.34,49300,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,111739,,LAURUSLABS,,2026-11-23,2026-11-23,1960.00,CE,LAURUSLABS26NOV1960CE,0.00,0.00,0.00,110.20,0.00,110.20,1868.50,105.92,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,111384,,LAURUSLABS,,2026-10-27,2026-10-27,1900.00,PE,LAURUSLABS26OCT1900PE,0.00,0.00,0.00,101.05,101.05,101.05,1868.50,115.81,32300,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89031,,LAURUSLABS,,2026-09-29,2026-09-29,1820.00,CE,LAURUSLABS26SEP1820CE,73.00,82.00,68.15,73.90,74.30,71.15,1868.50,73.90,307700,-7650,121,194834705.00,116,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89064,,LAURUSLABS,,2026-09-29,2026-09-29,1900.00,CE,LAURUSLABS26SEP1900CE,31.70,37.35,28.35,32.95,32.85,31.70,1868.50,32.95,1470500,-78200,1899,3120026787.50,1510,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89014,,LAURUSLABS,,2026-09-29,2026-09-29,1740.00,PE,LAURUSLABS26SEP1740PE,9.20,9.45,6.55,7.55,7.60,9.10,1868.50,7.55,309400,-27200,148,219859640.00,134,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,111638,,LAURUSLABS,,2026-11-23,2026-11-23,1600.00,PE,LAURUSLABS26NOV1600PE,0.00,0.00,0.00,31.25,0.00,31.25,1868.50,28.13,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,111642,,LAURUSLABS,,2026-11-23,2026-11-23,1680.00,PE,LAURUSLABS26NOV1680PE,0.00,0.00,0.00,50.75,0.00,50.75,1868.50,46.77,0,0,0,0.00,0,F1,850,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,89078,,LAURUSLABS,,2026-09-29,2026-09-29,1980.00,PE,LAURUSLABS26SEP1980PE,0.00,0.00,0.00,191.00,191.00,191.00,1868.50,139.69,850,0,0,0.00,0,F1,850,,,,,
