TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-03,2026-09-03,FO,NSE,STO,133871,,OFSS,,2026-09-29,2026-09-29,9200.00,PE,OFSS26SEP9200PE,0.00,0.00,0.00,11.85,11.85,11.85,12148.89,1.67,6200,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,133917,,OFSS,,2026-09-29,2026-09-29,11000.00,PE,OFSS26SEP11000PE,70.35,89.00,60.00,61.05,61.70,70.40,12148.89,61.05,61200,-900,334,369730465.00,308,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121445,,OFSS,,2026-10-27,2026-10-27,11100.00,PE,OFSS26OCT11100PE,0.00,0.00,0.00,447.50,0.00,447.50,12148.89,286.16,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,133909,,OFSS,,2026-09-29,2026-09-29,10800.00,PE,OFSS26SEP10800PE,37.30,51.00,37.25,51.00,51.00,49.00,12148.89,81.36,6200,100,16,17352120.00,9,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,133969,,OFSS,,2026-09-29,2026-09-29,11400.00,PE,OFSS26SEP11400PE,132.85,132.85,123.00,123.15,123.00,132.85,12148.89,123.15,9300,-300,14,16138660.00,12,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,134001,,OFSS,,2026-09-29,2026-09-29,14000.00,PE,OFSS26SEP14000PE,0.00,0.00,0.00,3162.95,0.00,3162.95,12148.89,1860.61,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98635,,OFSS,,2026-09-29,2026-09-29,11700.00,PE,OFSS26SEP11700PE,215.00,225.70,184.60,187.50,187.50,210.00,12148.89,187.50,20400,1300,43,51208470.00,43,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,99002,,OFSS,,2026-10-27,2026-10-27,13600.00,CE,OFSS26OCT13600CE,216.95,216.95,214.00,214.00,214.00,225.00,12148.89,305.95,200,100,2,2763095.00,2,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121451,,OFSS,,2026-10-27,2026-10-27,11700.00,CE,OFSS26OCT11700CE,0.00,0.00,0.00,860.65,0.00,860.65,12148.89,1053.76,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98939,,OFSS,,2026-10-27,2026-10-27,12200.00,CE,OFSS26OCT12200CE,0.00,0.00,0.00,661.40,661.40,661.40,12148.89,788.52,100,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121543,,OFSS,,2026-11-23,2026-11-23,12200.00,CE,OFSS26NOV12200CE,0.00,0.00,0.00,815.00,0.00,815.00,12148.89,985.45,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98926,,OFSS,,2026-10-27,2026-10-27,11000.00,PE,OFSS26OCT11000PE,0.00,0.00,0.00,191.00,191.00,191.00,12148.89,258.76,100,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98661,,OFSS,,2026-09-29,2026-09-29,12900.00,PE,OFSS26SEP12900PE,0.00,0.00,0.00,1734.05,0.00,1734.05,12148.89,958.56,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,133985,,OFSS,,2026-09-29,2026-09-29,12400.00,PE,OFSS26SEP12400PE,0.00,0.00,0.00,546.30,539.10,546.30,12148.89,635.04,11400,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,133993,,OFSS,,2026-09-29,2026-09-29,13200.00,PE,OFSS26SEP13200PE,0.00,0.00,0.00,2476.55,0.00,2476.55,12148.89,1182.71,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98642,,OFSS,,2026-09-29,2026-09-29,12300.00,CE,OFSS26SEP12300CE,334.20,370.00,293.90,347.55,347.90,344.70,12148.89,347.55,50300,400,486,614217720.00,454,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121539,,OFSS,,2026-11-23,2026-11-23,11800.00,PE,OFSS26NOV11800PE,0.00,0.00,0.00,885.85,0.00,885.85,12148.89,671.44,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121524,,OFSS,,2026-11-23,2026-11-23,10400.00,CE,OFSS26NOV10400CE,0.00,0.00,0.00,1814.65,0.00,1814.65,12148.89,2117.79,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121448,,OFSS,,2026-10-27,2026-10-27,11500.00,CE,OFSS26OCT11500CE,0.00,0.00,0.00,963.10,0.00,963.10,12148.89,1174.56,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121553,,OFSS,,2026-11-23,2026-11-23,13000.00,PE,OFSS26NOV13000PE,0.00,0.00,0.00,1615.35,0.00,1615.35,12148.89,1321.06,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98685,,OFSS,,2026-09-29,2026-09-29,13300.00,PE,OFSS26SEP13300PE,0.00,0.00,0.00,2052.75,0.00,2052.75,12148.89,1261.62,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121467,,OFSS,,2026-10-27,2026-10-27,12900.00,CE,OFSS26OCT12900CE,0.00,0.00,0.00,405.85,0.00,405.85,12148.89,502.86,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98623,,OFSS,,2026-09-29,2026-09-29,10500.00,PE,OFSS26SEP10500PE,31.55,31.55,25.00,25.50,25.50,29.35,12148.89,25.50,32800,0,45,47376650.00,42,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98659,,OFSS,,2026-09-29,2026-09-29,12700.00,PE,OFSS26SEP12700PE,0.00,0.00,0.00,850.00,850.00,850.00,12148.89,821.16,100,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121464,,OFSS,,2026-10-27,2026-10-27,12500.00,PE,OFSS26OCT12500PE,800.00,800.00,776.00,777.65,777.65,799.00,12148.89,885.60,900,600,9,11954430.00,7,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121472,,OFSS,,2026-10-27,2026-10-27,13300.00,PE,OFSS26OCT13300PE,0.00,0.00,0.00,1740.30,0.00,1740.30,12148.89,1403.92,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98631,,OFSS,,2026-09-29,2026-09-29,11300.00,PE,OFSS26SEP11300PE,133.35,133.40,97.80,99.75,101.65,114.00,12148.89,99.75,19900,200,12,13702880.00,10,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121528,,OFSS,,2026-11-23,2026-11-23,10800.00,CE,OFSS26NOV10800CE,0.00,0.00,0.00,1544.90,0.00,1544.90,12148.89,1820.34,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98634,,OFSS,,2026-09-29,2026-09-29,11700.00,CE,OFSS26SEP11700CE,677.20,677.20,643.10,654.10,654.10,671.55,12148.89,802.11,11000,100,13,16065940.00,13,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,133970,,OFSS,,2026-09-29,2026-09-29,11600.00,CE,OFSS26SEP11600CE,701.00,782.70,665.00,755.00,755.00,777.00,12148.89,866.32,11300,-300,18,22204405.00,16,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98632,,OFSS,,2026-09-29,2026-09-29,11500.00,CE,OFSS26SEP11500CE,844.70,857.00,740.00,835.00,820.00,829.00,12148.89,835.00,28100,-500,14,17238600.00,14,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121559,,OFSS,,2026-11-23,2026-11-23,13600.00,PE,OFSS26NOV13600PE,0.00,0.00,0.00,2054.50,0.00,2054.50,12148.89,1728.20,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,99006,,OFSS,,2026-10-27,2026-10-27,13800.00,PE,OFSS26OCT13800PE,0.00,0.00,0.00,2528.80,0.00,2528.80,12148.89,1781.62,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,99001,,OFSS,,2026-10-27,2026-10-27,13400.00,PE,OFSS26OCT13400PE,0.00,0.00,0.00,2206.80,0.00,2206.80,12148.89,1476.43,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STF,68753,,OFSS,,2026-09-29,2026-09-29,,,OFSS26SEPFUT,12163.00,12263.00,12026.00,12192.00,12184.00,12152.00,12148.89,12192.00,1138400,-7000,1182,1437279000.00,1088,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121533,,OFSS,,2026-11-23,2026-11-23,11200.00,PE,OFSS26NOV11200PE,0.00,0.00,0.00,607.25,0.00,607.25,12148.89,437.77,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121442,,OFSS,,2026-10-27,2026-10-27,10900.00,CE,OFSS26OCT10900CE,0.00,0.00,0.00,1318.85,0.00,1318.85,12148.89,1586.16,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98636,,OFSS,,2026-09-29,2026-09-29,11900.00,CE,OFSS26SEP11900CE,547.45,575.15,510.00,539.85,546.15,540.00,12148.89,539.85,17900,-300,18,22395145.00,18,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121470,,OFSS,,2026-10-27,2026-10-27,13100.00,PE,OFSS26OCT13100PE,0.00,0.00,0.00,1588.70,0.00,1588.70,12148.89,1263.71,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121460,,OFSS,,2026-10-27,2026-10-27,12100.00,PE,OFSS26OCT12100PE,0.00,0.00,0.00,924.60,0.00,924.60,12148.89,672.54,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,133979,,OFSS,,2026-09-29,2026-09-29,12200.00,PE,OFSS26SEP12200PE,433.95,500.00,386.45,400.15,405.45,433.95,12148.89,400.15,37800,1700,246,310529560.00,199,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98935,,OFSS,,2026-10-27,2026-10-27,11800.00,CE,OFSS26OCT11800CE,0.00,0.00,0.00,811.10,0.00,811.10,12148.89,996.51,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98927,,OFSS,,2026-10-27,2026-10-27,11200.00,CE,OFSS26OCT11200CE,0.00,0.00,0.00,1083.10,0.00,1083.10,12148.89,1371.26,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,98941,,OFSS,,2026-10-27,2026-10-27,12400.00,CE,OFSS26OCT12400CE,0.00,0.00,0.00,595.30,0.00,595.30,12148.89,697.02,0,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121471,,OFSS,,2026-10-27,2026-10-27,13300.00,CE,OFSS26OCT13300CE,0.00,0.00,0.00,245.00,245.00,245.00,12148.89,380.29,300,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,133918,,OFSS,,2026-09-29,2026-09-29,11200.00,CE,OFSS26SEP11200CE,0.00,0.00,0.00,1107.55,1107.55,1107.55,12148.89,1151.52,1300,0,0,0.00,0,F1,100,,,,,
2026-09-03,2026-09-03,FO,NSE,STO,121557,,OFSS,,2026-11-23,2026-11-23,13400.00,PE,OFSS26NOV13400PE,0.00,0.00,0.00,1903.50,0.00,1903.50,12148.89,1587.07,0,0,0,0.00,0,F1,100,,,,,
