TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-04,2026-09-04,FO,NSE,IDO,47367,,NIFTY,,2026-09-15,2026-09-15,25100.00,CE,NIFTY2691525100CE,3.45,3.55,2.50,2.75,2.75,3.85,23897.70,2.75,375700,134290,15563,25394024922.50,8469,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,42743,,NIFTY,,2026-09-08,2026-09-08,25950.00,CE,NIFTY2690825950CE,0.65,0.65,0.40,0.45,0.45,0.70,23897.70,0.45,43355,10335,1928,3252119783.25,570,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,42633,,NIFTY,,2026-09-08,2026-09-08,23850.00,CE,NIFTY2690823850CE,169.00,219.00,145.00,157.05,154.35,151.70,23897.70,157.05,1268995,-528645,842339,1315588257899.50,528942,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,42585,,NIFTY,,2026-09-08,2026-09-08,22850.00,CE,NIFTY2690822850CE,0.00,0.00,0.00,1930.45,0.00,1930.45,23897.70,1062.91,0,0,0,0.00,0,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,55757,,NIFTY,,2030-12-31,2030-12-31,25500.00,PE,NIFTY30DEC25500PE,0.00,0.00,0.00,538.25,0.00,538.25,23897.70,1116.54,0,0,0,0.00,0,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,55649,,NIFTY,,2030-06-25,2030-06-25,28500.00,PE,NIFTY30JUN28500PE,0.00,0.00,0.00,1167.60,0.00,1167.60,23897.70,2135.25,0,0,0,0.00,0,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,55643,,NIFTY,,2030-06-25,2030-06-25,19500.00,PE,NIFTY30JUN19500PE,0.00,0.00,0.00,64.95,0.00,64.95,23897.70,200.06,0,0,0,0.00,0,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,35353,,NIFTY,,2028-06-27,2028-06-27,30000.00,PE,NIFTY28JUN30000PE,0.00,0.00,0.00,3779.25,0.00,3779.25,23897.70,3845.02,0,0,0,0.00,0,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,35347,,NIFTY,,2027-12-28,2027-12-28,30000.00,PE,NIFTY27DEC30000PE,3959.20,3959.20,3763.60,3763.60,3763.60,3920.00,23897.70,4253.27,2015,325,6,13197886.00,4,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,53617,,NIFTY,,2027-12-28,2027-12-28,22000.00,PE,NIFTY27DEC22000PE,312.00,317.95,297.00,310.25,306.00,324.00,23897.70,310.25,54315,1625,141,204435299.25,74,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,71502,,NIFTY,,2026-12-29,2026-12-29,24000.00,PE,NIFTY26DEC24000PE,444.70,444.70,379.40,401.70,400.55,424.40,23897.70,401.70,2608750,67600,6059,9610130237.50,3519,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,64438,,NIFTY,,2026-11-23,2026-11-23,24950.00,PE,NIFTY26NOV24950PE,0.00,0.00,0.00,915.05,0.00,915.05,23897.70,1128.78,0,0,0,0.00,0,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,51397,,NIFTY,,2026-10-27,2026-10-27,24050.00,PE,NIFTY26OCT24050PE,323.10,325.65,284.80,307.90,307.90,352.80,23897.70,307.90,11310,130,47,74411574.25,38,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,51381,,NIFTY,,2026-10-27,2026-10-27,23700.00,PE,NIFTY26OCT23700PE,199.95,206.55,173.90,187.55,188.25,217.50,23897.70,187.55,208130,-15925,1088,1689318432.75,768,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,51343,,NIFTY,,2026-10-27,2026-10-27,22750.00,PE,NIFTY26OCT22750PE,0.00,0.00,0.00,228.35,0.00,228.35,23897.70,127.09,0,0,0,0.00,0,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,40822,,NIFTY,,2026-10-06,2026-10-06,24400.00,PE,NIFTY26O0624400PE,0.00,0.00,0.00,588.30,0.00,588.30,23897.70,660.30,0,0,0,0.00,0,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,74362,,NIFTY,,2026-09-29,2026-09-29,24900.00,PE,NIFTY26SEP24900PE,889.50,889.50,818.15,853.00,853.00,915.15,23897.70,853.00,86190,-195,21,35141772.25,18,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,58024,,NIFTY,,2026-09-22,2026-09-22,25950.00,PE,NIFTY2692225950PE,0.00,0.00,0.00,1703.35,0.00,1703.35,23897.70,1980.53,0,0,0,0.00,0,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,57962,,NIFTY,,2026-09-22,2026-09-22,25650.00,PE,NIFTY2692225650PE,0.00,0.00,0.00,1439.15,0.00,1439.15,23897.70,1687.00,0,0,0,0.00,0,F1,65,,,,,
2026-09-04,2026-09-04,FO,NSE,IDO,47366,,NIFTY,,2026-09-15,2026-09-15,25050.00,PE,NIFTY2691525050PE,0.00,0.00,0.00,751.70,0.00,751.70,23897.70,1122.30,0,0,0,0.00,0,F1,65,,,,,
