TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-07,2026-09-07,FO,NSE,STO,126247,,SAGILITY,,2026-10-27,2026-10-27,51.00,CE,SAGILITY26OCT51CE,0.00,0.00,0.00,0.82,0.00,0.82,45.95,1.25,0,0,0,0.00,0,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126283,,SAGILITY,,2026-11-23,2026-11-23,40.00,CE,SAGILITY26NOV40CE,0.00,0.00,0.00,5.56,0.00,5.56,45.95,7.51,0,0,0,0.00,0,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126250,,SAGILITY,,2026-10-27,2026-10-27,52.00,PE,SAGILITY26OCT52PE,0.00,0.00,0.00,9.11,0.00,9.11,45.95,6.63,0,0,0,0.00,0,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126163,,SAGILITY,,2026-09-29,2026-09-29,41.00,CE,SAGILITY26SEP41CE,5.54,5.54,5.54,5.54,5.54,5.95,45.95,5.39,180000,0,1,558480.00,1,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126312,,SAGILITY,,2026-11-23,2026-11-23,52.00,PE,SAGILITY26NOV52PE,0.00,0.00,0.00,9.34,0.00,9.34,45.95,7.03,0,0,0,0.00,0,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126236,,SAGILITY,,2026-10-27,2026-10-27,45.00,PE,SAGILITY26OCT45PE,1.40,1.40,1.40,1.40,1.40,1.35,45.95,2.21,240000,-48000,4,2227200.00,1,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126234,,SAGILITY,,2026-10-27,2026-10-27,44.00,PE,SAGILITY26OCT44PE,0.00,0.00,0.00,1.10,1.10,1.10,45.95,1.78,12000,0,0,0.00,0,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126170,,SAGILITY,,2026-09-29,2026-09-29,44.00,PE,SAGILITY26SEP44PE,0.46,0.51,0.39,0.48,0.47,0.39,45.95,0.48,5184000,420000,115,61368720.00,69,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STF,61700,,SAGILITY,,2026-10-27,2026-10-27,,,SAGILITY26OCTFUT,47.44,47.60,46.41,46.54,46.60,47.25,45.95,46.54,2448000,444000,104,58346280.00,97,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126173,,SAGILITY,,2026-09-29,2026-09-29,46.00,CE,SAGILITY26SEP46CE,1.81,1.97,1.46,1.53,1.51,1.95,45.95,1.53,4668000,144000,173,98880600.00,129,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126175,,SAGILITY,,2026-09-29,2026-09-29,47.00,CE,SAGILITY26SEP47CE,1.47,1.47,1.03,1.06,1.05,1.47,45.95,1.06,5880000,636000,423,244649400.00,306,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126181,,SAGILITY,,2026-09-29,2026-09-29,50.00,CE,SAGILITY26SEP50CE,0.53,0.53,0.33,0.35,0.35,0.53,45.95,0.35,11856000,-948000,532,321615840.00,366,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126238,,SAGILITY,,2026-10-27,2026-10-27,46.00,PE,SAGILITY26OCT46PE,1.72,1.72,1.72,1.72,1.72,1.71,45.95,2.69,36000,0,1,572640.00,1,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126186,,SAGILITY,,2026-09-29,2026-09-29,52.00,PE,SAGILITY26SEP52PE,0.00,0.00,0.00,5.17,5.17,5.17,45.95,6.18,228000,0,0,0.00,0,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126172,,SAGILITY,,2026-09-29,2026-09-29,45.00,PE,SAGILITY26SEP45PE,0.60,0.83,0.60,0.76,0.77,0.64,45.95,0.76,7908000,-48000,166,91125360.00,139,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126300,,SAGILITY,,2026-11-23,2026-11-23,50.00,CE,SAGILITY26NOV50CE,0.00,0.00,0.00,1.53,0.00,1.53,45.95,2.24,0,0,0,0.00,0,F1,12000,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126179,,SAGILITY,,2026-09-29,2026-09-29,49.00,CE,SAGILITY26SEP49CE,0.53,0.67,0.46,0.50,0.50,0.74,45.95,0.50,2712000,60000,71,42215280.00,56,F1,12000,,,,,
