TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-07,2026-09-07,FO,NSE,STO,107460,,SBICARD,,2026-10-27,2026-10-27,680.00,PE,SBICARD26OCT680PE,35.00,35.00,35.00,35.00,35.00,55.00,674.63,32.22,3200,800,1,572000.00,1,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107234,,SBICARD,,2026-09-29,2026-09-29,610.00,CE,SBICARD26SEP610CE,0.00,0.00,0.00,58.95,58.95,58.95,674.63,69.13,115200,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,145718,,SBICARD,,2026-09-29,2026-09-29,700.00,CE,SBICARD26SEP700CE,3.90,8.95,3.70,8.50,8.80,5.20,674.63,8.50,1895200,344800,5254,2970218520.00,2859,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107482,,SBICARD,,2026-10-27,2026-10-27,760.00,CE,SBICARD26OCT760CE,3.00,4.10,3.00,4.10,4.10,3.30,674.63,8.46,40000,2400,7,4276720.00,5,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107243,,SBICARD,,2026-09-29,2026-09-29,690.00,PE,SBICARD26SEP690PE,39.25,39.25,25.45,26.30,25.45,35.35,674.63,26.30,51200,1600,89,51354520.00,89,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107356,,SBICARD,,2026-09-29,2026-09-29,750.00,PE,SBICARD26SEP750PE,82.00,82.00,77.20,77.20,77.20,79.80,674.63,77.20,3200,2400,5,3319720.00,5,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126603,,SBICARD,,2026-10-27,2026-10-27,710.00,PE,SBICARD26OCT710PE,0.00,0.00,0.00,67.50,0.00,67.50,674.63,49.82,0,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126645,,SBICARD,,2026-11-23,2026-11-23,580.00,PE,SBICARD26NOV580PE,0.00,0.00,0.00,11.30,0.00,11.30,674.63,6.43,0,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126647,,SBICARD,,2026-11-23,2026-11-23,600.00,PE,SBICARD26NOV600PE,0.00,0.00,0.00,8.15,8.15,8.15,674.63,10.03,3200,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107459,,SBICARD,,2026-10-27,2026-10-27,680.00,CE,SBICARD26OCT680CE,15.00,18.00,15.00,18.00,18.00,35.50,674.63,32.78,800,800,2,1114400.00,2,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,145616,,SBICARD,,2026-09-29,2026-09-29,560.00,CE,SBICARD26SEP560CE,105.00,114.00,105.00,111.55,111.55,110.00,674.63,116.76,28000,0,17,9083040.00,12,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126597,,SBICARD,,2026-10-27,2026-10-27,650.00,PE,SBICARD26OCT650PE,0.00,0.00,0.00,20.00,20.00,20.00,674.63,18.90,20000,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107455,,SBICARD,,2026-10-27,2026-10-27,640.00,PE,SBICARD26OCT640PE,15.95,16.10,11.80,11.80,11.80,16.00,674.63,11.80,14400,-8000,23,12035760.00,21,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107241,,SBICARD,,2026-09-29,2026-09-29,670.00,PE,SBICARD26SEP670PE,26.15,27.00,14.35,15.25,14.35,22.10,674.63,15.25,473600,150400,1116,614449920.00,1013,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126653,,SBICARD,,2026-11-23,2026-11-23,660.00,PE,SBICARD26NOV660PE,0.00,0.00,0.00,30.00,30.00,30.00,674.63,28.99,2400,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126655,,SBICARD,,2026-11-23,2026-11-23,680.00,PE,SBICARD26NOV680PE,0.00,0.00,0.00,52.05,0.00,52.05,674.63,38.37,0,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126659,,SBICARD,,2026-11-23,2026-11-23,720.00,PE,SBICARD26NOV720PE,0.00,0.00,0.00,78.45,0.00,78.45,674.63,61.68,0,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,145707,,SBICARD,,2026-09-29,2026-09-29,620.00,CE,SBICARD26SEP620CE,40.80,58.25,39.15,57.85,58.25,45.65,674.63,57.85,257600,-39200,92,49265000.00,92,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126598,,SBICARD,,2026-10-27,2026-10-27,670.00,CE,SBICARD26OCT670CE,22.00,28.00,22.00,28.00,28.00,22.00,674.63,28.00,3200,800,4,2225520.00,4,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126595,,SBICARD,,2026-10-27,2026-10-27,630.00,PE,SBICARD26OCT630PE,0.00,0.00,0.00,13.85,13.75,13.85,674.63,12.44,4000,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126651,,SBICARD,,2026-11-23,2026-11-23,640.00,PE,SBICARD26NOV640PE,21.35,21.35,18.00,19.00,19.00,21.35,674.63,21.17,5600,4000,6,3164120.00,6,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107256,,SBICARD,,2026-09-29,2026-09-29,730.00,CE,SBICARD26SEP730CE,1.30,3.15,1.20,2.95,3.00,1.70,674.63,2.95,442400,77600,939,550144240.00,584,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107232,,SBICARD,,2026-09-29,2026-09-29,590.00,CE,SBICARD26SEP590CE,73.00,84.00,73.00,84.00,84.00,76.70,674.63,84.00,9600,0,5,2669600.00,2,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,145614,,SBICARD,,2026-09-29,2026-09-29,540.00,CE,SBICARD26SEP540CE,0.00,0.00,0.00,100.00,100.00,100.00,674.63,136.57,800,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107445,,SBICARD,,2026-10-27,2026-10-27,580.00,CE,SBICARD26OCT580CE,0.00,0.00,0.00,81.60,81.60,81.60,674.63,102.97,1600,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126590,,SBICARD,,2026-10-27,2026-10-27,590.00,CE,SBICARD26OCT590CE,0.00,0.00,0.00,76.75,0.00,76.75,674.63,94.22,0,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126644,,SBICARD,,2026-11-23,2026-11-23,580.00,CE,SBICARD26NOV580CE,0.00,0.00,0.00,90.95,0.00,90.95,674.63,108.84,0,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107343,,SBICARD,,2026-09-29,2026-09-29,730.00,PE,SBICARD26SEP730PE,68.35,68.35,58.70,58.70,58.70,65.85,674.63,58.70,4000,-1600,8,5082000.00,6,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107344,,SBICARD,,2026-09-29,2026-09-29,750.00,CE,SBICARD26SEP750CE,1.25,1.45,0.95,1.40,1.35,8.85,674.63,1.40,110400,110400,165,99170520.00,89,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126643,,SBICARD,,2026-11-23,2026-11-23,560.00,PE,SBICARD26NOV560PE,0.00,0.00,0.00,7.40,0.00,7.40,674.63,3.91,0,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,107462,,SBICARD,,2026-10-27,2026-10-27,700.00,PE,SBICARD26OCT700PE,42.50,42.50,40.00,40.00,40.00,42.50,674.63,40.00,6400,800,3,1779600.00,3,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126593,,SBICARD,,2026-10-27,2026-10-27,610.00,PE,SBICARD26OCT610PE,6.00,6.00,6.00,6.00,6.00,11.90,674.63,7.68,800,0,1,492800.00,1,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,126599,,SBICARD,,2026-10-27,2026-10-27,670.00,PE,SBICARD26OCT670PE,0.00,0.00,0.00,30.00,30.00,30.00,674.63,27.29,1600,0,0,0.00,0,F1,800,,,,,
2026-09-07,2026-09-07,FO,NSE,STO,145723,,SBICARD,,2026-09-29,2026-09-29,740.00,PE,SBICARD26SEP740PE,0.00,0.00,0.00,75.15,75.15,75.15,674.63,66.57,3200,0,0,0.00,0,F1,800,,,,,
