TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-08,2026-09-08,FO,NSE,STO,72819,,ATHERENERG,,2026-10-27,2026-10-27,1500.00,CE,ATHERENERG26OCT1500CE,0.00,0.00,0.00,148.00,148.00,148.00,1578.06,168.70,375,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72864,,ATHERENERG,,2026-10-27,2026-10-27,1660.00,CE,ATHERENERG26OCT1660CE,0.00,0.00,0.00,53.80,0.00,53.80,1578.06,92.90,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,73003,,ATHERENERG,,2026-11-23,2026-11-23,1360.00,CE,ATHERENERG26NOV1360CE,0.00,0.00,0.00,196.60,0.00,196.60,1578.06,288.04,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,73009,,ATHERENERG,,2026-11-23,2026-11-23,1480.00,CE,ATHERENERG26NOV1480CE,0.00,0.00,0.00,138.20,0.00,138.20,1578.06,211.50,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72201,,ATHERENERG,,2026-09-29,2026-09-29,1420.00,PE,ATHERENERG26SEP1420PE,9.45,10.15,6.85,9.15,9.30,9.00,1578.06,9.15,12000,3375,19,10178531.25,16,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72522,,ATHERENERG,,2026-09-29,2026-09-29,1860.00,PE,ATHERENERG26SEP1860PE,0.00,0.00,0.00,184.40,184.40,184.40,1578.06,286.12,375,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72777,,ATHERENERG,,2026-10-27,2026-10-27,1320.00,PE,ATHERENERG26OCT1320PE,0.00,0.00,0.00,62.10,0.00,62.10,1578.06,24.45,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72808,,ATHERENERG,,2026-10-27,2026-10-27,1420.00,PE,ATHERENERG26OCT1420PE,0.00,0.00,0.00,104.80,0.00,104.80,1578.06,49.16,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,73008,,ATHERENERG,,2026-11-23,2026-11-23,1440.00,PE,ATHERENERG26NOV1440PE,0.00,0.00,0.00,135.15,0.00,135.15,1578.06,78.26,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,73016,,ATHERENERG,,2026-11-23,2026-11-23,1600.00,PE,ATHERENERG26NOV1600PE,0.00,0.00,0.00,231.25,0.00,231.25,1578.06,151.40,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,73109,,ATHERENERG,,2026-11-23,2026-11-23,1800.00,PE,ATHERENERG26NOV1800PE,0.00,0.00,0.00,381.45,0.00,381.45,1578.06,278.47,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,73146,,ATHERENERG,,2026-11-23,2026-11-23,2000.00,PE,ATHERENERG26NOV2000PE,0.00,0.00,0.00,553.65,0.00,553.65,1578.06,435.76,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72527,,ATHERENERG,,2026-09-29,2026-09-29,1920.00,CE,ATHERENERG26SEP1920CE,4.70,4.70,3.00,3.25,3.15,3.85,1578.06,3.25,219750,-8625,208,150029962.50,155,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72204,,ATHERENERG,,2026-09-29,2026-09-29,1460.00,CE,ATHERENERG26SEP1460CE,161.70,162.90,145.80,154.20,154.20,159.00,1578.06,153.12,10875,-1125,12,7265775.00,8,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72417,,ATHERENERG,,2026-09-29,2026-09-29,1520.00,CE,ATHERENERG26SEP1520CE,114.50,114.50,90.65,90.80,90.80,110.80,1578.06,113.48,21375,3375,19,11549043.75,16,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72435,,ATHERENERG,,2026-09-29,2026-09-29,1660.00,CE,ATHERENERG26SEP1660CE,40.05,40.05,27.25,29.10,29.00,37.00,1578.06,29.10,156750,-7875,536,340063068.75,425,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72790,,ATHERENERG,,2026-10-27,2026-10-27,1420.00,CE,ATHERENERG26OCT1420CE,0.00,0.00,0.00,139.00,0.00,139.00,1578.06,219.29,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72439,,ATHERENERG,,2026-09-29,2026-09-29,1680.00,PE,ATHERENERG26SEP1680PE,112.00,125.50,109.85,118.35,119.00,108.25,1578.06,118.35,84000,-750,11,7416168.75,10,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72429,,ATHERENERG,,2026-09-29,2026-09-29,1600.00,PE,ATHERENERG26SEP1600PE,60.35,71.95,52.05,65.95,65.95,60.35,1578.06,65.95,384750,12000,880,548936681.25,680,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72419,,ATHERENERG,,2026-09-29,2026-09-29,1520.00,PE,ATHERENERG26SEP1520PE,23.90,33.40,23.90,29.55,29.55,27.00,1578.06,29.55,55500,-15000,98,56899462.50,75,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,73026,,ATHERENERG,,2026-11-23,2026-11-23,1760.00,CE,ATHERENERG26NOV1760CE,0.00,0.00,0.00,54.85,0.00,54.85,1578.06,91.49,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72854,,ATHERENERG,,2026-10-27,2026-10-27,1600.00,CE,ATHERENERG26OCT1600CE,90.00,91.35,76.80,80.00,80.00,92.90,1578.06,80.00,34875,4125,24,15144918.75,21,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72786,,ATHERENERG,,2026-10-27,2026-10-27,1400.00,CE,ATHERENERG26OCT1400CE,0.00,0.00,0.00,149.20,0.00,149.20,1578.06,233.23,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,73010,,ATHERENERG,,2026-11-23,2026-11-23,1480.00,PE,ATHERENERG26NOV1480PE,0.00,0.00,0.00,156.80,0.00,156.80,1578.06,93.97,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,73137,,ATHERENERG,,2026-11-23,2026-11-23,1840.00,PE,ATHERENERG26NOV1840PE,0.00,0.00,0.00,414.45,0.00,414.45,1578.06,307.96,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,35228,,ATHERENERG,,2026-09-29,2026-09-29,1900.00,CE,ATHERENERG26SEP1900CE,4.95,5.00,3.70,3.75,3.70,4.85,1578.06,3.75,142500,0,81,57836193.75,68,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72194,,ATHERENERG,,2026-09-29,2026-09-29,1360.00,CE,ATHERENERG26SEP1360CE,0.00,0.00,0.00,139.05,0.00,139.05,1578.06,232.91,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,73004,,ATHERENERG,,2026-11-23,2026-11-23,1360.00,PE,ATHERENERG26NOV1360PE,0.00,0.00,0.00,97.00,0.00,97.00,1578.06,52.09,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,73002,,ATHERENERG,,2026-11-23,2026-11-23,1320.00,PE,ATHERENERG26NOV1320PE,0.00,0.00,0.00,80.60,0.00,80.60,1578.06,41.44,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72517,,ATHERENERG,,2026-09-29,2026-09-29,1820.00,CE,ATHERENERG26SEP1820CE,9.10,9.25,6.55,6.80,6.55,8.15,1578.06,6.80,91125,7500,173,118530375.00,93,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72509,,ATHERENERG,,2026-09-29,2026-09-29,1760.00,CE,ATHERENERG26SEP1760CE,15.70,15.95,10.95,11.30,11.50,14.50,1578.06,11.30,153750,3375,210,139606293.75,146,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72836,,ATHERENERG,,2026-10-27,2026-10-27,1560.00,CE,ATHERENERG26OCT1560CE,0.00,0.00,0.00,81.55,0.00,81.55,1578.06,136.39,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72830,,ATHERENERG,,2026-10-27,2026-10-27,1540.00,CE,ATHERENERG26OCT1540CE,0.00,0.00,0.00,88.35,0.00,88.35,1578.06,146.63,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72887,,ATHERENERG,,2026-10-27,2026-10-27,1860.00,PE,ATHERENERG26OCT1860PE,0.00,0.00,0.00,422.85,0.00,422.85,1578.06,305.12,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72881,,ATHERENERG,,2026-10-27,2026-10-27,1820.00,PE,ATHERENERG26OCT1820PE,0.00,0.00,0.00,387.75,0.00,387.75,1578.06,273.36,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72831,,ATHERENERG,,2026-10-27,2026-10-27,1540.00,PE,ATHERENERG26OCT1540PE,0.00,0.00,0.00,172.90,0.00,172.90,1578.06,95.47,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72422,,ATHERENERG,,2026-09-29,2026-09-29,1540.00,PE,ATHERENERG26SEP1540PE,29.95,42.10,29.95,37.45,38.05,33.60,1578.06,37.45,109875,3000,188,111096356.25,182,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72512,,ATHERENERG,,2026-09-29,2026-09-29,1780.00,PE,ATHERENERG26SEP1780PE,0.00,0.00,0.00,146.40,146.40,146.40,1578.06,216.21,1125,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72772,,ATHERENERG,,2026-10-27,2026-10-27,1280.00,PE,ATHERENERG26OCT1280PE,0.00,0.00,0.00,48.80,0.00,48.80,1578.06,17.68,0,0,0,0.00,0,F1,375,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,72195,,ATHERENERG,,2026-09-29,2026-09-29,1360.00,PE,ATHERENERG26SEP1360PE,0.00,0.00,0.00,25.15,25.15,25.15,1578.06,10.31,375,0,0,0.00,0,F1,375,,,,,
