TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-08,2026-09-08,FO,NSE,STO,78586,,HDFCLIFE,,2026-09-29,2026-09-29,485.00,PE,HDFCLIFE26SEP485PE,0.00,0.00,0.00,2.70,0.00,2.70,533.80,0.95,0,0,0,0.00,0,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,109617,,HDFCLIFE,,2026-09-29,2026-09-29,610.00,PE,HDFCLIFE26SEP610PE,0.00,0.00,0.00,60.00,60.00,60.00,533.80,74.49,5500,0,0,0.00,0,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,97701,,HDFCLIFE,,2026-10-27,2026-10-27,515.00,PE,HDFCLIFE26OCT515PE,0.00,0.00,0.00,10.00,0.00,10.00,533.80,11.27,0,0,0,0.00,0,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,78697,,HDFCLIFE,,2026-10-27,2026-10-27,550.00,PE,HDFCLIFE26OCT550PE,22.00,22.00,22.00,22.00,22.00,17.75,533.80,27.79,28600,0,1,629200.00,1,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,78699,,HDFCLIFE,,2026-10-27,2026-10-27,560.00,PE,HDFCLIFE26OCT560PE,24.45,24.45,24.45,24.45,24.45,23.30,533.80,34.11,6600,1100,1,642895.00,1,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,98234,,HDFCLIFE,,2026-11-23,2026-11-23,540.00,CE,HDFCLIFE26NOV540CE,0.00,0.00,0.00,37.35,0.00,37.35,533.80,26.96,0,0,0,0.00,0,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,97672,,HDFCLIFE,,2026-10-27,2026-10-27,485.00,CE,HDFCLIFE26OCT485CE,0.00,0.00,0.00,70.50,0.00,70.50,533.80,56.82,0,0,0,0.00,0,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,78596,,HDFCLIFE,,2026-09-29,2026-09-29,535.00,PE,HDFCLIFE26SEP535PE,6.20,11.80,5.45,11.10,11.80,9.40,533.80,11.10,671000,6600,1127,672869120.00,1063,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,98238,,HDFCLIFE,,2026-11-23,2026-11-23,560.00,CE,HDFCLIFE26NOV560CE,0.00,0.00,0.00,27.50,0.00,27.50,533.80,18.62,0,0,0,0.00,0,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,97722,,HDFCLIFE,,2026-10-27,2026-10-27,585.00,CE,HDFCLIFE26OCT585CE,0.00,0.00,0.00,12.70,0.00,12.70,533.80,6.36,0,0,0,0.00,0,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,78694,,HDFCLIFE,,2026-10-27,2026-10-27,540.00,PE,HDFCLIFE26OCT540PE,12.40,16.00,12.40,16.00,16.00,15.85,533.80,22.15,116600,1100,6,3657830.00,5,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,78607,,HDFCLIFE,,2026-09-29,2026-09-29,595.00,CE,HDFCLIFE26SEP595CE,0.95,1.20,0.65,0.70,0.70,0.60,533.80,0.85,130900,-9900,41,26868765.00,36,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,109608,,HDFCLIFE,,2026-09-29,2026-09-29,580.00,CE,HDFCLIFE26SEP580CE,1.75,3.00,1.20,1.30,1.30,1.25,533.80,1.30,870100,100100,1050,671835670.00,711,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,78601,,HDFCLIFE,,2026-09-29,2026-09-29,565.00,CE,HDFCLIFE26SEP565CE,4.00,6.10,2.45,2.50,2.45,2.80,533.80,2.50,484000,69300,658,411853035.00,542,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,109597,,HDFCLIFE,,2026-09-29,2026-09-29,540.00,CE,HDFCLIFE26SEP540CE,13.50,17.45,8.30,8.70,8.35,9.95,533.80,8.70,1950300,1089000,5707,3466124255.00,4703,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,78684,,HDFCLIFE,,2026-10-27,2026-10-27,530.00,PE,HDFCLIFE26OCT530PE,8.50,13.75,8.50,13.75,13.75,12.00,533.80,13.75,138600,22000,36,21454015.00,34,F1,1100,,,,,
2026-09-08,2026-09-08,FO,NSE,STO,97695,,HDFCLIFE,,2026-10-27,2026-10-27,495.00,PE,HDFCLIFE26OCT495PE,0.00,0.00,0.00,5.35,0.00,5.35,533.80,5.75,0,0,0,0.00,0,F1,1100,,,,,
