TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-09,2026-09-09,FO,NSE,STO,83946,,CIPLA,,2026-10-27,2026-10-27,1430.00,CE,CIPLA26OCT1430CE,21.30,21.30,21.30,21.30,21.30,64.75,1363.11,21.30,850,850,2,1233605.00,1,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,65182,,CIPLA,,2026-10-27,2026-10-27,1220.00,CE,CIPLA26OCT1220CE,0.00,0.00,0.00,249.90,0.00,249.90,1363.11,158.93,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,96685,,CIPLA,,2026-09-29,2026-09-29,1600.00,CE,CIPLA26SEP1600CE,0.35,0.35,0.35,0.35,0.35,0.35,1363.11,0.12,39100,0,2,1360297.50,2,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,63238,,CIPLA,,2026-09-29,2026-09-29,1550.00,CE,CIPLA26SEP1550CE,0.40,0.50,0.25,0.30,0.30,0.35,1363.11,0.59,22100,425,7,4612312.50,5,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,63198,,CIPLA,,2026-09-29,2026-09-29,1310.00,CE,CIPLA26SEP1310CE,0.00,0.00,0.00,161.80,0.00,161.80,1363.11,68.48,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STF,48796,,CIPLA,,2026-10-27,2026-10-27,,,CIPLA26OCTFUT,1392.30,1398.00,1378.10,1380.50,1378.80,1394.80,1363.11,1380.50,493425,2975,69,40620692.50,69,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,84208,,CIPLA,,2026-11-23,2026-11-23,1200.00,PE,CIPLA26NOV1200PE,0.00,0.00,0.00,5.80,0.00,5.80,1363.11,8.20,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,65295,,CIPLA,,2026-10-27,2026-10-27,1580.00,PE,CIPLA26OCT1580PE,0.00,0.00,0.00,148.25,0.00,148.25,1363.11,207.81,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,83889,,CIPLA,,2026-10-27,2026-10-27,1270.00,PE,CIPLA26OCT1270PE,0.00,0.00,0.00,9.20,0.00,9.20,1363.11,13.45,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,65183,,CIPLA,,2026-10-27,2026-10-27,1220.00,PE,CIPLA26OCT1220PE,0.00,0.00,0.00,6.95,0.00,6.95,1363.11,5.69,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,96686,,CIPLA,,2026-09-29,2026-09-29,1600.00,PE,CIPLA26SEP1600PE,0.00,0.00,0.00,173.65,173.65,173.65,1363.11,231.93,6375,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,96670,,CIPLA,,2026-09-29,2026-09-29,1520.00,PE,CIPLA26SEP1520PE,0.00,0.00,0.00,91.10,91.10,91.10,1363.11,153.43,42075,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,96662,,CIPLA,,2026-09-29,2026-09-29,1440.00,PE,CIPLA26SEP1440PE,66.00,74.30,66.00,73.05,74.30,60.20,1363.11,73.05,43775,-850,14,8991236.25,11,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,63199,,CIPLA,,2026-09-29,2026-09-29,1310.00,PE,CIPLA26SEP1310PE,3.50,3.50,3.50,3.50,3.50,1.65,1363.11,11.20,425,0,1,558237.50,1,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,84247,,CIPLA,,2026-11-23,2026-11-23,1420.00,CE,CIPLA26NOV1420CE,0.00,0.00,0.00,84.90,0.00,84.90,1363.11,46.73,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,84024,,CIPLA,,2026-10-27,2026-10-27,1510.00,CE,CIPLA26OCT1510CE,0.00,0.00,0.00,13.60,13.60,13.60,1363.11,10.91,850,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,83894,,CIPLA,,2026-10-27,2026-10-27,1330.00,CE,CIPLA26OCT1330CE,0.00,0.00,0.00,126.60,0.00,126.60,1363.11,74.96,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,83888,,CIPLA,,2026-10-27,2026-10-27,1270.00,CE,CIPLA26OCT1270CE,0.00,0.00,0.00,174.40,0.00,174.40,1363.11,117.11,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,65178,,CIPLA,,2026-10-27,2026-10-27,1180.00,CE,CIPLA26OCT1180CE,0.00,0.00,0.00,286.25,0.00,286.25,1363.11,195.41,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,63234,,CIPLA,,2026-09-29,2026-09-29,1510.00,CE,CIPLA26SEP1510CE,0.90,0.90,0.70,0.70,0.70,0.90,1363.11,1.79,11050,425,2,1284180.00,2,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,63208,,CIPLA,,2026-09-29,2026-09-29,1350.00,CE,CIPLA26SEP1350CE,49.75,49.75,38.70,39.95,39.95,49.75,1363.11,39.95,24225,2550,48,28376633.75,47,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,96563,,CIPLA,,2026-09-29,2026-09-29,1220.00,CE,CIPLA26SEP1220CE,0.00,0.00,0.00,270.00,0.00,270.00,1363.11,147.85,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STF,68462,,CIPLA,,2026-09-29,2026-09-29,,,CIPLA26SEPFUT,1385.50,1393.50,1370.90,1374.40,1378.00,1388.70,1363.11,1374.40,10808175,67575,1429,837264960.00,1234,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,65289,,CIPLA,,2026-10-27,2026-10-27,1520.00,PE,CIPLA26OCT1520PE,0.00,0.00,0.00,107.85,0.00,107.85,1363.11,153.81,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,96664,,CIPLA,,2026-09-29,2026-09-29,1460.00,PE,CIPLA26SEP1460PE,0.00,0.00,0.00,66.45,67.30,66.45,1363.11,98.20,9775,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,63228,,CIPLA,,2026-09-29,2026-09-29,1450.00,PE,CIPLA26SEP1450PE,78.00,78.00,78.00,78.00,78.00,62.00,1363.11,89.67,21250,0,1,649400.00,1,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,84215,,CIPLA,,2026-11-23,2026-11-23,1260.00,CE,CIPLA26NOV1260CE,0.00,0.00,0.00,193.75,0.00,193.75,1363.11,138.05,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,84213,,CIPLA,,2026-11-23,2026-11-23,1240.00,CE,CIPLA26NOV1240CE,0.00,0.00,0.00,210.55,0.00,210.55,1363.11,153.60,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,65294,,CIPLA,,2026-10-27,2026-10-27,1580.00,CE,CIPLA26OCT1580CE,2.50,2.50,2.40,2.45,2.45,36.55,1363.11,2.45,3825,3825,11,7397975.00,7,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,83890,,CIPLA,,2026-10-27,2026-10-27,1290.00,CE,CIPLA26OCT1290CE,0.00,0.00,0.00,157.70,0.00,157.70,1363.11,102.01,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,96669,,CIPLA,,2026-09-29,2026-09-29,1520.00,CE,CIPLA26SEP1520CE,0.50,0.65,0.45,0.55,0.60,0.70,1363.11,0.55,698700,-1700,54,34896410.00,30,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,63194,,CIPLA,,2026-09-29,2026-09-29,1290.00,CE,CIPLA26SEP1290CE,0.00,0.00,0.00,178.40,0.00,178.40,1363.11,84.25,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,84257,,CIPLA,,2026-11-23,2026-11-23,1520.00,CE,CIPLA26NOV1520CE,0.00,0.00,0.00,43.50,0.00,43.50,1363.11,19.19,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,65267,,CIPLA,,2026-10-27,2026-10-27,1360.00,PE,CIPLA26OCT1360PE,0.00,0.00,0.00,33.50,0.00,33.50,1363.11,43.48,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,65268,,CIPLA,,2026-10-27,2026-10-27,1380.00,CE,CIPLA26OCT1380CE,0.00,0.00,0.00,125.35,0.00,125.35,1363.11,48.05,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,65186,,CIPLA,,2026-10-27,2026-10-27,1260.00,CE,CIPLA26OCT1260CE,0.00,0.00,0.00,215.20,0.00,215.20,1363.11,125.05,0,0,0,0.00,0,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,63229,,CIPLA,,2026-09-29,2026-09-29,1470.00,CE,CIPLA26SEP1470CE,3.20,3.20,1.95,2.05,2.05,2.95,1363.11,2.05,93925,26350,99,61945768.75,82,F1,425,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,63210,,CIPLA,,2026-09-29,2026-09-29,1370.00,CE,CIPLA26SEP1370CE,35.00,35.00,26.40,27.50,27.90,36.75,1363.11,27.50,36975,25500,295,175328820.00,230,F1,425,,,,,
