TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-09,2026-09-09,FO,NSE,STO,142586,,RADICO,,2026-09-29,2026-09-29,4700.00,CE,RADICO26SEP4700CE,25.25,25.25,16.35,17.95,18.50,25.90,4414.01,17.95,109800,1350,386,273278610.00,286,F1,150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,105842,,RADICO,,2026-10-27,2026-10-27,4700.00,CE,RADICO26OCT4700CE,0.00,0.00,0.00,210.65,0.00,210.65,4414.01,146.02,0,0,0,0.00,0,F1,150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,125333,,RADICO,,2026-11-23,2026-11-23,4500.00,CE,RADICO26NOV4500CE,0.00,0.00,0.00,455.80,0.00,455.80,4414.01,291.65,0,0,0,0.00,0,F1,150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,105742,,RADICO,,2026-09-29,2026-09-29,4150.00,PE,RADICO26SEP4150PE,0.00,0.00,0.00,196.30,0.00,196.30,4414.01,52.28,0,0,0,0.00,0,F1,150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,142681,,RADICO,,2026-09-29,2026-09-29,5100.00,PE,RADICO26SEP5100PE,0.00,0.00,0.00,1128.20,0.00,1128.20,4414.01,680.11,0,0,0,0.00,0,F1,150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,125282,,RADICO,,2026-10-27,2026-10-27,4850.00,PE,RADICO26OCT4850PE,0.00,0.00,0.00,395.80,0.00,395.80,4414.01,499.92,0,0,0,0.00,0,F1,150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,142577,,RADICO,,2026-09-29,2026-09-29,4300.00,PE,RADICO26SEP4300PE,33.00,44.70,32.75,40.45,42.00,27.75,4414.01,40.45,28800,2700,82,53363730.00,61,F1,150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,125322,,RADICO,,2026-11-23,2026-11-23,4000.00,PE,RADICO26NOV4000PE,0.00,0.00,0.00,93.15,0.00,93.15,4414.01,113.31,0,0,0,0.00,0,F1,150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,105853,,RADICO,,2026-10-27,2026-10-27,5100.00,PE,RADICO26OCT5100PE,0.00,0.00,0.00,847.15,0.00,847.15,4414.01,699.97,0,0,0,0.00,0,F1,150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,142589,,RADICO,,2026-09-29,2026-09-29,4800.00,PE,RADICO26SEP4800PE,0.00,0.00,0.00,185.95,185.95,185.95,4414.01,411.86,450,0,0,0.00,0,F1,150,,,,,
