TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-09,2026-09-09,FO,NSE,STO,156058,,VEDL,,2026-09-29,2026-09-29,260.00,CE,VEDL26SEP260CE,14.75,19.15,14.00,17.50,17.40,14.65,272.51,17.50,607200,-8050,207,65949107.50,134,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,117603,,VEDL,,2026-09-29,2026-09-29,265.00,CE,VEDL26SEP265CE,10.90,15.25,10.75,13.85,13.60,11.30,272.51,13.85,510600,-27600,303,96834082.50,275,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,117718,,VEDL,,2026-10-27,2026-10-27,230.00,CE,VEDL26OCT230CE,0.00,0.00,0.00,41.65,0.00,41.65,272.51,46.89,0,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132232,,VEDL,,2026-11-23,2026-11-23,260.00,CE,VEDL26NOV260CE,0.00,0.00,0.00,33.45,0.00,33.45,272.51,29.46,0,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132245,,VEDL,,2026-11-23,2026-11-23,320.00,PE,VEDL26NOV320PE,0.00,0.00,0.00,50.35,0.00,50.35,272.51,50.78,0,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132233,,VEDL,,2026-11-23,2026-11-23,260.00,PE,VEDL26NOV260PE,0.00,0.00,0.00,14.60,0.00,14.60,272.51,13.59,0,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132231,,VEDL,,2026-11-23,2026-11-23,250.00,PE,VEDL26NOV250PE,0.00,0.00,0.00,10.85,0.00,10.85,272.51,9.85,0,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,156056,,VEDL,,2026-09-29,2026-09-29,250.00,CE,VEDL26SEP250CE,22.50,27.50,21.85,26.05,26.10,22.30,272.51,26.05,266800,-2300,230,72933402.50,109,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132062,,VEDL,,2026-10-27,2026-10-27,275.00,CE,VEDL26OCT275CE,12.00,13.70,12.00,13.40,13.40,10.65,272.51,16.86,29900,12650,19,6287970.00,15,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132061,,VEDL,,2026-10-27,2026-10-27,265.00,PE,VEDL26OCT265PE,6.70,6.90,6.50,6.75,6.75,9.65,272.51,6.75,9200,1150,9,2812037.50,9,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,156097,,VEDL,,2026-09-29,2026-09-29,330.00,PE,VEDL26SEP330PE,0.00,0.00,0.00,58.00,58.00,58.00,272.51,56.80,195500,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,117738,,VEDL,,2026-10-27,2026-10-27,280.00,CE,VEDL26OCT280CE,9.75,11.55,9.75,10.55,10.40,9.40,272.51,10.55,402500,21850,53,17727250.00,45,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132242,,VEDL,,2026-11-23,2026-11-23,310.00,CE,VEDL26NOV310CE,0.00,0.00,0.00,12.00,12.00,12.00,272.51,9.59,1150,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132229,,VEDL,,2026-11-23,2026-11-23,240.00,PE,VEDL26NOV240PE,0.00,0.00,0.00,25.00,25.00,25.00,272.51,6.87,1150,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,117739,,VEDL,,2026-10-27,2026-10-27,280.00,PE,VEDL26OCT280PE,13.30,13.95,12.85,13.95,13.95,16.20,272.51,19.82,142600,-8050,14,4721957.50,13,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132060,,VEDL,,2026-10-27,2026-10-27,265.00,CE,VEDL26OCT265CE,0.00,0.00,0.00,26.35,0.00,26.35,272.51,21.96,0,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STF,49029,,VEDL,,2026-10-27,2026-10-27,,,VEDL26OCTFUT,272.15,278.45,271.50,276.75,276.85,272.25,272.51,276.75,3975550,31050,271,85944790.00,232,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,117597,,VEDL,,2026-09-29,2026-09-29,235.00,CE,VEDL26SEP235CE,0.00,0.00,0.00,35.85,35.85,35.85,272.51,39.00,1150,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132056,,VEDL,,2026-10-27,2026-10-27,245.00,CE,VEDL26OCT245CE,0.00,0.00,0.00,39.25,0.00,39.25,272.51,34.96,0,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,117720,,VEDL,,2026-10-27,2026-10-27,240.00,CE,VEDL26OCT240CE,0.00,0.00,0.00,35.15,0.00,35.15,272.51,38.74,0,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132239,,VEDL,,2026-11-23,2026-11-23,290.00,PE,VEDL26NOV290PE,0.00,0.00,0.00,29.80,0.00,29.80,272.51,29.27,0,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,117749,,VEDL,,2026-10-27,2026-10-27,330.00,PE,VEDL26OCT330PE,0.00,0.00,0.00,58.00,58.00,58.00,272.51,57.52,8050,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,117751,,VEDL,,2026-10-27,2026-10-27,340.00,PE,VEDL26OCT340PE,0.00,0.00,0.00,79.55,0.00,79.55,272.51,66.55,0,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132073,,VEDL,,2026-10-27,2026-10-27,305.00,PE,VEDL26OCT305PE,0.00,0.00,0.00,28.00,28.00,28.00,272.51,36.72,4600,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,156093,,VEDL,,2026-09-29,2026-09-29,310.00,PE,VEDL26SEP310PE,35.50,35.50,34.25,34.60,34.60,39.00,272.51,38.00,299000,-5750,5,1983232.50,4,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,132213,,VEDL,,2026-11-23,2026-11-23,220.00,PE,VEDL26NOV220PE,0.00,0.00,0.00,3.60,0.00,3.60,272.51,2.87,0,0,0,0.00,0,F1,1150,,,,,
2026-09-09,2026-09-09,FO,NSE,STO,117743,,VEDL,,2026-10-27,2026-10-27,300.00,PE,VEDL26OCT300PE,31.70,31.95,26.50,27.00,27.00,30.90,272.51,32.95,41400,1150,10,3772977.50,9,F1,1150,,,,,
