TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-10,2026-09-10,FO,NSE,STO,109099,,HDFCBANK,,2026-09-29,2026-09-29,760.00,PE,HDFCBANK26SEP760PE,67.30,70.15,64.00,66.00,66.00,67.20,693.82,66.00,2622750,-18850,59,31744277.50,55,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78285,,HDFCBANK,,2026-09-29,2026-09-29,610.00,CE,HDFCBANK26SEP610CE,0.00,0.00,0.00,132.85,0.00,132.85,693.82,85.82,0,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97317,,HDFCBANK,,2026-10-27,2026-10-27,610.00,CE,HDFCBANK26OCT610CE,0.00,0.00,0.00,125.00,0.00,125.00,693.82,90.50,0,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109049,,HDFCBANK,,2026-09-29,2026-09-29,640.00,PE,HDFCBANK26SEP640PE,1.75,1.75,0.90,1.10,1.15,1.35,693.82,1.10,1131650,-69550,3750,1562903907.50,991,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97535,,HDFCBANK,,2026-11-23,2026-11-23,740.00,PE,HDFCBANK26NOV740PE,0.00,0.00,0.00,41.50,41.50,41.50,693.82,54.09,4550,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STF,61582,,HDFCBANK,,2026-11-23,2026-11-23,,,HDFCBANK26NOVFUT,700.00,704.90,697.70,702.70,703.10,701.10,693.82,702.70,4886700,488150,1283,584131307.50,1193,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78435,,HDFCBANK,,2026-10-27,2026-10-27,800.00,PE,HDFCBANK26OCT800PE,101.90,105.15,101.00,101.70,101.70,103.50,693.82,101.80,86450,1300,10,5863357.50,7,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78306,,HDFCBANK,,2026-09-29,2026-09-29,770.00,PE,HDFCBANK26SEP770PE,79.00,79.00,73.00,74.50,74.50,78.00,693.82,74.50,966550,1300,16,8806915.00,16,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97533,,HDFCBANK,,2026-11-23,2026-11-23,720.00,PE,HDFCBANK26NOV720PE,38.15,42.20,37.70,37.70,37.70,39.95,693.82,41.24,94250,4550,17,8395335.00,17,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97429,,HDFCBANK,,2026-11-23,2026-11-23,640.00,PE,HDFCBANK26NOV640PE,9.05,9.15,7.40,7.70,7.65,8.60,693.82,7.70,79300,5850,25,10532535.00,23,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STF,68534,,HDFCBANK,,2026-09-29,2026-09-29,,,HDFCBANK26SEPFUT,692.00,698.00,690.35,695.55,695.15,694.10,693.82,695.55,353061150,-1995500,22209,10023233480.00,16796,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78429,,HDFCBANK,,2026-10-27,2026-10-27,740.00,PE,HDFCBANK26OCT740PE,50.25,53.90,48.60,48.60,48.60,50.30,693.82,50.86,662350,-650,9,4632160.00,9,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97332,,HDFCBANK,,2026-10-27,2026-10-27,750.00,PE,HDFCBANK26OCT750PE,59.00,61.80,55.40,57.25,56.70,59.05,693.82,57.25,930800,192400,306,160570345.00,306,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97334,,HDFCBANK,,2026-10-27,2026-10-27,770.00,PE,HDFCBANK26OCT770PE,74.80,74.80,73.45,73.45,73.45,74.00,693.82,74.93,39650,27950,43,23610015.00,11,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78437,,HDFCBANK,,2026-10-27,2026-10-27,820.00,PE,HDFCBANK26OCT820PE,0.00,0.00,0.00,105.00,105.00,105.00,693.82,120.65,11050,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109040,,HDFCBANK,,2026-09-29,2026-09-29,600.00,CE,HDFCBANK26SEP600CE,93.50,98.00,91.50,98.00,98.00,94.50,693.82,95.70,66950,-3900,35,15798412.50,18,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78291,,HDFCBANK,,2026-09-29,2026-09-29,670.00,CE,HDFCBANK26SEP670CE,27.25,31.10,25.55,29.35,29.60,28.60,693.82,29.35,538850,115700,1291,585979615.00,1076,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109092,,HDFCBANK,,2026-09-29,2026-09-29,700.00,CE,HDFCBANK26SEP700CE,9.50,11.05,8.25,10.05,10.00,10.35,693.82,10.05,15384850,573950,42943,19809870860.00,20697,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109102,,HDFCBANK,,2026-09-29,2026-09-29,800.00,CE,HDFCBANK26SEP800CE,0.75,0.75,0.50,0.60,0.60,0.65,693.82,0.60,19724250,1064050,11499,5983988010.00,1705,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78424,,HDFCBANK,,2026-10-27,2026-10-27,700.00,CE,HDFCBANK26OCT700CE,22.40,24.00,20.65,22.70,22.55,23.05,693.82,22.70,2704000,601250,2541,1193393695.00,1761,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97324,,HDFCBANK,,2026-10-27,2026-10-27,670.00,PE,HDFCBANK26OCT670PE,11.75,12.30,9.95,10.65,10.55,11.65,693.82,10.65,286000,22750,106,46910825.00,100,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78421,,HDFCBANK,,2026-10-27,2026-10-27,660.00,PE,HDFCBANK26OCT660PE,9.25,9.65,7.60,8.15,8.20,9.00,693.82,8.15,650650,25350,249,108227860.00,185,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109109,,HDFCBANK,,2026-09-29,2026-09-29,860.00,PE,HDFCBANK26SEP860PE,166.00,167.60,164.00,164.00,164.00,164.00,693.82,163.58,162500,0,3,2000440.00,3,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78290,,HDFCBANK,,2026-09-29,2026-09-29,650.00,PE,HDFCBANK26SEP650PE,1.90,2.10,1.30,1.55,1.65,1.90,693.82,1.55,3438500,435500,10854,4597756702.50,2975,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78288,,HDFCBANK,,2026-09-29,2026-09-29,630.00,PE,HDFCBANK26SEP630PE,0.90,1.05,0.70,0.85,0.90,1.00,693.82,0.85,562900,150800,1017,417018452.50,386,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97539,,HDFCBANK,,2026-11-23,2026-11-23,780.00,PE,HDFCBANK26NOV780PE,0.00,0.00,0.00,61.70,0.00,61.70,693.82,84.46,0,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97541,,HDFCBANK,,2026-11-23,2026-11-23,800.00,PE,HDFCBANK26NOV800PE,0.00,0.00,0.00,86.00,86.00,86.00,693.82,101.43,650,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78305,,HDFCBANK,,2026-09-29,2026-09-29,770.00,CE,HDFCBANK26SEP770CE,1.15,1.15,0.75,0.90,0.90,1.15,693.82,0.90,4265300,-107250,5568,2790028897.50,1322,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78307,,HDFCBANK,,2026-09-29,2026-09-29,790.00,CE,HDFCBANK26SEP790CE,0.80,0.80,0.60,0.65,0.65,0.75,693.82,0.65,2450500,97500,1836,943597330.00,452,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78428,,HDFCBANK,,2026-10-27,2026-10-27,740.00,CE,HDFCBANK26OCT740CE,10.00,10.20,8.60,9.30,9.35,10.00,693.82,9.30,1116050,22100,578,281524262.50,422,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78408,,HDFCBANK,,2026-10-27,2026-10-27,640.00,PE,HDFCBANK26OCT640PE,5.25,5.50,4.25,4.60,4.60,5.00,693.82,4.60,412750,-1950,251,105184820.00,148,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78427,,HDFCBANK,,2026-10-27,2026-10-27,720.00,PE,HDFCBANK26OCT720PE,38.50,38.85,33.20,34.80,34.80,36.15,693.82,34.80,1238900,-3250,70,34426990.00,55,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109105,,HDFCBANK,,2026-09-29,2026-09-29,820.00,PE,HDFCBANK26SEP820PE,127.00,128.05,123.00,125.05,125.05,125.25,693.82,123.73,618800,11050,98,60263905.00,87,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97425,,HDFCBANK,,2026-11-23,2026-11-23,600.00,PE,HDFCBANK26NOV600PE,2.00,3.60,2.00,3.50,3.50,3.35,693.82,2.80,83200,1950,5,1960140.00,5,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109094,,HDFCBANK,,2026-09-29,2026-09-29,720.00,CE,HDFCBANK26SEP720CE,4.65,4.80,3.25,4.20,4.15,5.00,693.82,4.20,20520500,-919100,23413,11018724210.00,8523,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109038,,HDFCBANK,,2026-09-29,2026-09-29,580.00,CE,HDFCBANK26SEP580CE,0.00,0.00,0.00,227.00,0.00,227.00,693.82,115.59,0,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78299,,HDFCBANK,,2026-09-29,2026-09-29,710.00,CE,HDFCBANK26SEP710CE,6.90,7.20,5.20,6.45,6.50,7.15,693.82,6.45,11617450,-395850,21725,10114673530.00,9686,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78409,,HDFCBANK,,2026-10-27,2026-10-27,660.00,CE,HDFCBANK26OCT660CE,47.00,48.00,44.30,47.95,47.95,46.70,693.82,47.95,133900,107900,173,79344525.00,70,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97327,,HDFCBANK,,2026-10-27,2026-10-27,710.00,CE,HDFCBANK26OCT710CE,18.60,19.10,16.65,18.25,18.20,18.60,693.82,18.25,683150,81900,774,366344290.00,355,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78436,,HDFCBANK,,2026-10-27,2026-10-27,820.00,CE,HDFCBANK26OCT820CE,1.95,1.95,1.65,1.70,1.75,1.95,693.82,1.70,457600,35100,177,94540615.00,135,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97428,,HDFCBANK,,2026-11-23,2026-11-23,640.00,CE,HDFCBANK26NOV640CE,0.00,0.00,0.00,102.55,0.00,102.55,693.82,70.80,0,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109101,,HDFCBANK,,2026-09-29,2026-09-29,780.00,PE,HDFCBANK26SEP780PE,87.00,89.55,82.50,82.50,82.50,87.00,693.82,84.21,970450,650,30,16919175.00,29,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78442,,HDFCBANK,,2026-10-27,2026-10-27,880.00,CE,HDFCBANK26OCT880CE,0.75,0.90,0.75,0.85,0.85,0.75,693.82,0.85,837850,46150,240,137414257.50,112,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97322,,HDFCBANK,,2026-10-27,2026-10-27,650.00,PE,HDFCBANK26OCT650PE,7.15,7.30,5.70,6.10,6.05,6.80,693.82,6.10,550550,70200,650,277377652.50,447,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STF,48864,,HDFCBANK,,2026-10-27,2026-10-27,,,HDFCBANK26OCTFUT,696.00,701.55,694.10,698.95,698.55,697.90,693.82,698.95,56683900,2198300,5397,2445507707.50,5029,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97537,,HDFCBANK,,2026-11-23,2026-11-23,760.00,PE,HDFCBANK26NOV760PE,0.00,0.00,0.00,48.80,0.00,48.80,693.82,68.62,0,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97427,,HDFCBANK,,2026-11-23,2026-11-23,620.00,PE,HDFCBANK26NOV620PE,0.00,0.00,0.00,3.25,0.00,3.25,693.82,5.17,0,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97318,,HDFCBANK,,2026-10-27,2026-10-27,610.00,PE,HDFCBANK26OCT610PE,0.00,0.00,0.00,1.10,0.00,1.10,693.82,1.73,0,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78300,,HDFCBANK,,2026-09-29,2026-09-29,710.00,PE,HDFCBANK26SEP710PE,22.85,24.80,19.15,20.80,21.00,22.75,693.82,20.80,8778900,15600,3135,1491026907.50,2866,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78286,,HDFCBANK,,2026-09-29,2026-09-29,610.00,PE,HDFCBANK26SEP610PE,0.50,0.55,0.45,0.50,0.50,1.10,693.82,0.15,22100,22100,63,24999975.00,23,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109041,,HDFCBANK,,2026-09-29,2026-09-29,600.00,PE,HDFCBANK26SEP600PE,0.55,0.55,0.35,0.50,0.50,0.45,693.82,0.50,597350,18200,437,170553597.50,241,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97335,,HDFCBANK,,2026-10-27,2026-10-27,790.00,CE,HDFCBANK26OCT790CE,3.70,3.70,3.00,3.25,3.05,3.75,693.82,3.25,135850,11700,132,68060557.50,117,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78432,,HDFCBANK,,2026-10-27,2026-10-27,780.00,CE,HDFCBANK26OCT780CE,4.55,4.55,3.65,3.90,4.05,4.50,693.82,3.90,657150,96200,551,280768215.00,316,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78430,,HDFCBANK,,2026-10-27,2026-10-27,760.00,CE,HDFCBANK26OCT760CE,6.70,6.90,5.35,5.95,6.05,6.80,693.82,5.95,1491750,42250,617,307217332.50,483,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78298,,HDFCBANK,,2026-09-29,2026-09-29,690.00,PE,HDFCBANK26SEP690PE,11.25,12.15,8.45,9.40,9.35,10.75,693.82,9.40,4827550,211250,26330,11981126365.00,13547,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,97547,,HDFCBANK,,2026-11-23,2026-11-23,840.00,PE,HDFCBANK26NOV840PE,0.00,0.00,0.00,107.95,0.00,107.95,693.82,137.69,0,0,0,0.00,0,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78439,,HDFCBANK,,2026-10-27,2026-10-27,840.00,PE,HDFCBANK26OCT840PE,137.50,137.50,137.50,137.50,137.50,137.50,693.82,139.94,19500,0,1,635375.00,1,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78425,,HDFCBANK,,2026-10-27,2026-10-27,700.00,PE,HDFCBANK26OCT700PE,24.00,26.20,21.60,22.85,22.90,24.60,693.82,22.85,1981200,145600,741,348787595.00,648,F1,650,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,78297,,HDFCBANK,,2026-09-29,2026-09-29,690.00,CE,HDFCBANK26SEP690CE,14.05,16.40,12.70,15.05,14.95,15.00,693.82,15.05,3208400,516100,21240,9726259367.50,13569,F1,650,,,,,
